Object Name, Agent Name, Position-X, Position-Z, Time (Seconds)
module node 10, smart agent 1, -15.18, -0.40, 0.96
module node 3, smart agent 2, -2.12, -2.12, 1.06
door 5, smart agent 1, -13.74, -0.40, 1.44
door 2, smart agent 2, -3.14, -3.14, 1.54
door 2, smart agent 2, -3.14, -3.14, 1.76
door 5, smart agent 1, -13.74, -0.40, 2.26
door 2, smart agent 2, -3.14, -3.14, 2.66
module node 10, smart agent 1, -15.18, -0.40, 2.86
module node 3, smart agent 2, -2.12, -2.12, 3.28
module node 13, smart agent 1, -18.18, 2.60, 4.42
module node 4, smart agent 2, -2.12, 2.12, 4.80
door 8, smart agent 1, -18.18, 4.04, 4.88
door 8, smart agent 1, -18.18, 4.04, 5.10
door 3, smart agent 2, -3.14, 3.14, 5.28
door 3, smart agent 2, -3.14, 3.14, 5.50
door 8, smart agent 1, -18.18, 4.04, 6.20
door 3, smart agent 2, -3.14, 3.14, 6.38
module node 13, smart agent 1, -18.18, 2.60, 6.72
module node 4, smart agent 2, -2.12, 2.12, 6.82
module node 12, smart agent 1, -21.18, -0.40, 8.30
module node 5, smart agent 2, 2.12, 2.12, 8.40
door 7, smart agent 1, -22.62, -0.40, 8.76
door 4, smart agent 2, 3.14, 3.14, 8.86
door 4, smart agent 2, 3.14, 3.14, 9.08
door 7, smart agent 1, -22.62, -0.40, 9.54
door 4, smart agent 2, 3.14, 3.14, 9.94
door 4, smart agent 2, 3.14, 3.14, 10.16
door 7, smart agent 1, -22.62, -0.40, 10.40
door 7, smart agent 1, -22.62, -0.40, 10.62
door 7, smart agent 1, -22.62, -0.40, 11.66
module node 2, smart agent 2, 2.12, -2.12, 12.26
module node 12, smart agent 1, -21.18, -0.40, 12.44
door 1, smart agent 2, 3.14, -3.14, 12.72
door 1, smart agent 2, 3.14, -3.14, 12.94
door 1, smart agent 2, 3.14, -3.14, 13.82
module node 11, smart agent 1, -18.18, -3.40, 13.94
door 1, smart agent 2, 3.14, -3.14, 14.04
module node 2, smart agent 2, 2.12, -2.12, 14.34
door 6, smart agent 1, -18.18, -4.84, 14.40
door 6, smart agent 1, -18.18, -4.84, 14.62
door 6, smart agent 1, -18.18, -4.84, 15.60
door 6, smart agent 1, -18.18, -4.84, 15.82
module node 3, smart agent 2, -2.12, -2.12, 15.84
door 2, smart agent 2, -3.14, -3.14, 16.32
door 2, smart agent 2, -3.14, -3.14, 16.88
module node 3, smart agent 2, -2.12, -2.12, 17.62
module node 10, smart agent 1, -15.18, -0.40, 18.06
