Object Name, Agent Name, Agent Weight, Position-X, Position-Z, Time (Seconds)
room node 4, smart agent 4, 1, -45.09, -20.77, 0.00
room node 3, smart agent 3, 1, -45.09, -3.77, 0.00
room node 2, smart agent 2, 1, -45.09, 13.23, 0.00
room node 1, smart agent 1, 1, -45.09, 29.23, 0.00
room node 12, smart agent 12, 1, -28.09, -1.77, 0.00
room node 13, smart agent 13, 1, -27.09, -18.77, 0.00
room node 15, smart agent 15, 1, -24.09, -24.77, 0.00
room node 11, smart agent 11, 1, -24.09, 3.23, 0.00
room node 14, smart agent 14, 1, -22.09, -18.77, 0.00
room node 16, smart agent 16, 1, -10.09, -22.77, 0.00
room node 24, smart agent 24, 1, -0.29, 2.38, 0.00
room node 18, smart agent 18, 1, -0.09, -25.77, 0.00
room node 19, smart agent 19, 1, 1.91, -18.77, 0.00
room node 20, smart agent 20, 1, 8.91, -18.77, 0.00
room node 17, smart agent 17, 1, 11.91, -24.77, 0.00
room node 21, smart agent 21, 1, 15.91, -18.77, 0.00
room node 9, smart agent 9, 1, 24.91, 6.23, 0.00
room node 22, smart agent 22, 1, 24.91, -18.77, 0.00
room node 23, smart agent 23, 1, 25.91, -25.77, 0.00
room node 10, smart agent 10, 1, 28.91, -0.77, 0.00
room node 7, smart agent 7, 1, 43.91, 11.23, 0.00
room node 8, smart agent 8, 1, 43.91, 27.23, 0.00
room node 5, smart agent 5, 1, 44.26, -21.26, 0.00
room node 6, smart agent 6, 1, 44.41, -4.67, 0.00
door 13, smart agent 14, 1, -23.94, -17.79, 1.70
door 15, smart agent 14, 1, -23.94, -17.79, 1.70
door 10, smart agent 10, 1, 29.92, -2.61, 1.82
door 60, smart agent 10, 1, 30.04, -2.61, 1.98
door 22, smart agent 18, 1, 1.99, -24.41, 2.02
door 20, smart agent 18, 1, 1.99, -24.41, 2.02
door 18, smart agent 17, 1, 13.98, -22.72, 2.30
door 25, smart agent 17, 1, 13.98, -22.72, 2.30
door 12, smart agent 12, 1, -29.81, -4.29, 2.58
door 53, smart agent 12, 1, -29.81, -4.29, 2.58
door 13, smart agent 13, 1, -23.94, -17.79, 3.34
door 15, smart agent 13, 1, -23.94, -17.79, 3.34
room node 10, smart agent 10, 1, 28.91, -0.77, 3.46
door 19, smart agent 20, 1, 7.20, -22.72, 3.52
door 24, smart agent 20, 1, 7.20, -22.85, 3.64
door 18, smart agent 21, 1, 13.98, -22.72, 3.64
door 25, smart agent 21, 1, 13.98, -22.72, 3.64
door 19, smart agent 20, 1, 7.20, -22.72, 3.74
door 11, smart agent 11, 1, -28.37, 1.28, 3.80
door 23, smart agent 19, 1, 4.33, -22.85, 3.90
door 59, smart agent 19, 1, 4.38, -22.97, 4.12
door 27, smart agent 23, 1, 21.42, -23.36, 4.14
door 26, smart agent 22, 1, 20.75, -21.95, 4.24
door 9, smart agent 9, 1, 28.61, 1.95, 4.54
door 16, smart agent 15, 1, -29.69, -23.66, 4.66
door 61, smart agent 15, 1, -29.81, -23.79, 4.78
door 59, smart agent 18, 1, 4.38, -22.97, 5.78
room node 13, smart agent 13, 1, -27.09, -18.77, 5.80
door 17, smart agent 16, 1, -14.30, -28.85, 5.96
door 59, smart agent 18, 1, 4.38, -22.97, 5.98
door 9, smart agent 10, 1, 28.61, 1.95, 6.12
door 59, smart agent 18, 1, 4.38, -22.97, 6.24
door 9, smart agent 10, 1, 28.61, 1.95, 6.34
door 26, smart agent 23, 1, 20.75, -21.95, 6.62
door 23, smart agent 18, 1, 4.33, -22.85, 6.64
door 27, smart agent 22, 1, 21.42, -23.36, 6.68
door 8, smart agent 8, 1, 37.72, 21.26, 6.88
door 47, smart agent 8, 1, 37.72, 21.26, 6.88
room node 10, smart agent 9, 1, 28.91, -0.77, 6.98
door 21, smart agent 17, 1, 15.31, -28.70, 7.24
door 11, smart agent 12, 1, -28.37, 1.28, 7.26
door 52, smart agent 17, 1, 15.36, -28.82, 7.40
door 52, smart agent 17, 1, 15.36, -28.82, 7.46
door 11, smart agent 12, 1, -28.37, 1.28, 7.48
door 2, smart agent 2, 1, -37.49, 18.71, 7.52
door 37, smart agent 2, 1, -37.49, 18.59, 7.52
door 5, smart agent 5, 1, 37.72, -14.51, 7.52
door 56, smart agent 5, 1, 37.72, -14.51, 7.52
