Object Name, Agent Name, Position-X, Position-Z, Time (Seconds)
module node 20, smart agent 1, -0.94, -13.56, 0.00
intersection node 3, smart agent 4, -9.94, -4.56, 0.00
module node 16, smart agent 3, -0.94, 7.44, 0.00
module node 18, smart agent 5, -12.94, 7.44, 0.68
module node 18, smart agent 5, -12.94, 7.44, 0.72
module node 18, smart agent 5, -12.94, 7.44, 0.76
module node 18, smart agent 5, -12.94, 7.44, 0.80
module node 18, smart agent 5, -12.94, 7.44, 0.84
module node 18, smart agent 5, -12.94, 7.44, 0.88
module node 18, smart agent 5, -12.94, 7.44, 0.92
module node 18, smart agent 5, -12.94, 7.44, 0.96
module node 18, smart agent 5, -12.94, 7.44, 1.00
module node 12, smart agent 4, -6.94, -4.56, 1.02
module node 18, smart agent 5, -12.94, 7.44, 1.04
module node 18, smart agent 5, -12.94, 7.44, 1.08
module node 18, smart agent 5, -12.94, 7.44, 1.12
module node 6, smart agent 1, -0.94, -10.56, 1.14
module node 2, smart agent 3, -0.94, 4.44, 1.16
module node 18, smart agent 5, -12.94, 7.44, 1.16
module node 18, smart agent 5, -12.94, 7.44, 1.20
module node 18, smart agent 5, -12.94, 7.44, 1.24
module node 18, smart agent 5, -12.94, 7.44, 1.28
module node 18, smart agent 5, -12.94, 7.44, 1.32
module node 18, smart agent 5, -12.94, 7.44, 1.36
module node 18, smart agent 5, -12.94, 7.44, 1.40
module node 18, smart agent 5, -12.94, 7.44, 1.44
module node 18, smart agent 5, -12.94, 7.44, 1.48
module node 18, smart agent 5, -12.94, 7.44, 1.52
module node 18, smart agent 5, -12.94, 7.44, 1.56
module node 18, smart agent 5, -12.94, 7.44, 1.60
door 1, smart agent 3, -0.94, 3.00, 1.62
module node 18, smart agent 5, -12.94, 7.44, 1.64
module node 18, smart agent 5, -12.94, 7.44, 1.68
module node 18, smart agent 5, -12.94, 7.44, 1.72
module node 18, smart agent 5, -12.94, 7.44, 1.76
module node 18, smart agent 5, -12.94, 7.44, 1.80
module node 18, smart agent 5, -12.94, 7.44, 1.84
intersection node 4, smart agent 4, -3.94, -4.56, 1.88
module node 18, smart agent 5, -12.94, 7.44, 1.88
module node 18, smart agent 5, -12.94, 7.44, 1.92
intersection node 4, smart agent 4, -3.94, -4.56, 1.92
module node 18, smart agent 5, -12.94, 7.44, 1.96
intersection node 4, smart agent 4, -3.94, -4.56, 1.96
module node 18, smart agent 5, -12.94, 7.44, 2.00
intersection node 4, smart agent 4, -3.94, -4.56, 2.00
module node 1, smart agent 3, -0.94, 1.44, 2.02
module node 18, smart agent 5, -12.94, 7.44, 2.04
intersection node 4, smart agent 4, -3.94, -4.56, 2.04
module node 18, smart agent 5, -12.94, 7.44, 2.08
intersection node 4, smart agent 4, -3.94, -4.56, 2.08
module node 18, smart agent 5, -12.94, 7.44, 2.12
intersection node 4, smart agent 4, -3.94, -4.56, 2.12
module node 18, smart agent 5, -12.94, 7.44, 2.16
intersection node 4, smart agent 4, -3.94, -4.56, 2.16
module node 18, smart agent 5, -12.94, 7.44, 2.20
intersection node 4, smart agent 4, -3.94, -4.56, 2.20
module node 18, smart agent 5, -12.94, 7.44, 2.24
intersection node 4, smart agent 4, -3.94, -4.56, 2.24
