Object Name, First Visit, Last Visit, Total # of Visits
module node 1, 18.02, 25.12, 2
module node 2, 0.00, 0.00, 0
module node 3, 0.00, 0.00, 0
module node 4, 0.00, 0.00, 0
module node 5, 0.00, 0.00, 0
module node 6, 0.00, 0.00, 0
module node 7, 0.00, 0.00, 0
module node 8, 9.52, 9.52, 1
module node 9, 0.00, 0.00, 0
module node 10, 0.00, 0.00, 0
module node 11, 0.00, 0.00, 0
module node 12, 0.00, 0.00, 0
module node 13, 0.00, 0.00, 0
module node 14, 0.00, 0.00, 0
module node 15, 0.00, 0.00, 0
module node 16, 0.00, 0.00, 0
module node 17, 0.00, 0.00, 0
module node 18, 23.68, 23.68, 1
module node 19, 9.74, 94.50, 11
module node 20, 14.58, 99.34, 11
module node 21, 0.00, 0.00, 0
module node 22, 0.00, 0.00, 0
module node 23, 0.00, 0.00, 0
module node 24, 11.88, 11.88, 1
module node 25, 0.00, 0.00, 0
module node 26, 28.56, 43.82, 3
module node 27, 13.32, 13.32, 1
module node 28, 8.46, 8.70, 2
module node 29, 3.66, 3.66, 1
module node 30, 0.00, 0.00, 0
module node 31, 0.00, 0.00, 0
module node 32, 0.00, 0.00, 0
module node 33, 0.00, 0.00, 0
module node 34, 0.00, 0.00, 0
module node 35, 0.00, 0.00, 0
module node 36, 0.00, 0.00, 0
module node 37, 0.00, 0.00, 0
module node 38, 0.00, 0.00, 0
module node 39, 0.00, 0.00, 0
module node 40, 0.00, 0.00, 0
module node 41, 0.00, 0.00, 0
module node 42, 0.00, 0.00, 0
module node 43, 0.00, 0.00, 0
module node 44, 0.00, 0.00, 0
module node 45, 0.00, 0.00, 0
module node 46, 0.00, 0.00, 0
module node 47, 0.00, 0.00, 0
room node 1, 0.00, 0.00, 1
room node 2, 0.00, 0.00, 1
room node 3, 0.00, 0.00, 1
room node 4, 0.00, 0.00, 1
room node 5, 0.00, 0.00, 1
room node 6, 0.00, 0.00, 1
room node 7, 0.00, 0.00, 1
room node 8, 0.00, 0.00, 1
room node 9, 0.00, 0.00, 1
room node 10, 0.00, 0.00, 1
room node 11, 0.00, 0.00, 1
room node 12, 0.00, 0.00, 1
room node 13, 0.00, 0.00, 1
room node 14, 0.00, 0.00, 1
room node 15, 0.00, 0.00, 1
room node 16, 0.00, 0.00, 1
room node 17, 0.00, 0.00, 1
room node 18, 0.00, 0.00, 1
room node 19, 0.00, 0.00, 1
room node 20, 0.00, 0.00, 1
room node 21, 0.00, 47.48, 2
room node 22, 0.00, 26.16, 2
room node 23, 0.00, 0.00, 1
room node 24, 0.00, 0.00, 1
room node 25, 0.00, 0.00, 1
room node 26, 0.00, 0.00, 1
room node 27, 0.00, 0.00, 1
room node 28, 0.00, 0.00, 1
room node 29, 0.00, 0.00, 1
room node 30, 0.00, 0.00, 1
room node 31, 0.00, 0.00, 1
room node 32, 0.00, 0.00, 1
room node 33, 0.00, 0.00, 1
room node 34, 0.00, 0.00, 1
room node 35, 0.00, 0.00, 1
room node 36, 0.00, 0.00, 1
room node 37, 0.00, 0.00, 1
room node 38, 0.00, 0.00, 1
room node 39, 0.00, 0.00, 1
room node 40, 0.00, 0.00, 1
room node 41, 0.00, 70.28, 6
room node 42, 0.00, 0.00, 1
room node 43, 0.00, 0.00, 1
room node 44, 0.00, 0.00, 1
room node 45, 0.00, 0.00, 1
room node 46, 0.00, 0.00, 1
room node 47, 0.00, 0.00, 1
room node 48, 0.00, 0.00, 1
room node 49, 0.00, 0.00, 1
room node 50, 0.00, 0.00, 1
room node 51, 0.00, 0.00, 1
room node 52, 0.00, 0.00, 1
door 1, 0.00, 0.00, 0
door 2, 10.86, 11.34, 3
door 3, 8.16, 71.56, 4
door 4, 2.52, 2.70, 2
door 5, 2.78, 2.78, 1
door 6, 24.14, 87.40, 5
door 7, 10.58, 54.12, 7
door 8, 7.92, 71.42, 4
door 9, 3.26, 3.26, 1
door 10, 10.42, 53.96, 5
door 11, 4.58, 30.08, 8
door 12, 4.00, 40.82, 5
door 13, 4.22, 29.94, 8
door 14, 3.86, 41.00, 5
door 15, 6.18, 6.66, 2
door 16, 5.10, 5.10, 1
door 17, 3.40, 3.40, 1
door 18, 24.32, 87.56, 5
door 19, 0.00, 0.00, 0
door 20, 11.00, 11.34, 4
door 21, 0.00, 0.00, 0
door 22, 5.50, 5.50, 1
door 23, 5.16, 5.16, 1
door 24, 1.60, 1.88, 2
door 25, 4.58, 4.82, 3
door 26, 4.86, 4.86, 1
door 27, 2.78, 2.78, 1
door 28, 4.76, 4.82, 2
door 29, 4.02, 4.08, 2
door 30, 4.58, 4.82, 3
door 31, 10.08, 10.08, 1
door 32, 0.00, 0.00, 0
door 33, 4.24, 4.82, 4
door 34, 4.08, 4.08, 1
door 35, 4.68, 41.26, 14
door 36, 5.42, 43.30, 10
door 37, 5.08, 46.46, 9
door 38, 3.88, 56.30, 7
door 39, 4.86, 61.48, 6
door 40, 3.34, 11.92, 2
door 41, 5.16, 10.12, 2
door 42, 32.46, 69.30, 4
door 43, 24.46, 25.06, 2
door 44, 4.68, 51.76, 11
door 45, 3.68, 50.38, 10
door 46, 4.76, 84.88, 7
door 47, 4.20, 56.98, 13
door 48, 4.70, 41.26, 13
door 49, 19.20, 34.36, 3
door 50, 4.68, 16.80, 6
door 51, 5.08, 11.34, 7
door 52, 0.00, 0.00, 0
door 53, 0.00, 0.00, 0
door 54, 6.20, 11.34, 8
door 55, 5.32, 16.08, 10
door 56, 1.48, 1.88, 2
door 57, 4.62, 16.24, 6
door 58, 4.76, 61.70, 10
door 59, 3.68, 50.32, 9
door 60, 4.98, 4.98, 1
door 61, 6.02, 6.66, 2
door 62, 4.96, 11.14, 6
door 63, 0.00, 0.00, 0
door 64, 4.08, 4.82, 4
door 65, 4.62, 4.82, 2
door 66, 4.58, 4.82, 3
door 67, 3.30, 3.30, 1
door 68, 3.86, 3.86, 1
door 69, 3.10, 12.14, 3
door 70, 4.58, 16.80, 6
door 71, 3.96, 3.96, 1
door 72, 4.72, 4.82, 2
door 73, 3.72, 56.44, 11
door 74, 3.22, 3.22, 1
door 75, 3.44, 3.44, 1
door 76, 3.24, 3.24, 1
door 77, 0.00, 0.00, 0
door 78, 4.58, 51.98, 17
door 79, 5.10, 10.20, 2
door 80, 9.94, 9.94, 1
door 81, 5.26, 43.52, 15
door 82, 0.00, 0.00, 0
door 83, 4.96, 46.68, 13
door 84, 4.58, 4.82, 3
door 85, 2.64, 2.70, 2
door 86, 3.14, 3.14, 1
door 87, 3.30, 3.36, 2
door 88, 3.36, 3.44, 2
door 89, 3.16, 3.22, 2
door 90, 3.22, 3.22, 1
door 91, 2.86, 2.86, 1
door 92, 3.08, 3.08, 1
door 93, 4.02, 57.20, 17
door 94, 3.00, 3.00, 1
door 95, 3.30, 3.30, 1
door 96, 3.08, 3.46, 3
door 97, 3.00, 3.00, 1
door 98, 5.06, 5.06, 1
door 99, 5.40, 5.40, 1
door 100, 0.00, 0.00, 0
door 101, 0.00, 0.00, 0
door 102, 4.58, 4.62, 2
door 103, 0.00, 0.00, 0
door 104, 0.00, 0.00, 0
door 105, 0.00, 0.00, 0
door 106, 0.00, 0.00, 0
door 107, 0.00, 0.00, 0
door 108, 0.00, 0.00, 0
door 109, 3.14, 3.14, 1
door 110, 0.00, 0.00, 0
door 111, 2.44, 2.70, 2
door 112, 4.62, 85.10, 9
door 113, 24.60, 25.28, 4
door 114, 32.58, 69.52, 7
door 115, 3.40, 3.40, 1
door 116, 2.70, 86.72, 6
door 117, 19.34, 34.58, 5
door 118, 0.00, 0.00, 0
door 119, 0.00, 0.00, 0
door 120, 0.00, 0.00, 0
door 121, 6.36, 11.34, 8
door 122, 5.48, 15.86, 10
door 123, 4.76, 16.80, 7
door 124, 2.34, 2.70, 2
door 125, 7.28, 7.32, 2
door 126, 7.10, 7.10, 1
door 127, 0.00, 0.00, 0
door 128, 0.00, 0.00, 0
door 129, 0.00, 0.00, 0
door 130, 0.00, 0.00, 0
door 131, 0.00, 0.00, 0
exit 1, 10.06, 42.78, 14
exit 2, 15.30, 15.30, 1
exit 3, 4.58, 4.58, 1
exit 4, 19.48, 123.96, 17
exit 5, 26.40, 111.12, 11
exit 6, 3.24, 3.24, 1
exit 7, 0.00, 0.00, 0
exit 8, 0.00, 0.00, 0
exit 9, 0.00, 0.00, 0
exit 10, 4.62, 4.62, 1
exit 11, 6.92, 30.92, 6
