Agent Name, Agent Weight, Line to Exit, Distance Traveled, # of Visited Targets
smart agent 15, 1, 11.47m, 18.92m, 3 targets
smart agent 16, 1, 21.65m, 22.03m, 2 targets
smart agent 14, 1, 17.79m, 25.07m, 5 targets
smart agent 13, 1, 16.98m, 25.79m, 6 targets
smart agent 20, 1, 25.27m, 30.48m, 6 targets
smart agent 4, 1, 23.17m, 32.68m, 2 targets
smart agent 8, 1, 22.92m, 32.90m, 3 targets
smart agent 5, 1, 22.05m, 33.24m, 5 targets
smart agent 1, 1, 22.57m, 34.65m, 3 targets
smart agent 18, 1, 29.46m, 32.17m, 9 targets
smart agent 6, 1, 35.32m, 36.00m, 4 targets
smart agent 2, 1, 34.84m, 36.12m, 6 targets
smart agent 7, 1, 36.03m, 36.62m, 3 targets
smart agent 23, 1, 10.13m, 34.49m, 8 targets
smart agent 3, 1, 36.54m, 37.15m, 3 targets
smart agent 19, 1, 30.82m, 36.80m, 7 targets
smart agent 11, 1, 39.12m, 43.55m, 4 targets
smart agent 9, 1, 42.07m, 45.29m, 6 targets
smart agent 10, 1, 35.00m, 46.83m, 9 targets
smart agent 12, 1, 33.99m, 47.43m, 8 targets
smart agent 21, 1, 20.63m, 63.59m, 13 targets
smart agent 17, 1, 19.18m, 66.52m, 15 targets
smart agent 22, 1, 17.20m, 70.56m, 12 targets
smart agent 24, 1, 49.04m, 75.13m, 13 targets
