Object Name, First Visit, Last Visit, Total # of Visits
module node 1, 0.00, 0.00, 0
module node 2, 15.00, 15.00, 1
module node 3, 0.00, 0.00, 0
module node 4, 0.00, 0.00, 0
module node 5, 0.00, 0.00, 0
module node 6, 0.00, 0.00, 0
module node 7, 0.00, 0.00, 0
module node 8, 15.74, 15.74, 1
module node 9, 0.00, 0.00, 0
module node 10, 0.00, 0.00, 0
module node 11, 0.00, 0.00, 0
module node 12, 0.00, 0.00, 0
module node 13, 0.00, 0.00, 0
module node 14, 0.00, 0.00, 0
module node 15, 0.00, 0.00, 0
module node 16, 0.00, 0.00, 0
module node 17, 0.00, 0.00, 0
module node 18, 0.00, 0.00, 0
module node 19, 0.00, 0.00, 0
module node 20, 0.00, 0.00, 0
module node 21, 0.00, 0.00, 0
module node 22, 0.00, 0.00, 0
module node 23, 0.00, 0.00, 0
module node 24, 0.00, 0.00, 0
module node 25, 0.00, 0.00, 0
module node 26, 0.00, 0.00, 0
module node 27, 0.00, 0.00, 0
module node 28, 0.00, 0.00, 0
module node 29, 0.00, 0.00, 0
module node 30, 0.00, 0.00, 0
module node 31, 0.00, 0.00, 0
module node 32, 13.78, 13.78, 1
room node 1, 0.00, 0.00, 1
room node 2, 0.00, 0.00, 1
room node 3, 0.00, 0.00, 1
room node 4, 0.00, 0.00, 1
room node 5, 0.00, 0.00, 1
room node 6, 0.00, 0.00, 1
room node 7, 0.00, 0.00, 1
room node 8, 0.00, 0.00, 1
room node 9, 0.00, 0.00, 1
room node 10, 0.00, 8.76, 4
room node 11, 0.00, 0.00, 1
room node 12, 0.00, 0.00, 1
room node 13, 0.00, 5.80, 2
room node 14, 0.00, 0.00, 1
room node 15, 0.00, 0.00, 1
room node 16, 0.00, 0.00, 1
room node 17, 0.00, 0.00, 1
room node 18, 0.00, 0.00, 1
room node 19, 0.00, 0.00, 1
room node 20, 0.00, 0.00, 1
room node 21, 0.00, 0.00, 1
room node 22, 0.00, 0.00, 1
room node 23, 0.00, 0.00, 1
room node 24, 0.00, 0.00, 1
door 1, 8.64, 8.64, 1
door 2, 7.52, 7.68, 2
door 3, 9.00, 9.00, 1
door 4, 7.70, 7.70, 1
door 5, 7.52, 7.68, 2
door 6, 7.76, 7.76, 1
door 7, 7.68, 7.68, 1
door 8, 6.88, 6.88, 1
door 9, 4.54, 6.34, 3
door 10, 1.82, 10.58, 3
door 11, 3.80, 7.68, 4
door 12, 2.58, 12.28, 3
door 13, 1.70, 3.34, 2
door 14, 7.68, 8.42, 2
door 15, 1.70, 3.34, 2
door 16, 4.66, 4.66, 1
door 17, 5.96, 5.96, 1
door 18, 2.30, 13.52, 4
door 19, 3.52, 30.06, 7
door 20, 2.02, 8.34, 2
door 21, 7.24, 52.10, 11
door 22, 2.02, 8.34, 2
door 23, 3.90, 6.64, 2
door 24, 3.64, 29.84, 4
door 25, 2.30, 13.52, 4
door 26, 4.24, 17.56, 6
door 27, 4.14, 15.08, 4
door 28, 0.00, 0.00, 0
door 29, 0.00, 0.00, 0
door 30, 17.18, 17.62, 3
door 31, 19.52, 19.58, 2
door 32, 50.40, 50.40, 1
door 33, 0.00, 0.00, 0
door 34, 0.00, 0.00, 0
door 35, 0.00, 0.00, 0
door 36, 8.64, 8.64, 1
door 37, 7.52, 7.68, 2
door 38, 0.00, 0.00, 0
door 39, 17.32, 17.40, 2
door 40, 19.36, 19.80, 3
door 41, 0.00, 0.00, 0
door 42, 0.00, 0.00, 0
door 43, 0.00, 0.00, 0
door 44, 0.00, 0.00, 0
door 45, 50.40, 50.40, 1
door 46, 7.68, 7.68, 1
door 47, 6.88, 6.88, 1
door 48, 0.00, 0.00, 0
door 49, 0.00, 0.00, 0
door 50, 0.00, 0.00, 0
door 51, 0.00, 0.00, 0
door 52, 7.40, 52.24, 13
door 53, 2.58, 12.28, 3
door 54, 7.68, 8.42, 2
door 55, 7.76, 7.76, 1
door 56, 7.52, 7.68, 2
door 57, 0.00, 0.00, 0
door 58, 0.00, 0.00, 0
door 59, 4.12, 6.24, 4
door 60, 1.98, 10.74, 4
door 61, 4.78, 4.78, 1
door 62, 0.00, 0.00, 0
door 63, 0.00, 0.00, 0
exit 1, 27.88, 64.60, 3
exit 2, 26.46, 29.54, 2
exit 3, 15.24, 38.88, 8
exit 4, 24.84, 63.42, 11
