Agent Name, Agent Weight, Line to Exit, Distance Traveled, # of Visited Targets
smart agent 24, 1, 3.96m, 4.04m, 2 targets
smart agent 16, 1, 5.37m, 5.80m, 1 targets
smart agent 2, 1, 5.71m, 5.85m, 3 targets
smart agent 31, 1, 7.55m, 8.65m, 5 targets
smart agent 13, 1, 6.78m, 12.34m, 7 targets
smart agent 11, 1, 14.20m, 14.94m, 4 targets
smart agent 12, 1, 13.76m, 16.25m, 4 targets
smart agent 25, 1, 18.87m, 18.89m, 1 targets
smart agent 3, 1, 7.40m, 20.35m, 7 targets
smart agent 10, 1, 18.98m, 20.34m, 4 targets
smart agent 36, 1, 13.92m, 22.47m, 3 targets
smart agent 4, 1, 16.22m, 23.73m, 3 targets
smart agent 27, 1, 23.59m, 23.77m, 7 targets
smart agent 40, 1, 22.38m, 24.71m, 5 targets
smart agent 14, 1, 19.15m, 25.90m, 4 targets
smart agent 9, 1, 25.18m, 27.93m, 4 targets
smart agent 5, 1, 23.69m, 30.91m, 5 targets
smart agent 20, 1, 11.75m, 32.61m, 6 targets
smart agent 15, 1, 30.50m, 34.15m, 6 targets
smart agent 37, 1, 26.70m, 34.65m, 9 targets
smart agent 8, 1, 31.82m, 35.62m, 5 targets
smart agent 6, 1, 31.03m, 38.42m, 4 targets
smart agent 34, 1, 32.50m, 39.38m, 6 targets
smart agent 17, 1, 36.74m, 39.52m, 8 targets
smart agent 52, 1, 43.05m, 43.28m, 9 targets
smart agent 7, 1, 39.74m, 44.24m, 4 targets
smart agent 1, 1, 6.84m, 46.36m, 8 targets
smart agent 47, 1, 22.05m, 47.09m, 9 targets
smart agent 38, 1, 36.64m, 50.13m, 4 targets
smart agent 51, 1, 49.35m, 50.50m, 6 targets
smart agent 33, 1, 21.75m, 47.43m, 21 targets
smart agent 39, 1, 44.99m, 52.91m, 3 targets
smart agent 30, 1, 19.00m, 48.08m, 18 targets
smart agent 26, 1, 36.86m, 54.39m, 7 targets
smart agent 32, 1, 26.41m, 50.58m, 22 targets
smart agent 35, 1, 48.83m, 57.66m, 7 targets
smart agent 19, 1, 27.89m, 58.89m, 8 targets
smart agent 18, 1, 41.04m, 59.74m, 9 targets
smart agent 29, 1, 33.05m, 60.96m, 18 targets
smart agent 45, 1, 44.32m, 60.86m, 15 targets
smart agent 28, 1, 27.74m, 73.46m, 14 targets
smart agent 22, 1, 8.89m, 96.00m, 19 targets
smart agent 21, 1, 17.75m, 95.84m, 16 targets
smart agent 42, 1, 63.15m, 93.23m, 36 targets
smart agent 44, 1, 49.43m, 96.18m, 29 targets
smart agent 43, 1, 57.00m, 98.23m, 29 targets
smart agent 41, 1, 50.58m, 107.41m, 19 targets
smart agent 23, 1, 14.47m, 135.54m, 29 targets
smart agent 46, 1, 37.84m, 128.33m, 25 targets
smart agent 48, 1, 35.40m, 140.38m, 21 targets
smart agent 50, 1, 24.07m, 143.99m, 25 targets
smart agent 49, 1, 34.64m, 149.82m, 28 targets
