Object Name, Agent Name, Agent Weight, Position-X, Position-Z, Time (Seconds)
room node 15, smart agent 15, 1, -66.70, 36.60, 0.00
room node 14, smart agent 14, 1, -66.50, 24.90, 0.00
room node 13, smart agent 13, 1, -64.44, 1.45, 0.00
room node 12, smart agent 12, 1, -63.62, -6.55, 0.00
room node 16, smart agent 16, 1, -58.40, 38.70, 0.00
room node 11, smart agent 11, 1, -55.51, -6.59, 0.00
room node 10, smart agent 10, 1, -47.48, -7.24, 0.00
room node 36, smart agent 36, 1, -46.60, 9.50, 0.00
room node 17, smart agent 17, 1, -39.50, 37.10, 0.00
room node 9, smart agent 9, 1, -39.37, -7.28, 0.00
room node 37, smart agent 37, 1, -33.60, 5.30, 0.00
room node 8, smart agent 8, 1, -31.64, -7.12, 0.00
room node 35, smart agent 35, 1, -28.10, 14.40, 0.00
room node 18, smart agent 18, 1, -24.20, 28.70, 0.00
room node 38, smart agent 38, 1, -23.70, 4.30, 0.00
room node 7, smart agent 7, 1, -23.05, -7.16, 0.00
room node 6, smart agent 6, 1, -15.32, -7.00, 0.00
room node 39, smart agent 39, 1, -15.30, 5.00, 0.00
room node 19, smart agent 19, 1, -11.40, 36.00, 0.00
room node 34, smart agent 34, 1, -9.40, 14.70, 0.00
room node 5, smart agent 5, 1, -7.78, -7.25, 0.00
room node 40, smart agent 40, 1, -6.00, 5.20, 0.00
room node 4, smart agent 4, 1, -0.05, -7.09, 0.00
room node 21, smart agent 21, 1, 0.50, 42.20, 0.00
room node 20, smart agent 20, 1, 5.30, 30.70, 0.00
room node 30, smart agent 30, 1, 8.40, 17.20, 0.00
room node 23, smart agent 23, 1, 8.80, 46.70, 0.00
room node 32, smart agent 32, 1, 8.90, 9.10, 0.00
room node 3, smart agent 3, 1, 9.01, -5.71, 0.00
room node 33, smart agent 33, 1, 9.29, 13.87, 0.00
room node 22, smart agent 22, 1, 9.70, 40.20, 0.00
room node 31, smart agent 31, 1, 11.20, 4.60, 0.00
room node 24, smart agent 24, 1, 21.30, 38.00, 0.00
room node 2, smart agent 2, 1, 22.19, -6.43, 0.00
room node 1, smart agent 1, 1, 32.79, -7.06, 0.00
room node 47, smart agent 47, 1, 33.60, -23.20, 0.00
room node 50, smart agent 50, 1, 47.10, -17.00, 0.00
room node 27, smart agent 27, 1, 50.60, 6.40, 0.00
room node 29, smart agent 29, 1, 50.70, 22.70, 0.00
room node 28, smart agent 28, 1, 50.80, 14.70, 0.00
room node 46, smart agent 46, 1, 50.80, -32.30, 0.00
room node 48, smart agent 48, 1, 59.60, -18.60, 0.00
room node 45, smart agent 45, 1, 60.00, -32.90, 0.00
room node 26, smart agent 26, 1, 61.30, 15.00, 0.00
room node 49, smart agent 49, 1, 62.30, -9.20, 0.00
room node 25, smart agent 25, 1, 62.70, 38.20, 0.00
room node 44, smart agent 44, 1, 68.10, -31.30, 0.00
room node 43, smart agent 43, 1, 70.00, -40.80, 0.00
room node 52, smart agent 52, 1, 71.32, 2.32, 0.00
room node 41, smart agent 41, 1, 75.80, -19.60, 0.00
room node 51, smart agent 51, 1, 77.80, -0.60, 0.00
room node 42, smart agent 42, 1, 78.10, -40.80, 0.00
door 56, smart agent 31, 1, 10.36, 3.04, 1.48
door 24, smart agent 31, 1, 10.36, 2.92, 1.60
door 24, smart agent 31, 1, 10.36, 2.92, 1.88
door 56, smart agent 31, 1, 10.36, 3.04, 1.88
door 124, smart agent 52, 1, 68.53, 2.61, 2.34
door 111, smart agent 52, 1, 68.41, 2.61, 2.44
door 4, smart agent 18, 1, -21.15, 28.39, 2.52
door 85, smart agent 11, 1, -57.55, -3.96, 2.64
door 4, smart agent 18, 1, -21.15, 28.39, 2.70
door 111, smart agent 52, 1, 68.41, 2.61, 2.70
door 124, smart agent 52, 1, 68.53, 2.61, 2.70
door 85, smart agent 11, 1, -57.55, -3.96, 2.70
door 116, smart agent 51, 1, 74.55, -0.32, 2.70
door 5, smart agent 18, 1, -21.03, 28.39, 2.78
door 27, smart agent 11, 1, -57.55, -3.84, 2.78
door 91, smart agent 4, 1, -1.69, -3.96, 2.86
door 94, smart agent 8, 1, -33.61, -3.96, 3.00
door 97, smart agent 4, 1, -1.69, -3.84, 3.00
door 92, smart agent 6, 1, -17.65, -3.96, 3.08
door 96, smart agent 5, 1, -9.67, -3.96, 3.08
door 69, smart agent 1, 1, 33.47, -10.76, 3.10
door 86, smart agent 10, 1, -49.57, -3.96, 3.14
door 109, smart agent 24, 1, 19.67, 34.51, 3.14
door 89, smart agent 8, 1, -33.61, -3.84, 3.16
door 90, smart agent 9, 1, -41.59, -3.96, 3.22
door 74, smart agent 6, 1, -17.65, -3.84, 3.22
door 89, smart agent 8, 1, -33.61, -3.84, 3.22
door 76, smart agent 5, 1, -9.67, -3.84, 3.24
exit 6, smart agent 24, 1, 19.67, 34.39, 3.24
door 9, smart agent 20, 1, 4.38, 26.82, 3.26
door 95, smart agent 7, 1, -25.63, -3.96, 3.30
door 87, smart agent 10, 1, -49.57, -3.84, 3.30
door 67, smart agent 27, 1, 46.73, 5.45, 3.30
door 96, smart agent 5, 1, -9.67, -3.96, 3.30
door 40, smart agent 1, 1, 33.48, -10.88, 3.34
door 88, smart agent 9, 1, -41.59, -3.84, 3.36
door 87, smart agent 10, 1, -49.57, -3.84, 3.36
door 17, smart agent 20, 1, 4.38, 26.70, 3.40
door 115, smart agent 27, 1, 46.61, 5.45, 3.40
door 75, smart agent 7, 1, -25.63, -3.84, 3.44
door 88, smart agent 9, 1, -41.59, -3.84, 3.44
door 96, smart agent 5, 1, -9.67, -3.96, 3.46
module node 29, smart agent 52, 1, 66.90, 2.00, 3.66
door 59, smart agent 44, 1, 71.51, -34.38, 3.68
door 45, smart agent 44, 1, 71.48, -34.38, 3.68
door 73, smart agent 48, 1, 56.53, -15.32, 3.72
door 68, smart agent 38, 1, -20.52, 0.68, 3.86
door 14, smart agent 23, 1, 4.95, 49.50, 3.86
door 38, smart agent 48, 1, 56.41, -15.32, 3.88
door 71, smart agent 39, 1, -17.52, 0.68, 3.96
door 12, smart agent 23, 1, 4.83, 49.50, 4.00
door 29, smart agent 38, 1, -20.52, 0.58, 4.02
door 93, smart agent 42, 1, 77.92, -35.94, 4.02
door 64, smart agent 37, 1, -35.52, 0.68, 4.08
door 34, smart agent 39, 1, -17.52, 0.58, 4.08
door 29, smart agent 38, 1, -20.52, 0.58, 4.08
door 12, smart agent 23, 1, 4.83, 49.50, 4.08
door 47, smart agent 42, 1, 77.91, -35.82, 4.20
door 13, smart agent 22, 1, 4.95, 38.25, 4.22
door 33, smart agent 37, 1, -35.52, 0.58, 4.24
door 47, smart agent 42, 1, 77.91, -35.82, 4.24
door 66, smart agent 13, 1, -59.11, 0.91, 4.58
door 30, smart agent 13, 1, -59.01, 0.91, 4.58
door 11, smart agent 22, 1, 4.83, 38.25, 4.58
door 13, smart agent 22, 1, 4.95, 38.25, 4.58
door 70, smart agent 29, 1, 55.61, 25.45, 4.58
exit 3, smart agent 16, 1, -56.84, 43.83, 4.58
door 64, smart agent 37, 1, -35.52, 0.68, 4.58
door 33, smart agent 37, 1, -35.52, 0.58, 4.58
door 84, smart agent 3, 1, 6.29, -0.96, 4.58
door 25, smart agent 3, 1, 6.29, -0.84, 4.58
door 102, smart agent 2, 1, 25.47, -1.88, 4.58
door 78, smart agent 43, 1, 72.77, -35.94, 4.58
door 47, smart agent 42, 1, 77.91, -35.82, 4.58
door 93, smart agent 42, 1, 77.92, -35.94, 4.58
door 66, smart agent 13, 1, -59.11, 0.91, 4.62
door 30, smart agent 13, 1, -59.01, 0.91, 4.62
door 11, smart agent 22, 1, 4.83, 38.25, 4.62
door 13, smart agent 22, 1, 4.95, 38.25, 4.62
door 70, smart agent 29, 1, 55.61, 25.45, 4.62
door 64, smart agent 37, 1, -35.52, 0.68, 4.62
door 33, smart agent 37, 1, -35.52, 0.58, 4.62
door 65, smart agent 40, 1, -2.52, 0.68, 4.62
door 57, smart agent 33, 1, 3.67, 13.96, 4.62
door 84, smart agent 3, 1, 6.29, -0.96, 4.62
door 25, smart agent 3, 1, 6.29, -0.84, 4.62
door 102, smart agent 2, 1, 25.47, -1.88, 4.62
exit 10, smart agent 2, 1, 25.47, -1.76, 4.62
door 78, smart agent 43, 1, 72.77, -35.94, 4.62
door 112, smart agent 51, 1, 72.97, -1.76, 4.62
door 47, smart agent 42, 1, 77.91, -35.82, 4.62
door 93, smart agent 42, 1, 77.92, -35.94, 4.62
door 35, smart agent 41, 1, 71.53, -23.58, 4.68
door 50, smart agent 29, 1, 55.73, 25.47, 4.68
door 44, smart agent 43, 1, 72.77, -35.82, 4.68
door 48, smart agent 41, 1, 71.53, -23.57, 4.70
door 72, smart agent 12, 1, -59.12, -2.58, 4.72
door 123, smart agent 33, 1, 3.55, 13.96, 4.76
door 46, smart agent 51, 1, 72.97, -1.88, 4.76
door 28, smart agent 40, 1, -2.52, 0.58, 4.76
door 58, smart agent 49, 1, 56.53, -9.32, 4.76
door 72, smart agent 12, 1, -59.12, -2.58, 4.82
door 66, smart agent 13, 1, -59.11, 0.91, 4.82
door 30, smart agent 13, 1, -59.01, 0.91, 4.82
door 57, smart agent 33, 1, 3.67, 13.96, 4.82
door 11, smart agent 22, 1, 4.83, 38.25, 4.82
door 70, smart agent 29, 1, 55.61, 25.45, 4.82
door 50, smart agent 29, 1, 55.73, 25.47, 4.82
door 48, smart agent 41, 1, 71.53, -23.57, 4.82
door 35, smart agent 41, 1, 71.53, -23.58, 4.82
door 64, smart agent 37, 1, -35.52, 0.68, 4.82
door 33, smart agent 37, 1, -35.52, 0.58, 4.82
door 65, smart agent 40, 1, -2.52, 0.68, 4.82
door 28, smart agent 40, 1, -2.52, 0.58, 4.82
door 123, smart agent 33, 1, 3.55, 13.96, 4.82
door 84, smart agent 3, 1, 6.29, -0.96, 4.82
door 25, smart agent 3, 1, 6.29, -0.84, 4.82
door 58, smart agent 49, 1, 56.53, -9.32, 4.82
door 44, smart agent 43, 1, 72.77, -35.82, 4.82
door 78, smart agent 43, 1, 72.77, -35.94, 4.82
door 46, smart agent 51, 1, 72.97, -1.88, 4.82
door 112, smart agent 51, 1, 72.97, -1.76, 4.82
door 47, smart agent 42, 1, 77.91, -35.82, 4.82
door 93, smart agent 42, 1, 77.92, -35.94, 4.82
door 50, smart agent 29, 1, 55.73, 25.47, 4.84
door 26, smart agent 12, 1, -58.99, -2.58, 4.86
door 39, smart agent 49, 1, 56.41, -9.32, 4.86
door 50, smart agent 29, 1, 55.73, 25.47, 4.90
door 62, smart agent 28, 1, 55.61, 18.45, 4.96
door 83, smart agent 46, 1, 54.15, -27.19, 4.96
door 60, smart agent 14, 1, -60.38, 24.79, 4.98
door 39, smart agent 49, 1, 56.41, -9.32, 4.98
door 98, smart agent 34, 1, -8.52, 20.80, 5.06
door 51, smart agent 28, 1, 55.73, 18.45, 5.08
door 37, smart agent 46, 1, 54.15, -27.07, 5.08
door 16, smart agent 14, 1, -60.26, 24.79, 5.10
door 79, smart agent 47, 1, 37.47, -18.23, 5.10
door 41, smart agent 47, 1, 37.47, -18.17, 5.16
door 23, smart agent 34, 1, -8.52, 20.92, 5.16
door 51, smart agent 28, 1, 55.73, 18.45, 5.18
door 37, smart agent 46, 1, 54.15, -27.07, 5.18
door 81, smart agent 45, 1, 57.02, -27.19, 5.26
door 62, smart agent 28, 1, 55.61, 18.45, 5.30
door 55, smart agent 30, 1, 2.38, 15.01, 5.32
door 11, smart agent 21, 1, 4.83, 38.25, 5.32
door 99, smart agent 35, 1, -26.52, 20.80, 5.40
door 36, smart agent 45, 1, 57.02, -27.07, 5.42
door 122, smart agent 30, 1, 2.38, 14.89, 5.48
door 36, smart agent 45, 1, 57.02, -27.07, 5.48
door 22, smart agent 35, 1, -26.52, 20.92, 5.50
door 13, smart agent 21, 1, 4.95, 38.25, 5.52
door 13, smart agent 21, 1, 4.95, 38.25, 5.54
door 122, smart agent 30, 1, 2.38, 14.89, 5.54
door 44, smart agent 44, 1, 72.77, -35.82, 5.76
door 51, smart agent 26, 1, 55.73, 18.45, 5.90
door 61, smart agent 15, 1, -60.38, 32.65, 6.02
door 78, smart agent 44, 1, 72.77, -35.94, 6.04
door 15, smart agent 15, 1, -60.28, 32.65, 6.18
door 54, smart agent 32, 1, 2.38, 12.91, 6.20
door 121, smart agent 32, 1, 2.38, 13.03, 6.36
door 15, smart agent 15, 1, -60.28, 32.65, 6.66
door 51, smart agent 26, 1, 55.73, 18.45, 6.66
door 61, smart agent 15, 1, -60.38, 32.65, 6.66
door 54, smart agent 32, 1, 2.38, 12.91, 6.66
door 121, smart agent 32, 1, 2.38, 13.03, 6.66
door 62, smart agent 26, 1, 55.61, 18.45, 6.66
door 44, smart agent 44, 1, 72.77, -35.82, 6.66
intersection node 1, smart agent 14, 1, -58.00, 24.00, 6.88
exit 11, smart agent 31, 1, 15.27, -1.76, 6.92
door 59, smart agent 43, 1, 71.51, -34.38, 7.00
door 45, smart agent 43, 1, 71.48, -34.38, 7.06
door 126, smart agent 27, 1, 42.17, 4.01, 7.10
door 45, smart agent 43, 1, 71.48, -34.38, 7.22
door 125, smart agent 27, 1, 42.17, 3.89, 7.28
door 122, smart agent 33, 1, 2.38, 14.89, 7.30
door 125, smart agent 27, 1, 42.17, 3.89, 7.32
intersection node 6, smart agent 20, 1, 0.00, 24.00, 7.34
door 55, smart agent 33, 1, 2.38, 15.01, 7.46
door 55, smart agent 33, 1, 2.38, 15.01, 7.52
door 38, smart agent 50, 1, 56.41, -15.32, 7.72
door 73, smart agent 50, 1, 56.53, -15.32, 7.82
door 8, smart agent 19, 1, -21.03, 37.50, 7.92
door 121, smart agent 30, 1, 2.38, 13.03, 8.06
door 3, smart agent 19, 1, -21.19, 37.50, 8.16
door 36, smart agent 46, 1, 57.02, -27.07, 8.42
door 54, smart agent 30, 1, 2.38, 12.91, 8.46
module node 28, smart agent 52, 1, 60.90, 2.00, 8.46
door 81, smart agent 46, 1, 57.02, -27.19, 8.56
door 81, smart agent 46, 1, 57.02, -27.19, 8.64
door 54, smart agent 30, 1, 2.38, 12.91, 8.70
door 121, smart agent 30, 1, 2.38, 13.03, 8.70
door 36, smart agent 46, 1, 57.02, -27.07, 8.70
door 81, smart agent 46, 1, 57.02, -27.19, 8.70
module node 28, smart agent 52, 1, 60.90, 2.00, 8.70
door 123, smart agent 32, 1, 3.55, 13.96, 8.74
door 44, smart agent 42, 1, 72.77, -35.82, 8.92
door 37, smart agent 45, 1, 54.15, -27.07, 8.96
door 78, smart agent 42, 1, 72.77, -35.94, 9.08
door 57, smart agent 32, 1, 3.67, 13.96, 9.12
door 83, smart agent 45, 1, 54.15, -27.19, 9.12
door 78, smart agent 42, 1, 72.77, -35.94, 9.14
door 83, smart agent 45, 1, 54.15, -27.19, 9.18
door 121, smart agent 33, 1, 2.38, 13.03, 9.38
module node 8, smart agent 6, 1, -10.00, -2.00, 9.52
module node 19, smart agent 20, 1, 3.40, 24.00, 9.74
door 80, smart agent 36, 1, -54.51, 0.67, 9.94
exit 1, smart agent 13, 1, -60.26, 6.79, 10.06
door 31, smart agent 36, 1, -54.51, 0.58, 10.08
door 41, smart agent 1, 1, 37.47, -18.17, 10.12
door 79, smart agent 1, 1, 37.47, -18.23, 10.20
door 54, smart agent 33, 1, 2.38, 12.91, 10.36
door 10, smart agent 23, 1, -3.03, 49.50, 10.42
door 122, smart agent 32, 1, 2.38, 14.89, 10.52
door 7, smart agent 23, 1, -3.15, 49.50, 10.58
door 121, smart agent 33, 1, 2.38, 13.03, 10.58
door 51, smart agent 29, 1, 55.73, 18.45, 10.64
door 7, smart agent 23, 1, -3.15, 49.50, 10.64
door 55, smart agent 32, 1, 2.38, 15.01, 10.66
door 122, smart agent 32, 1, 2.38, 14.89, 10.74
door 59, smart agent 42, 1, 71.51, -34.38, 10.78
door 62, smart agent 29, 1, 55.61, 18.45, 10.78
door 54, smart agent 33, 1, 2.38, 12.91, 10.80
door 45, smart agent 42, 1, 71.48, -34.38, 10.84
door 2, smart agent 17, 1, -48.31, 26.85, 10.86
door 62, smart agent 29, 1, 55.61, 18.45, 10.86
door 122, smart agent 32, 1, 2.38, 14.89, 10.88
door 55, smart agent 32, 1, 2.38, 15.01, 10.96
door 20, smart agent 17, 1, -48.31, 26.72, 11.00
door 20, smart agent 17, 1, -48.31, 26.72, 11.08
door 10, smart agent 23, 1, -3.03, 49.50, 11.14
door 62, smart agent 29, 1, 55.61, 18.45, 11.14
door 51, smart agent 29, 1, 55.73, 18.45, 11.14
door 2, smart agent 17, 1, -48.31, 26.85, 11.14
door 20, smart agent 17, 1, -48.31, 26.72, 11.14
door 7, smart agent 23, 1, -3.15, 49.50, 11.14
door 55, smart agent 32, 1, 2.38, 15.01, 11.14
door 122, smart agent 32, 1, 2.38, 14.89, 11.14
door 54, smart agent 33, 1, 2.38, 12.91, 11.14
door 121, smart agent 33, 1, 2.38, 13.03, 11.14
door 45, smart agent 42, 1, 71.48, -34.38, 11.14
door 59, smart agent 42, 1, 71.51, -34.38, 11.14
door 47, smart agent 44, 1, 77.91, -35.82, 11.18
door 47, smart agent 44, 1, 77.91, -35.82, 11.34
door 93, smart agent 44, 1, 77.92, -35.94, 11.34
door 2, smart agent 17, 1, -48.31, 26.85, 11.34
door 20, smart agent 17, 1, -48.31, 26.72, 11.34
door 55, smart agent 32, 1, 2.38, 15.01, 11.34
door 54, smart agent 33, 1, 2.38, 12.91, 11.34
door 121, smart agent 33, 1, 2.38, 13.03, 11.34
door 51, smart agent 29, 1, 55.73, 18.45, 11.34
door 123, smart agent 30, 1, 3.55, 13.96, 11.36
door 122, smart agent 32, 1, 2.38, 14.89, 11.36
door 93, smart agent 44, 1, 77.92, -35.94, 11.40
door 57, smart agent 30, 1, 3.67, 13.96, 11.74
module node 24, smart agent 27, 1, 36.90, 2.00, 11.88
door 40, smart agent 47, 1, 33.48, -10.88, 11.92
door 123, smart agent 30, 1, 3.55, 13.96, 11.96
exit 1, smart agent 11, 1, -60.26, 6.79, 12.12
door 69, smart agent 47, 1, 33.47, -10.76, 12.12
door 69, smart agent 47, 1, 33.47, -10.76, 12.14
door 57, smart agent 30, 1, 3.67, 13.96, 12.18
intersection node 6, smart agent 34, 1, 0.00, 24.00, 12.32
door 38, smart agent 49, 1, 56.41, -15.32, 12.38
door 73, smart agent 49, 1, 56.53, -15.32, 12.52
door 73, smart agent 49, 1, 56.53, -15.32, 12.60
door 122, smart agent 33, 1, 2.38, 14.89, 12.68
door 47, smart agent 43, 1, 77.91, -35.82, 12.76
door 55, smart agent 33, 1, 2.38, 15.01, 12.80
door 93, smart agent 43, 1, 77.92, -35.94, 12.90
exit 1, smart agent 12, 1, -60.26, 6.79, 13.14
module node 27, smart agent 52, 1, 54.90, 2.00, 13.32
intersection node 1, smart agent 15, 1, -58.00, 24.00, 13.42
door 36, smart agent 48, 1, 57.02, -27.07, 14.58
module node 20, smart agent 20, 1, 9.40, 24.00, 14.58
door 81, smart agent 48, 1, 57.02, -27.19, 14.80
door 59, smart agent 41, 1, 71.51, -34.38, 14.94
door 45, smart agent 41, 1, 71.48, -34.38, 15.00
door 12, smart agent 22, 1, 4.83, 49.50, 15.08
module node 19, smart agent 34, 1, 3.40, 24.00, 15.10
door 14, smart agent 22, 1, 4.95, 49.50, 15.26
exit 2, smart agent 25, 1, 76.67, 50.89, 15.30
door 14, smart agent 22, 1, 4.95, 49.50, 15.30
door 123, smart agent 32, 1, 3.55, 13.96, 15.82
door 122, smart agent 30, 1, 2.38, 14.89, 15.86
door 12, smart agent 21, 1, 4.83, 49.50, 15.94
door 55, smart agent 30, 1, 2.38, 15.01, 16.02
door 55, smart agent 30, 1, 2.38, 15.01, 16.08
door 14, smart agent 21, 1, 4.95, 49.50, 16.10
door 57, smart agent 32, 1, 3.67, 13.96, 16.24
door 50, smart agent 28, 1, 55.73, 25.47, 16.28
door 70, smart agent 28, 1, 55.61, 25.45, 16.42
exit 11, smart agent 3, 1, 15.27, -1.76, 16.44
door 44, smart agent 41, 1, 72.77, -35.82, 16.50
door 70, smart agent 28, 1, 55.61, 25.45, 16.50
door 78, smart agent 41, 1, 72.77, -35.94, 16.64
exit 1, smart agent 10, 1, -60.26, 6.79, 16.66
door 78, smart agent 41, 1, 72.77, -35.94, 16.72
door 123, smart agent 32, 1, 3.55, 13.96, 16.80
door 70, smart agent 28, 1, 55.61, 25.45, 16.80
door 50, smart agent 28, 1, 55.73, 25.47, 16.80
door 44, smart agent 41, 1, 72.77, -35.82, 16.80
door 78, smart agent 41, 1, 72.77, -35.94, 16.80
door 36, smart agent 50, 1, 57.02, -27.07, 17.52
door 81, smart agent 50, 1, 57.02, -27.19, 17.66
door 81, smart agent 50, 1, 57.02, -27.19, 17.74
door 37, smart agent 48, 1, 54.15, -27.07, 17.78
door 83, smart agent 48, 1, 54.15, -27.19, 17.92
module node 1, smart agent 8, 1, -52.00, -2.00, 18.02
exit 1, smart agent 36, 1, -60.26, 6.79, 18.22
exit 11, smart agent 4, 1, 15.27, -1.76, 19.10
door 49, smart agent 26, 1, 60.17, 4.01, 19.20
door 38, smart agent 45, 1, 56.41, -15.32, 19.24
door 117, smart agent 26, 1, 60.17, 3.89, 19.34
door 73, smart agent 45, 1, 56.53, -15.32, 19.42
door 73, smart agent 45, 1, 56.53, -15.32, 19.46
exit 4, smart agent 27, 1, 28.47, -1.76, 19.48
module node 20, smart agent 34, 1, 9.40, 24.00, 19.92
exit 11, smart agent 40, 1, 15.27, -1.76, 19.98
exit 1, smart agent 14, 1, -60.26, 6.79, 20.94
door 37, smart agent 50, 1, 54.15, -27.07, 21.08
door 83, smart agent 50, 1, 54.15, -27.19, 21.26
door 83, smart agent 50, 1, 54.15, -27.19, 21.30
door 47, smart agent 41, 1, 77.91, -35.82, 21.62
door 10, smart agent 22, 1, -3.03, 49.50, 21.68
door 48, smart agent 46, 1, 71.53, -23.57, 21.72
door 35, smart agent 46, 1, 71.53, -23.58, 21.72
door 11, smart agent 23, 1, 4.83, 38.25, 21.76
door 93, smart agent 41, 1, 77.92, -35.94, 21.78
door 7, smart agent 22, 1, -3.15, 49.50, 21.84
door 93, smart agent 41, 1, 77.92, -35.94, 21.84
door 13, smart agent 23, 1, 4.95, 38.25, 21.94
door 48, smart agent 46, 1, 71.53, -23.57, 21.94
door 35, smart agent 42, 1, 71.53, -23.58, 21.96
door 48, smart agent 42, 1, 71.53, -23.57, 21.96
door 13, smart agent 23, 1, 4.95, 38.25, 21.98
intersection node 6, smart agent 33, 1, 0.00, 24.00, 22.04
door 11, smart agent 23, 1, 4.83, 38.25, 22.16
door 11, smart agent 23, 1, 4.83, 38.25, 22.20
door 10, smart agent 21, 1, -3.03, 49.50, 22.46
exit 1, smart agent 9, 1, -60.26, 6.79, 22.58
door 7, smart agent 21, 1, -3.15, 49.50, 22.60
door 7, smart agent 21, 1, -3.15, 49.50, 22.68
door 36, smart agent 49, 1, 57.02, -27.07, 22.76
door 35, smart agent 42, 1, 71.53, -23.58, 22.84
door 48, smart agent 42, 1, 71.53, -23.57, 22.86
door 81, smart agent 49, 1, 57.02, -27.19, 22.90
door 81, smart agent 49, 1, 57.02, -27.19, 22.98
door 49, smart agent 29, 1, 60.17, 4.01, 23.24
door 117, smart agent 29, 1, 60.17, 3.89, 23.40
door 117, smart agent 29, 1, 60.17, 3.89, 23.46
module node 18, smart agent 35, 1, -4.40, 24.00, 23.68
door 35, smart agent 46, 1, 71.53, -23.58, 23.92
door 35, smart agent 44, 1, 71.53, -23.58, 24.12
door 48, smart agent 44, 1, 71.53, -23.57, 24.14
door 6, smart agent 19, 1, -4.62, 26.82, 24.14
door 18, smart agent 19, 1, -4.62, 26.70, 24.32
door 43, smart agent 1, 1, 44.47, -1.88, 24.46
module node 19, smart agent 33, 1, 3.40, 24.00, 24.52
door 39, smart agent 45, 1, 56.41, -9.32, 24.58
door 113, smart agent 1, 1, 44.47, -1.76, 24.60
door 113, smart agent 1, 1, 44.47, -1.76, 24.68
door 58, smart agent 45, 1, 56.53, -9.32, 24.76
door 58, smart agent 45, 1, 56.53, -9.32, 24.80
