Agent Name, Agent Weight, Line to Exit, Distance Traveled, # of Visited Targets
smart agent 7, 1, 2.69m, 2.73m, 1 targets
smart agent 9, 1, 3.08m, 3.21m, 1 targets
smart agent 39, 1, 4.93m, 4.81m, 1 targets
smart agent 10, 1, 4.90m, 5.01m, 1 targets
smart agent 30, 1, 6.61m, 6.77m, 2 targets
smart agent 31, 1, 8.72m, 8.91m, 2 targets
smart agent 11, 1, 9.99m, 10.49m, 2 targets
smart agent 4, 1, 11.16m, 11.41m, 2 targets
smart agent 32, 1, 15.15m, 15.18m, 1 targets
smart agent 8, 1, 8.94m, 15.31m, 3 targets
smart agent 5, 1, 16.04m, 15.97m, 2 targets
smart agent 29, 1, 15.86m, 16.08m, 3 targets
smart agent 22, 1, 15.33m, 16.83m, 3 targets
smart agent 23, 1, 17.75m, 17.89m, 3 targets
smart agent 21, 1, 12.26m, 17.91m, 3 targets
smart agent 38, 1, 3.92m, 18.99m, 5 targets
smart agent 6, 1, 21.34m, 22.13m, 3 targets
smart agent 16, 1, 11.16m, 22.70m, 6 targets
smart agent 18, 1, 19.27m, 24.19m, 5 targets
smart agent 36, 1, 25.15m, 25.72m, 2 targets
smart agent 3, 1, 9.80m, 28.07m, 4 targets
smart agent 33, 1, 23.43m, 29.78m, 3 targets
smart agent 17, 1, 13.85m, 29.79m, 4 targets
smart agent 34, 1, 25.97m, 29.85m, 3 targets
smart agent 20, 1, 37.41m, 39.55m, 3 targets
smart agent 40, 1, 39.78m, 46.54m, 5 targets
smart agent 19, 1, 41.05m, 48.95m, 3 targets
smart agent 37, 1, 26.16m, 49.27m, 5 targets
smart agent 35, 1, 30.03m, 51.06m, 7 targets
smart agent 14, 1, 29.44m, 50.05m, 5 targets
smart agent 15, 1, 26.07m, 52.06m, 7 targets
smart agent 2, 1, 33.17m, 57.31m, 3 targets
smart agent 28, 1, 38.41m, 59.26m, 5 targets
smart agent 12, 1, 34.69m, 61.48m, 4 targets
smart agent 26, 1, 45.58m, 61.18m, 7 targets
smart agent 13, 1, 38.23m, 62.27m, 4 targets
smart agent 25, 1, 49.47m, 62.77m, 5 targets
smart agent 1, 1, 42.03m, 63.24m, 6 targets
smart agent 24, 1, 51.28m, 63.72m, 6 targets
smart agent 27, 1, 31.07m, 69.34m, 5 targets
