Object Name, First Visit, Last Visit, Total # of Visits
module node 1, 0.00, 0.00, 0
module node 2, 0.00, 0.00, 0
module node 3, 16.18, 19.18, 3
module node 4, 7.26, 9.24, 2
module node 5, 0.00, 0.00, 0
module node 6, 0.00, 0.00, 0
module node 7, 0.00, 0.00, 0
module node 8, 0.00, 0.00, 0
module node 9, 0.00, 0.00, 0
room node 1, 0.00, 0.00, 1
room node 2, 0.00, 0.00, 1
room node 3, 0.00, 0.00, 1
room node 4, 0.00, 0.00, 1
room node 5, 0.00, 0.00, 1
room node 6, 0.00, 0.00, 1
room node 7, 0.00, 0.00, 1
room node 8, 0.00, 0.00, 1
room node 9, 0.00, 0.00, 1
room node 10, 0.00, 0.00, 1
room node 11, 0.00, 0.00, 1
room node 12, 0.00, 0.00, 1
room node 13, 0.00, 0.00, 1
room node 14, 0.00, 0.00, 1
room node 15, 0.00, 0.00, 1
room node 16, 0.00, 0.00, 1
room node 17, 0.00, 0.00, 1
room node 18, 0.00, 0.00, 1
room node 19, 0.00, 0.00, 1
room node 20, 0.00, 0.00, 1
room node 21, 0.00, 0.00, 1
room node 22, 0.00, 0.00, 1
room node 23, 0.00, 0.00, 1
room node 24, 0.00, 0.00, 1
room node 25, 0.00, 0.00, 1
room node 26, 0.00, 0.00, 1
room node 27, 0.00, 0.00, 1
room node 28, 0.00, 0.00, 1
room node 29, 0.00, 0.00, 1
room node 30, 0.00, 0.00, 1
room node 31, 0.00, 0.00, 1
room node 32, 0.00, 0.00, 1
room node 33, 0.00, 0.00, 1
room node 34, 0.00, 0.00, 1
room node 35, 0.00, 0.00, 1
room node 36, 0.00, 0.00, 1
room node 37, 0.00, 0.00, 1
room node 38, 0.00, 0.00, 1
room node 39, 0.00, 0.00, 1
room node 40, 0.00, 0.00, 1
door 1, 2.92, 2.92, 1
door 2, 18.90, 19.40, 2
door 3, 3.12, 3.12, 1
door 4, 3.86, 3.86, 1
door 5, 0.00, 0.00, 0
door 6, 7.98, 7.98, 1
door 7, 3.60, 3.60, 1
door 8, 12.68, 12.68, 1
door 9, 12.68, 12.68, 1
door 10, 0.00, 0.00, 0
door 11, 8.86, 37.06, 2
door 12, 0.00, 0.00, 0
door 13, 16.50, 16.50, 1
door 14, 3.10, 3.10, 1
door 15, 2.48, 8.40, 2
door 16, 0.00, 0.00, 0
door 17, 4.64, 4.64, 1
door 18, 0.78, 0.78, 1
door 19, 5.06, 5.06, 1
door 20, 3.34, 3.34, 1
door 21, 5.14, 5.14, 1
door 22, 6.10, 7.76, 3
door 23, 13.22, 29.30, 7
door 24, 4.28, 4.28, 1
door 25, 2.56, 2.56, 1
door 26, 3.34, 3.34, 1
door 27, 2.76, 2.76, 1
door 28, 2.48, 2.48, 1
door 29, 0.00, 0.00, 0
door 30, 2.68, 2.68, 1
door 31, 4.34, 5.66, 2
door 32, 2.24, 2.24, 1
door 33, 7.62, 51.72, 15
door 34, 0.00, 0.00, 0
door 35, 4.92, 4.92, 1
door 36, 4.00, 4.00, 1
door 37, 2.54, 2.54, 1
door 38, 0.00, 0.00, 0
door 39, 0.00, 0.00, 0
door 40, 6.12, 6.12, 1
door 41, 12.96, 12.96, 1
door 42, 0.00, 0.00, 0
door 43, 0.00, 0.00, 0
door 44, 0.00, 0.00, 0
door 45, 13.98, 13.98, 1
door 46, 33.54, 33.54, 1
door 47, 0.00, 0.00, 0
door 48, 5.12, 10.36, 2
door 49, 5.18, 10.62, 2
door 50, 7.60, 9.16, 4
door 51, 4.70, 4.70, 1
door 52, 2.06, 2.06, 1
door 53, 4.32, 4.32, 1
door 54, 4.18, 4.18, 1
door 55, 4.30, 5.78, 3
door 56, 6.94, 8.20, 2
door 57, 1.84, 1.84, 1
door 58, 1.66, 3.04, 2
door 59, 5.74, 7.06, 2
door 60, 3.64, 3.64, 1
door 61, 1.58, 2.48, 2
door 62, 6.78, 7.64, 2
door 63, 1.30, 1.30, 1
door 64, 11.34, 20.12, 5
door 65, 0.00, 0.00, 0
exit 1, 12.16, 12.16, 1
exit 2, 20.78, 20.78, 1
exit 3, 3.80, 24.52, 9
exit 4, 12.38, 56.28, 17
exit 5, 2.10, 38.04, 2
exit 6, 17.76, 17.76, 1
exit 7, 2.50, 2.50, 1
exit 8, 9.10, 9.10, 1
exit 9, 3.94, 24.32, 7
