Agent Name, Agent Weight, Line to Exit, Distance Traveled, # of Visited Targets
smart agent 7, 1, 3.16m, 3.36m, 1 targets
smart agent 29, 1, 4.16m, 4.33m, 1 targets
smart agent 43, 1, 5.76m, 5.92m, 1 targets
smart agent 14, 1, 9.19m, 9.37m, 1 targets
smart agent 4, 1, 16.25m, 19.87m, 5 targets
smart agent 30, 1, 9.90m, 20.89m, 3 targets
smart agent 3, 1, 21.89m, 24.72m, 5 targets
smart agent 33, 1, 24.59m, 29.78m, 5 targets
smart agent 13, 1, 29.51m, 31.69m, 3 targets
smart agent 16, 1, 27.65m, 32.45m, 3 targets
smart agent 17, 1, 18.20m, 33.59m, 3 targets
smart agent 31, 1, 22.02m, 33.83m, 9 targets
smart agent 27, 1, 16.43m, 34.09m, 8 targets
smart agent 26, 1, 19.94m, 35.79m, 8 targets
smart agent 28, 1, 8.94m, 36.90m, 10 targets
smart agent 15, 1, 36.89m, 37.88m, 3 targets
smart agent 25, 1, 28.25m, 43.72m, 10 targets
smart agent 47, 1, 32.30m, 45.74m, 5 targets
smart agent 46, 1, 24.02m, 48.96m, 5 targets
smart agent 11, 1, 37.52m, 50.18m, 4 targets
smart agent 18, 1, 22.78m, 50.75m, 4 targets
smart agent 42, 1, 46.81m, 50.67m, 6 targets
smart agent 10, 1, 39.49m, 53.54m, 7 targets
smart agent 12, 1, 38.84m, 54.45m, 5 targets
smart agent 45, 1, 17.66m, 55.31m, 6 targets
smart agent 34, 1, 46.75m, 57.38m, 6 targets
smart agent 41, 1, 53.96m, 58.24m, 6 targets
smart agent 38, 1, 46.82m, 58.29m, 7 targets
smart agent 9, 1, 46.55m, 60.44m, 4 targets
smart agent 37, 1, 52.68m, 61.46m, 6 targets
smart agent 44, 1, 12.26m, 62.18m, 5 targets
smart agent 1, 1, 33.16m, 64.09m, 6 targets
smart agent 2, 1, 30.04m, 64.51m, 6 targets
smart agent 5, 1, 25.70m, 65.56m, 5 targets
smart agent 40, 1, 60.69m, 66.08m, 6 targets
smart agent 36, 1, 57.81m, 69.88m, 9 targets
smart agent 39, 1, 71.55m, 73.06m, 6 targets
smart agent 35, 1, 63.77m, 73.31m, 6 targets
smart agent 32, 1, 61.04m, 76.47m, 7 targets
smart agent 6, 1, 21.02m, 90.51m, 9 targets
smart agent 23, 1, 55.84m, 97.30m, 13 targets
smart agent 22, 1, 42.59m, 97.40m, 14 targets
smart agent 24, 1, 62.28m, 107.01m, 25 targets
smart agent 20, 1, 75.05m, 114.53m, 11 targets
smart agent 21, 1, 67.97m, 121.51m, 15 targets
smart agent 8, 1, 86.60m, 126.32m, 12 targets
smart agent 19, 1, 30.85m, 134.92m, 13 targets
