Object Name, Agent Name, Agent Weight, Position-X, Position-Z, Time (Seconds)
room node 27, smart agent 27, 1, -57.50, -23.30, 0.00
room node 28, smart agent 28, 1, -57.30, -15.40, 0.00
room node 29, smart agent 29, 1, -56.80, -6.80, 0.00
room node 30, smart agent 30, 1, -55.90, 7.70, 0.00
room node 43, smart agent 43, 1, -43.30, 18.30, 0.00
room node 39, smart agent 39, 1, -43.30, 25.20, 0.00
room node 31, smart agent 31, 1, -42.90, 5.40, 0.00
room node 26, smart agent 26, 1, -42.70, -15.30, 0.00
room node 35, smart agent 35, 1, -34.30, -0.20, 0.00
room node 25, smart agent 25, 1, -33.80, -15.10, 0.00
room node 32, smart agent 32, 1, -33.30, 10.60, 0.00
room node 40, smart agent 40, 1, -32.10, 26.40, 0.00
room node 36, smart agent 36, 1, -28.20, 0.00, 0.00
room node 24, smart agent 24, 1, -26.70, -15.30, 0.00
room node 41, smart agent 41, 1, -25.30, 26.10, 0.00
room node 33, smart agent 33, 1, -24.96, 10.67, 0.00
room node 37, smart agent 37, 1, -22.80, -0.20, 0.00
room node 23, smart agent 23, 1, -19.30, -15.10, 0.00
room node 34, smart agent 34, 1, -18.93, 10.38, 0.00
room node 42, smart agent 42, 1, -18.20, 25.10, 0.00
room node 38, smart agent 38, 1, -16.70, 0.00, 0.00
room node 47, smart agent 47, 1, -3.30, 24.80, 0.00
room node 22, smart agent 22, 1, -2.30, -15.10, 0.00
room node 2, smart agent 2, 1, -1.93, 9.55, 0.00
room node 1, smart agent 1, 1, -1.57, -0.58, 0.00
room node 46, smart agent 46, 1, 5.60, 25.00, 0.00
room node 3, smart agent 3, 1, 6.41, 9.62, 0.00
room node 5, smart agent 5, 1, 6.42, 0.66, 0.00
room node 21, smart agent 21, 1, 6.60, -14.90, 0.00
room node 4, smart agent 4, 1, 12.44, 9.33, 0.00
room node 45, smart agent 45, 1, 12.70, 24.80, 0.00
room node 6, smart agent 6, 1, 12.74, 0.36, 0.00
room node 20, smart agent 20, 1, 13.70, -15.10, 0.00
