Object Name, First Visit, Last Visit, Total # of Visits
room node 1, 0.00, 0.00, 1
room node 2, 0.00, 0.00, 1
room node 3, 0.00, 0.00, 1
room node 4, 0.00, 0.00, 1
room node 5, 0.00, 0.00, 1
room node 6, 0.00, 0.00, 1
room node 7, 0.00, 0.00, 1
room node 8, 0.00, 0.00, 1
room node 9, 0.00, 0.00, 1
room node 10, 0.00, 0.00, 1
room node 11, 0.00, 0.00, 1
room node 12, 0.00, 0.00, 1
room node 13, 0.00, 0.00, 1
room node 14, 0.00, 0.00, 1
room node 15, 0.00, 0.00, 1
room node 16, 0.00, 0.00, 1
room node 17, 0.00, 0.00, 1
room node 18, 0.00, 0.00, 1
room node 19, 0.00, 0.00, 1
room node 20, 0.00, 0.00, 1
room node 21, 0.00, 0.00, 1
room node 22, 0.00, 0.00, 1
room node 23, 0.00, 0.00, 1
room node 24, 0.00, 0.00, 1
room node 25, 0.00, 0.00, 1
room node 26, 0.00, 0.00, 1
room node 27, 0.00, 0.00, 1
room node 28, 0.00, 0.00, 1
room node 29, 0.00, 23.90, 2
room node 30, 0.00, 0.00, 1
room node 31, 0.00, 0.00, 1
room node 32, 0.00, 0.00, 1
room node 33, 0.00, 0.00, 1
room node 34, 0.00, 0.00, 1
room node 35, 0.00, 0.00, 1
room node 36, 0.00, 0.00, 1
room node 37, 0.00, 0.00, 1
room node 38, 0.00, 0.00, 1
room node 39, 0.00, 0.00, 1
room node 40, 0.00, 0.00, 1
room node 41, 0.00, 0.00, 1
room node 42, 0.00, 0.00, 1
room node 43, 0.00, 0.00, 1
room node 44, 0.00, 0.00, 1
room node 45, 0.00, 0.00, 1
room node 46, 0.00, 0.00, 1
room node 47, 0.00, 0.00, 1
door 1, 5.06, 5.06, 1
door 2, 4.88, 5.32, 2
door 3, 4.84, 4.84, 1
door 4, 4.44, 4.78, 3
door 5, 3.88, 5.20, 7
door 6, 3.70, 3.70, 1
door 7, 3.98, 4.34, 3
door 8, 3.68, 4.12, 3
door 9, 7.98, 7.98, 1
door 10, 0.00, 0.00, 0
door 11, 9.10, 9.10, 1
door 12, 10.16, 10.16, 1
door 13, 6.50, 6.50, 1
door 14, 2.88, 2.88, 1
door 15, 3.20, 3.20, 1
door 16, 2.88, 3.32, 3
door 17, 3.20, 3.20, 1
door 18, 3.62, 4.10, 2
door 19, 3.62, 3.62, 1
door 20, 4.12, 4.12, 1
door 21, 3.88, 4.34, 4
door 22, 3.88, 3.88, 1
door 23, 3.74, 3.74, 1
door 24, 24.30, 31.76, 3
door 25, 58.80, 58.80, 1
door 26, 12.96, 12.96, 1
door 27, 5.10, 5.54, 2
door 28, 3.82, 3.92, 2
door 29, 4.00, 5.42, 8
door 30, 4.56, 4.56, 1
door 31, 5.00, 5.00, 1
door 32, 5.42, 5.42, 1
door 33, 15.94, 89.96, 7
door 34, 4.60, 4.60, 1
door 35, 5.48, 5.48, 1
door 36, 5.36, 5.36, 1
door 37, 4.70, 4.70, 1
door 38, 4.36, 4.36, 1
door 39, 5.06, 5.06, 1
door 40, 4.76, 4.76, 1
door 41, 4.86, 4.86, 1
door 42, 3.88, 3.88, 1
door 43, 2.82, 2.82, 1
door 44, 0.00, 0.00, 0
door 45, 4.46, 4.46, 1
door 46, 0.00, 0.00, 0
door 47, 4.14, 4.14, 1
door 48, 3.62, 3.62, 1
door 49, 3.82, 3.82, 1
door 50, 3.44, 3.44, 1
door 51, 3.84, 3.84, 1
door 52, 3.78, 3.78, 1
door 53, 8.60, 9.04, 3
door 54, 11.30, 108.88, 24
door 55, 0.00, 0.00, 0
door 56, 3.72, 3.72, 1
door 57, 3.94, 3.94, 1
door 58, 4.98, 4.98, 1
door 59, 4.88, 4.98, 2
door 60, 5.18, 5.18, 1
door 61, 4.48, 4.48, 1
door 62, 14.38, 14.38, 1
door 63, 4.68, 4.68, 1
door 64, 2.92, 2.92, 1
door 65, 5.70, 5.70, 1
door 66, 5.52, 5.58, 2
door 67, 4.90, 4.92, 2
door 68, 30.14, 70.94, 5
door 69, 0.00, 0.00, 0
door 70, 4.14, 4.14, 1
door 71, 3.58, 3.58, 1
door 72, 4.60, 4.60, 1
door 73, 0.00, 0.00, 0
door 74, 3.32, 3.32, 1
door 75, 3.08, 3.10, 2
door 76, 3.08, 3.10, 2
door 77, 3.32, 3.32, 1
door 78, 4.00, 4.10, 2
door 79, 6.80, 6.80, 1
door 80, 11.42, 108.98, 24
door 81, 7.44, 7.44, 1
door 82, 4.06, 4.06, 1
door 83, 3.52, 4.34, 2
door 84, 13.80, 14.66, 2
door 85, 3.68, 4.20, 3
door 86, 3.40, 3.40, 1
door 87, 6.38, 6.38, 1
door 88, 0.00, 0.00, 0
door 89, 0.00, 0.00, 0
door 90, 0.00, 0.00, 0
door 91, 0.00, 0.00, 0
door 92, 12.86, 12.86, 1
door 93, 8.14, 8.20, 2
door 94, 0.00, 0.00, 0
door 95, 6.54, 6.54, 1
door 96, 9.24, 9.24, 1
door 97, 10.28, 10.28, 1
door 98, 3.52, 3.52, 1
door 99, 13.94, 14.80, 3
door 100, 4.22, 4.28, 2
door 101, 7.56, 7.66, 2
door 102, 6.90, 6.90, 1
door 103, 3.90, 3.90, 1
door 104, 58.90, 58.90, 1
door 105, 24.40, 31.88, 3
door 106, 8.80, 8.82, 2
door 107, 19.98, 19.98, 1
door 108, 20.46, 94.42, 7
door 109, 6.84, 6.84, 1
door 110, 16.04, 90.06, 7
door 111, 0.00, 0.00, 0
door 112, 30.04, 70.84, 5
door 113, 0.00, 0.00, 0
door 114, 0.00, 0.00, 0
door 115, 0.00, 0.00, 0
door 116, 0.00, 0.00, 0
door 117, 20.08, 20.08, 1
door 118, 20.56, 94.52, 7
door 119, 14.38, 14.38, 1
exit 1, 2.80, 113.90, 25
exit 2, 7.48, 7.48, 1
exit 3, 25.52, 48.76, 9
exit 4, 16.94, 16.94, 1
exit 5, 3.42, 101.92, 9
exit 6, 4.70, 24.14, 2
