Agent Name, Agent Weight, Line to Exit, Distance Traveled, # of Visited Targets
smart agent 2, 1, 8.94m, 9.13m, 1 targets
smart agent 5, 1, 8.86m, 17.85m, 4 targets
smart agent 34, 1, 16.05m, 18.70m, 8 targets
smart agent 40, 1, 17.50m, 19.77m, 6 targets
smart agent 6, 1, 19.15m, 19.49m, 6 targets
smart agent 33, 1, 10.13m, 20.00m, 4 targets
smart agent 4, 1, 9.06m, 20.24m, 5 targets
smart agent 22, 1, 6.19m, 21.48m, 5 targets
smart agent 17, 1, 14.72m, 21.95m, 7 targets
smart agent 39, 1, 22.71m, 25.60m, 12 targets
smart agent 23, 1, 15.07m, 25.80m, 5 targets
smart agent 18, 1, 20.14m, 26.33m, 4 targets
smart agent 9, 1, 26.42m, 27.94m, 5 targets
smart agent 32, 1, 18.64m, 29.23m, 6 targets
smart agent 41, 1, 26.14m, 30.88m, 6 targets
smart agent 38, 1, 29.53m, 32.62m, 11 targets
smart agent 7, 1, 23.17m, 31.99m, 8 targets
smart agent 8, 1, 7.13m, 31.92m, 6 targets
smart agent 24, 1, 24.04m, 34.92m, 4 targets
smart agent 19, 1, 27.51m, 35.36m, 4 targets
smart agent 31, 1, 27.47m, 38.19m, 6 targets
smart agent 37, 1, 36.41m, 39.58m, 11 targets
smart agent 27, 1, 24.18m, 42.15m, 6 targets
smart agent 3, 1, 33.91m, 43.16m, 4 targets
smart agent 42, 1, 34.96m, 44.56m, 9 targets
smart agent 26, 1, 28.77m, 46.69m, 3 targets
smart agent 21, 1, 38.86m, 47.30m, 3 targets
smart agent 30, 1, 36.38m, 47.19m, 6 targets
smart agent 36, 1, 43.34m, 46.91m, 10 targets
smart agent 44, 1, 40.88m, 49.99m, 10 targets
smart agent 16, 1, 43.67m, 50.52m, 4 targets
smart agent 1, 1, 24.76m, 50.09m, 8 targets
smart agent 43, 1, 49.80m, 53.26m, 10 targets
smart agent 35, 1, 50.28m, 53.82m, 8 targets
smart agent 25, 1, 35.11m, 55.60m, 3 targets
smart agent 20, 1, 43.76m, 56.11m, 3 targets
smart agent 29, 1, 37.45m, 58.67m, 6 targets
smart agent 28, 1, 30.72m, 61.32m, 11 targets
smart agent 15, 1, 61.66m, 63.21m, 8 targets
smart agent 13, 1, 46.27m, 112.98m, 20 targets
smart agent 12, 1, 63.82m, 121.17m, 24 targets
smart agent 14, 1, 73.08m, 124.44m, 24 targets
smart agent 11, 1, 78.16m, 145.83m, 26 targets
smart agent 10, 1, 87.23m, 155.38m, 25 targets
