Agent Name, Agent Weight, Line to Exit, Distance Traveled, # of Visited Targets
smart agent 8, 1, 2.67m, 2.87m, 1 targets
smart agent 20, 1, 6.85m, 7.04m, 1 targets
smart agent 21, 1, 9.40m, 10.00m, 3 targets
smart agent 27, 1, 8.75m, 12.11m, 4 targets
smart agent 7, 1, 10.68m, 13.99m, 6 targets
smart agent 9, 1, 10.54m, 16.51m, 5 targets
smart agent 11, 1, 12.56m, 17.44m, 5 targets
smart agent 26, 1, 13.78m, 18.25m, 4 targets
smart agent 6, 1, 14.38m, 18.24m, 7 targets
smart agent 28, 1, 11.10m, 18.70m, 5 targets
smart agent 25, 1, 19.32m, 23.57m, 3 targets
smart agent 30, 1, 17.16m, 26.42m, 4 targets
smart agent 24, 1, 25.11m, 30.43m, 3 targets
smart agent 19, 1, 25.26m, 34.13m, 3 targets
smart agent 23, 1, 30.95m, 35.77m, 3 targets
smart agent 33, 1, 35.66m, 38.05m, 4 targets
smart agent 13, 1, 27.26m, 40.06m, 12 targets
smart agent 22, 1, 36.84m, 42.47m, 3 targets
smart agent 18, 1, 34.17m, 43.03m, 3 targets
smart agent 31, 1, 27.08m, 47.69m, 6 targets
smart agent 29, 1, 21.26m, 49.52m, 6 targets
smart agent 16, 1, 45.50m, 49.58m, 3 targets
smart agent 15, 1, 50.63m, 54.68m, 3 targets
smart agent 17, 1, 43.74m, 64.81m, 7 targets
smart agent 35, 1, 46.49m, 77.86m, 4 targets
smart agent 14, 1, 56.93m, 83.53m, 4 targets
smart agent 1, 1, 52.19m, 84.20m, 4 targets
smart agent 2, 1, 63.79m, 85.29m, 4 targets
smart agent 34, 1, 40.62m, 85.32m, 8 targets
smart agent 10, 1, 62.06m, 86.91m, 17 targets
smart agent 3, 1, 69.30m, 92.18m, 4 targets
smart agent 36, 1, 36.04m, 97.38m, 14 targets
smart agent 37, 1, 42.73m, 102.13m, 15 targets
smart agent 38, 1, 41.76m, 102.61m, 13 targets
smart agent 32, 1, 37.68m, 104.67m, 16 targets
smart agent 12, 1, 73.64m, 120.08m, 6 targets
smart agent 5, 1, 78.38m, 122.59m, 6 targets
smart agent 4, 1, 73.58m, 126.49m, 5 targets
