Object Name, Agent Name, Agent Weight, Position-X, Position-Z, Time (Seconds)
room node 28, smart agent 28, 1, -56.90, -4.20, 0.00
room node 27, smart agent 27, 1, -55.30, -20.60, 0.00
room node 26, smart agent 26, 1, -49.40, -21.10, 0.00
room node 30, smart agent 30, 1, -46.10, -6.60, 0.00
room node 29, smart agent 29, 1, -46.00, 0.30, 0.00
room node 25, smart agent 25, 1, -43.10, -20.50, 0.00
room node 24, smart agent 24, 1, -37.20, -21.00, 0.00
room node 31, smart agent 31, 1, -36.30, -4.20, 0.00
room node 34, smart agent 34, 1, -33.56, 15.23, 0.00
room node 36, smart agent 36, 1, -33.38, 8.31, 0.00
room node 23, smart agent 23, 1, -31.10, -20.60, 0.00
room node 1, smart agent 1, 1, -29.30, 26.80, 0.00
room node 38, smart agent 38, 1, -28.27, 11.07, 0.00
room node 33, smart agent 33, 1, -26.41, -7.55, 0.00
room node 32, smart agent 32, 1, -26.31, -0.65, 0.00
room node 22, smart agent 22, 1, -25.20, -21.10, 0.00
room node 35, smart agent 35, 1, -24.81, 14.32, 0.00
room node 37, smart agent 37, 1, -24.63, 7.40, 0.00
room node 16, smart agent 16, 1, -12.04, -3.97, 0.00
room node 2, smart agent 2, 1, -11.20, 25.00, 0.00
room node 14, smart agent 14, 1, -10.40, 10.94, 0.00
room node 15, smart agent 15, 1, -9.80, 0.80, 0.00
room node 18, smart agent 18, 1, -9.16, -16.52, 0.00
room node 19, smart agent 19, 1, -8.84, -26.42, 0.00
room node 20, smart agent 20, 1, -8.79, -37.80, 0.00
room node 3, smart agent 3, 1, -4.50, 25.20, 0.00
room node 17, smart agent 17, 1, -4.13, -8.21, 0.00
room node 21, smart agent 21, 1, -3.63, -47.34, 0.00
room node 13, smart agent 13, 1, -1.12, 7.18, 0.00
room node 4, smart agent 4, 1, 0.70, 25.10, 0.00
room node 5, smart agent 5, 1, 6.20, 25.30, 0.00
room node 12, smart agent 12, 1, 7.17, 12.47, 0.00
room node 10, smart agent 10, 1, 10.11, 5.14, 0.00
room node 6, smart agent 6, 1, 11.30, 25.20, 0.00
room node 11, smart agent 11, 1, 12.58, 12.58, 0.00
room node 7, smart agent 7, 1, 15.90, 25.30, 0.00
room node 9, smart agent 9, 1, 19.98, 8.35, 0.00
room node 8, smart agent 8, 1, 21.20, 18.60, 0.00
exit 4, smart agent 8, 1, 23.84, 18.16, 2.22
door 51, smart agent 37, 1, -26.79, 9.03, 2.32
door 65, smart agent 12, 1, 5.90, 15.10, 2.38
door 57, smart agent 38, 1, -26.91, 9.03, 2.46
door 23, smart agent 12, 1, 5.90, 15.22, 2.54
door 23, smart agent 12, 1, 5.90, 15.22, 2.60
door 57, smart agent 37, 1, -26.91, 9.03, 2.62
door 64, smart agent 11, 1, 10.40, 15.10, 2.66
door 37, smart agent 17, 1, -3.01, -5.15, 2.66
door 35, smart agent 17, 1, -3.01, -5.03, 2.78
door 22, smart agent 11, 1, 10.40, 15.22, 2.80
door 40, smart agent 25, 1, -41.85, -17.28, 2.86
door 42, smart agent 23, 1, -29.98, -17.28, 2.90
door 9, smart agent 25, 1, -41.85, -17.15, 2.96
