Object Name, First Visit, Last Visit, Total # of Visits
room node 1, 0.00, 0.00, 1
room node 2, 0.00, 0.00, 1
room node 3, 0.00, 0.00, 1
room node 4, 0.00, 0.00, 1
room node 5, 0.00, 0.00, 1
room node 6, 0.00, 0.00, 1
room node 7, 0.00, 0.00, 1
room node 8, 0.00, 12.42, 3
room node 9, 0.00, 0.00, 1
room node 10, 0.00, 0.00, 1
room node 11, 0.00, 0.00, 1
room node 12, 0.00, 0.00, 1
room node 13, 0.00, 0.00, 1
room node 14, 0.00, 0.00, 1
room node 15, 0.00, 0.00, 1
room node 16, 0.00, 31.18, 2
room node 17, 0.00, 0.00, 1
room node 18, 0.00, 0.00, 1
room node 19, 0.00, 0.00, 1
room node 20, 0.00, 0.00, 1
room node 21, 0.00, 0.00, 1
room node 22, 0.00, 0.00, 1
room node 23, 0.00, 0.00, 1
room node 24, 0.00, 0.00, 1
room node 25, 0.00, 0.00, 1
room node 26, 0.00, 0.00, 1
room node 27, 0.00, 0.00, 1
room node 28, 0.00, 0.00, 1
room node 29, 0.00, 0.00, 1
room node 30, 0.00, 0.00, 1
room node 31, 0.00, 0.00, 1
room node 32, 0.00, 0.00, 1
room node 33, 0.00, 0.00, 1
room node 34, 0.00, 0.00, 1
room node 35, 0.00, 0.00, 1
room node 36, 0.00, 0.00, 1
room node 37, 0.00, 0.00, 1
room node 38, 0.00, 0.00, 1
door 1, 0.00, 0.00, 0
door 2, 6.54, 6.54, 1
door 3, 3.46, 3.56, 2
door 4, 14.00, 15.56, 4
door 5, 5.14, 5.22, 2
door 6, 6.88, 7.34, 3
door 7, 3.10, 3.20, 2
door 8, 3.50, 3.60, 2
door 9, 2.96, 2.96, 1
door 10, 3.38, 3.38, 1
door 11, 3.00, 3.00, 1
door 12, 3.42, 3.42, 1
door 13, 6.96, 6.96, 1
door 14, 6.20, 9.66, 2
door 15, 3.52, 3.52, 1
door 16, 3.46, 3.56, 2
door 17, 3.74, 3.84, 2
door 18, 3.36, 3.36, 1
door 19, 3.72, 3.72, 1
door 20, 3.52, 3.52, 1
door 21, 8.36, 27.76, 3
door 22, 2.80, 2.80, 1
door 23, 2.54, 2.60, 2
door 24, 0.00, 0.00, 0
door 25, 3.92, 3.92, 1
door 26, 8.20, 8.20, 1
door 27, 3.10, 29.20, 6
door 28, 4.44, 4.44, 1
door 29, 5.64, 5.64, 1
door 30, 3.90, 35.14, 4
door 31, 6.36, 25.82, 2
door 32, 6.72, 6.72, 1
door 33, 6.40, 6.40, 1
door 34, 5.12, 21.54, 3
door 35, 2.78, 23.94, 2
door 36, 3.64, 34.92, 3
door 37, 2.66, 24.08, 2
door 38, 2.98, 2.98, 1
door 39, 3.38, 3.38, 1
door 40, 2.86, 2.86, 1
door 41, 3.26, 3.26, 1
door 42, 2.90, 2.90, 1
door 43, 3.30, 3.30, 1
door 44, 6.72, 6.72, 1
door 45, 5.00, 5.00, 1
door 46, 3.84, 5.04, 2
door 47, 3.66, 5.18, 2
door 48, 13.86, 15.34, 2
door 49, 4.30, 4.30, 1
door 50, 5.30, 13.02, 6
door 51, 2.32, 17.88, 5
door 52, 2.98, 29.06, 6
door 53, 5.86, 25.16, 5
door 54, 3.38, 14.32, 5
door 55, 5.76, 24.94, 5
door 56, 3.32, 3.32, 1
door 57, 2.46, 17.66, 4
door 58, 3.50, 14.10, 5
door 59, 5.18, 13.36, 7
door 60, 3.16, 3.16, 1
door 61, 8.04, 8.04, 1
door 62, 3.66, 3.66, 1
door 63, 5.54, 5.54, 1
door 64, 2.66, 2.66, 1
door 65, 2.38, 2.38, 1
door 66, 4.56, 15.28, 4
door 67, 6.14, 25.70, 2
door 68, 5.94, 13.46, 4
door 69, 4.42, 15.06, 3
door 70, 5.82, 13.68, 3
door 71, 0.00, 0.00, 0
door 72, 5.22, 21.32, 2
door 73, 3.28, 3.28, 1
door 74, 3.44, 3.44, 1
door 75, 3.26, 3.26, 1
door 76, 3.62, 3.62, 1
door 77, 3.34, 3.34, 1
door 78, 3.42, 3.42, 1
door 79, 6.28, 6.28, 1
door 80, 3.34, 3.34, 1
door 81, 0.00, 0.00, 0
door 82, 6.40, 6.40, 1
door 83, 8.46, 27.86, 3
door 84, 6.34, 9.78, 2
exit 1, 9.78, 102.22, 24
exit 2, 27.64, 71.22, 6
exit 3, 5.58, 8.00, 2
exit 4, 2.22, 32.80, 6
