Agent Name, Agent Weight, Line to Exit, Distance Traveled, # of Visited Targets
smart agent 34, 1, 3.10m, 2.59m, 1 targets
smart agent 30, 1, 3.84m, 3.39m, 1 targets
smart agent 13, 1, 5.47m, 5.20m, 4 targets
smart agent 2, 1, 5.50m, 5.24m, 4 targets
smart agent 16, 1, 5.63m, 5.37m, 4 targets
smart agent 27, 1, 5.48m, 5.52m, 4 targets
smart agent 14, 1, 8.39m, 8.65m, 3 targets
smart agent 17, 1, 7.41m, 8.64m, 4 targets
smart agent 28, 1, 8.42m, 8.71m, 3 targets
smart agent 12, 1, 7.15m, 8.62m, 3 targets
smart agent 3, 1, 7.29m, 8.54m, 3 targets
smart agent 15, 1, 8.21m, 8.96m, 4 targets
smart agent 1, 1, 8.13m, 8.69m, 3 targets
smart agent 26, 1, 7.14m, 8.92m, 3 targets
smart agent 32, 1, 11.13m, 10.91m, 3 targets
smart agent 35, 1, 10.63m, 11.16m, 4 targets
smart agent 31, 1, 11.20m, 10.97m, 3 targets
smart agent 29, 1, 10.30m, 11.25m, 3 targets
smart agent 11, 1, 11.94m, 14.38m, 4 targets
smart agent 18, 1, 11.37m, 14.43m, 4 targets
smart agent 4, 1, 11.28m, 14.48m, 5 targets
smart agent 25, 1, 11.92m, 14.56m, 4 targets
smart agent 10, 1, 17.49m, 19.54m, 5 targets
smart agent 5, 1, 16.80m, 19.55m, 5 targets
smart agent 19, 1, 16.87m, 19.70m, 5 targets
smart agent 24, 1, 17.48m, 20.02m, 6 targets
smart agent 33, 1, 10.98m, 24.51m, 7 targets
smart agent 6, 1, 21.60m, 25.22m, 6 targets
smart agent 7, 1, 27.45m, 29.64m, 7 targets
smart agent 8, 1, 28.15m, 30.24m, 9 targets
smart agent 21, 1, 27.50m, 29.80m, 8 targets
smart agent 22, 1, 28.13m, 30.12m, 7 targets
smart agent 23, 1, 38.34m, 42.24m, 13 targets
smart agent 9, 1, 38.30m, 43.02m, 13 targets
smart agent 20, 1, 38.98m, 42.78m, 12 targets
