Object Name, Agent Name, Agent Weight, Position-X, Position-Z, Time (Seconds)
room node 8, smart agent 8, 1, -3.50, -1.50, 7.56
room node 7, smart agent 7, 1, -3.50, 2.50, 7.56
room node 1, smart agent 1, 1, -3.50, 6.50, 7.56
room node 9, smart agent 9, 1, -0.50, -1.50, 7.56
room node 6, smart agent 6, 1, -0.50, 2.50, 7.56
room node 2, smart agent 2, 1, -0.50, 6.50, 7.56
room node 3, smart agent 3, 1, 2.50, 6.50, 7.56
room node 5, smart agent 5, 1, 2.50, 2.50, 7.56
room node 10, smart agent 10, 1, 2.50, -1.50, 7.56
room node 4, smart agent 4, 1, 5.50, 6.50, 7.56
room node 11, smart agent 11, 1, 5.50, -1.50, 7.56
room node 8, smart agent 8, 1, -3.50, -1.50, 8.20
room node 7, smart agent 7, 1, -3.50, 2.50, 8.20
room node 1, smart agent 1, 1, -3.50, 6.50, 8.20
room node 9, smart agent 9, 1, -0.50, -1.50, 8.20
room node 6, smart agent 6, 1, -0.50, 2.50, 8.20
room node 2, smart agent 2, 1, -0.50, 6.50, 8.20
room node 3, smart agent 3, 1, 2.50, 6.50, 8.20
room node 5, smart agent 5, 1, 2.50, 2.50, 8.20
room node 10, smart agent 10, 1, 2.50, -1.50, 8.20
room node 4, smart agent 4, 1, 5.50, 6.50, 8.20
room node 11, smart agent 11, 1, 5.50, -1.50, 8.20
room node 1, smart agent 1, 1, -3.50, 6.50, 8.36
room node 7, smart agent 7, 1, -3.50, 2.50, 8.36
room node 8, smart agent 8, 1, -3.50, -1.50, 8.36
room node 9, smart agent 9, 1, -0.50, -1.50, 8.36
room node 5, smart agent 5, 1, 2.50, 2.50, 8.36
room node 10, smart agent 10, 1, 2.50, -1.50, 8.36
room node 11, smart agent 11, 1, 5.50, -1.50, 8.36
room node 6, smart agent 6, 1, -0.50, 2.50, 8.36
room node 2, smart agent 2, 1, -0.50, 6.50, 8.36
room node 3, smart agent 3, 1, 2.50, 6.50, 8.36
room node 4, smart agent 4, 1, 5.50, 6.50, 8.36
door 4, smart agent 8, 1, -3.50, 0.00, 9.24
door 8, smart agent 2, 1, -0.50, 5.00, 9.24
door 11, smart agent 10, 1, 2.50, 0.00, 9.24
door 14, smart agent 4, 1, 5.50, 5.00, 9.24
door 1, smart agent 1, 1, -3.50, 5.00, 9.24
door 6, smart agent 6, 1, -0.50, 1.00, 9.24
door 9, smart agent 3, 1, 2.50, 5.00, 9.32
door 13, smart agent 11, 1, 5.50, 0.00, 9.32
door 2, smart agent 7, 1, -3.50, 4.00, 9.40
door 5, smart agent 9, 1, -0.50, 0.00, 9.40
intersection node 1, smart agent 4, 1, 5.50, 4.50, 9.48
door 10, smart agent 5, 1, 2.50, 4.00, 9.56
intersection node 2, smart agent 11, 1, 5.50, 0.50, 9.56
exit 1, smart agent 4, 1, 7.00, 2.50, 12.12
exit 1, smart agent 11, 1, 7.00, 2.50, 12.36
exit 1, smart agent 3, 1, 7.00, 2.50, 13.80
exit 1, smart agent 10, 1, 7.00, 2.50, 13.96
exit 1, smart agent 5, 1, 7.00, 2.50, 14.44
exit 1, smart agent 2, 1, 7.00, 2.50, 15.88
exit 1, smart agent 6, 1, 7.00, 2.50, 16.28
exit 1, smart agent 9, 1, 7.00, 2.50, 16.76
exit 1, smart agent 8, 1, 7.00, 2.50, 18.28
exit 1, smart agent 1, 1, 7.00, 2.50, 18.92
exit 1, smart agent 7, 1, 7.00, 2.50, 19.40
