Object Name, First Visit, Last Visit, Total # of Visits
room node 1, 7.56, 8.36, 3
room node 2, 7.56, 8.36, 3
room node 3, 7.56, 8.36, 3
room node 4, 7.56, 8.36, 3
room node 5, 7.56, 8.36, 3
room node 6, 7.56, 8.36, 3
room node 7, 7.56, 8.36, 3
room node 8, 7.56, 8.36, 3
room node 9, 7.56, 8.36, 3
room node 10, 7.56, 8.36, 3
room node 11, 7.56, 8.36, 3
door 1, 9.24, 9.24, 1
door 2, 9.40, 9.40, 1
door 3, 0.00, 0.00, 0
door 4, 9.24, 9.24, 1
door 5, 9.40, 9.40, 1
door 6, 9.24, 9.24, 1
door 7, 0.00, 0.00, 0
door 8, 9.24, 9.24, 1
door 9, 9.32, 9.32, 1
door 10, 9.56, 9.56, 1
door 11, 9.24, 9.24, 1
door 12, 0.00, 0.00, 0
door 13, 9.32, 9.32, 1
door 14, 9.24, 9.24, 1
exit 1, 12.12, 19.40, 11
