Object Name, Agent Name, Agent Weight, Position-X, Position-Z, Time (Seconds)
room node 21, smart agent 21, 1, -43.25, -17.12, 0.00
room node 39, smart agent 39, 1, -41.89, -9.13, 0.00
room node 30, smart agent 30, 1, -38.05, -6.58, 0.00
room node 32, smart agent 32, 1, -37.39, 11.47, 0.00
room node 22, smart agent 22, 1, -37.38, -18.53, 0.00
room node 31, smart agent 31, 1, -36.13, -2.32, 0.00
room node 23, smart agent 23, 1, -32.13, -17.69, 0.00
room node 29, smart agent 29, 1, -28.60, -4.50, 0.00
room node 24, smart agent 24, 1, -27.04, -17.02, 0.00
room node 25, smart agent 25, 1, -22.26, -18.68, 0.00
room node 33, smart agent 33, 1, -22.18, 2.35, 0.00
room node 28, smart agent 28, 1, -21.53, -4.19, 0.00
room node 34, smart agent 34, 1, -21.49, 7.22, 0.00
room node 36, smart agent 36, 1, -21.43, 20.52, 0.00
room node 35, smart agent 35, 1, -21.43, 13.72, 0.00
room node 26, smart agent 26, 1, -17.53, -17.28, 0.00
room node 27, smart agent 27, 1, -10.19, -4.73, 0.00
room node 1, smart agent 1, 1, -8.29, -18.23, 0.00
room node 5, smart agent 5, 1, -5.43, 11.54, 0.00
room node 37, smart agent 37, 1, -1.29, -3.93, 0.00
room node 8, smart agent 8, 1, 13.56, 13.77, 0.00
room node 40, smart agent 40, 1, 13.61, 2.07, 0.00
room node 20, smart agent 20, 1, 16.10, -15.87, 0.00
room node 15, smart agent 15, 1, 16.88, -3.83, 0.00
room node 19, smart agent 19, 1, 21.43, -18.11, 0.00
room node 14, smart agent 14, 1, 23.75, -4.14, 0.00
room node 18, smart agent 18, 1, 28.30, -17.49, 0.00
room node 2, smart agent 2, 1, 29.54, -4.44, 0.00
room node 6, smart agent 6, 1, 30.08, 11.46, 0.00
room node 12, smart agent 12, 1, 34.71, -1.28, 0.00
room node 13, smart agent 13, 1, 35.48, -5.76, 0.00
room node 16, smart agent 16, 1, 36.33, -14.94, 0.00
room node 17, smart agent 17, 1, 36.79, -19.11, 0.00
room node 11, smart agent 11, 1, 37.56, -1.43, 0.00
room node 10, smart agent 10, 1, 41.12, -5.14, 0.00
room node 3, smart agent 3, 1, 42.04, -17.34, 0.00
room node 7, smart agent 7, 1, 45.05, 21.88, 0.00
room node 4, smart agent 4, 1, 45.23, 11.68, 0.00
room node 9, smart agent 9, 1, 45.52, 2.19, 0.00
room node 38, smart agent 38, 1, 47.01, -11.43, 0.00
door 18, smart agent 30, 1, -38.92, -6.54, 0.78
door 63, smart agent 11, 1, 39.12, -1.35, 1.30
door 61, smart agent 12, 1, 34.18, -3.11, 1.58
door 58, smart agent 3, 1, 40.23, -18.23, 1.66
door 57, smart agent 16, 1, 34.58, -13.45, 1.84
door 52, smart agent 20, 1, 16.63, -13.45, 2.06
exit 5, smart agent 7, 1, 46.95, 23.78, 2.10
door 32, smart agent 8, 1, 11.98, 11.82, 2.24
