Object Name, Agent Name, Agent Weight, Position-X, Position-Z, Time (Seconds)
room node 4, smart agent 4, 1, -69.66, 19.50, 0.00
room node 39, smart agent 39, 1, -67.91, 2.46, 0.00
room node 38, smart agent 38, 1, -67.91, -4.54, 0.00
room node 37, smart agent 37, 1, -67.91, -11.54, 0.00
room node 36, smart agent 36, 1, -67.91, -18.54, 0.00
room node 35, smart agent 35, 1, -67.91, -25.54, 0.00
room node 34, smart agent 34, 1, -67.91, 9.46, 0.00
room node 5, smart agent 5, 1, -66.60, -37.78, 0.00
room node 40, smart agent 40, 1, -55.91, -37.04, 0.00
room node 33, smart agent 33, 1, -52.93, 19.96, 0.00
room node 10, smart agent 10, 1, -47.14, -20.74, 0.00
room node 41, smart agent 41, 1, -46.91, -37.04, 0.00
room node 9, smart agent 9, 1, -46.40, 3.10, 0.00
room node 32, smart agent 32, 1, -43.93, 19.96, 0.00
room node 42, smart agent 42, 1, -37.91, -37.04, 0.00
room node 31, smart agent 31, 1, -34.93, 19.96, 0.00
room node 43, smart agent 43, 1, -28.91, -37.04, 0.00
room node 11, smart agent 11, 1, -28.91, -23.54, 0.00
room node 30, smart agent 30, 1, -25.93, 19.96, 0.00
room node 13, smart agent 13, 1, -24.41, -2.54, 0.00
room node 44, smart agent 44, 1, -19.91, -37.04, 0.00
room node 12, smart agent 12, 1, -19.91, -23.54, 0.00
room node 29, smart agent 29, 1, -16.93, 19.96, 0.00
room node 14, smart agent 14, 1, -10.84, -27.76, 0.00
room node 28, smart agent 28, 1, -7.93, 19.96, 0.00
room node 16, smart agent 16, 1, -3.45, 1.96, 0.00
room node 15, smart agent 15, 1, 0.81, -18.04, 0.00
room node 6, smart agent 6, 1, 2.36, -37.10, 0.00
room node 1, smart agent 1, 1, 2.57, 19.96, 0.00
room node 2, smart agent 2, 1, 11.78, 33.55, 0.00
room node 7, smart agent 7, 1, 16.72, -8.19, 0.00
room node 8, smart agent 8, 1, 16.98, -24.86, 0.00
room node 3, smart agent 3, 1, 19.68, 9.14, 0.00
room node 27, smart agent 27, 1, 22.05, 19.96, 0.00
room node 21, smart agent 21, 1, 31.05, 7.96, 0.00
room node 26, smart agent 26, 1, 31.05, 19.96, 0.00
room node 20, smart agent 20, 1, 40.05, 7.96, 0.00
room node 25, smart agent 25, 1, 40.05, 19.96, 0.00
room node 24, smart agent 24, 1, 49.05, 19.96, 0.00
room node 19, smart agent 19, 1, 49.05, 7.96, 0.00
room node 18, smart agent 18, 1, 58.05, 7.96, 0.00
room node 23, smart agent 23, 1, 58.05, 19.96, 0.00
room node 17, smart agent 17, 1, 67.05, 7.96, 0.00
room node 22, smart agent 22, 1, 67.05, 19.96, 0.00
door 14, smart agent 7, 1, 14.61, -10.04, 2.24
door 76, smart agent 7, 1, 14.49, -10.04, 2.36
door 14, smart agent 7, 1, 14.61, -10.04, 2.48
door 14, smart agent 7, 1, 14.61, -10.04, 2.58
door 76, smart agent 7, 1, 14.49, -10.04, 3.10
door 5, smart agent 4, 1, -70.91, 15.52, 3.42
door 8, smart agent 4, 1, -70.91, 15.40, 3.52
door 8, smart agent 4, 1, -70.91, 15.40, 3.64
door 96, smart agent 33, 1, -52.93, 15.52, 3.66
door 95, smart agent 32, 1, -43.93, 15.52, 3.66
door 94, smart agent 31, 1, -34.93, 15.52, 3.66
door 93, smart agent 30, 1, -25.93, 15.52, 3.66
door 92, smart agent 29, 1, -16.93, 15.52, 3.66
door 88, smart agent 26, 1, 31.05, 15.52, 3.66
door 83, smart agent 21, 1, 31.05, 12.40, 3.66
door 82, smart agent 20, 1, 40.05, 12.40, 3.66
door 87, smart agent 25, 1, 40.05, 15.52, 3.66
door 86, smart agent 24, 1, 49.05, 15.52, 3.66
door 81, smart agent 19, 1, 49.05, 12.40, 3.66
door 80, smart agent 18, 1, 58.05, 12.40, 3.66
door 85, smart agent 23, 1, 58.05, 15.52, 3.66
door 104, smart agent 41, 1, -46.91, -32.60, 3.68
door 91, smart agent 28, 1, -3.49, 19.96, 3.72
door 50, smart agent 33, 1, -52.93, 15.40, 3.78
door 59, smart agent 41, 1, -46.91, -32.48, 3.78
door 66, smart agent 32, 1, -43.93, 15.40, 3.78
door 67, smart agent 31, 1, -34.93, 15.40, 3.78
door 68, smart agent 30, 1, -25.93, 15.40, 3.78
door 69, smart agent 29, 1, -16.93, 15.40, 3.78
door 45, smart agent 21, 1, 31.05, 12.52, 3.78
door 44, smart agent 26, 1, 31.05, 15.40, 3.78
door 43, smart agent 20, 1, 40.05, 12.52, 3.78
door 42, smart agent 25, 1, 40.05, 15.40, 3.78
door 41, smart agent 19, 1, 49.05, 12.52, 3.78
door 40, smart agent 24, 1, 49.05, 15.40, 3.78
door 39, smart agent 18, 1, 58.05, 12.52, 3.78
door 38, smart agent 23, 1, 58.05, 15.40, 3.78
door 98, smart agent 35, 1, -63.47, -24.04, 3.84
door 97, smart agent 34, 1, -63.47, 10.96, 3.84
door 102, smart agent 39, 1, -63.47, 3.96, 3.86
door 101, smart agent 38, 1, -63.47, -3.04, 3.86
door 100, smart agent 37, 1, -63.47, -10.04, 3.86
door 99, smart agent 36, 1, -63.47, -17.04, 3.86
door 1, smart agent 28, 1, -3.37, 19.96, 3.86
door 93, smart agent 30, 1, -25.93, 15.52, 3.88
door 95, smart agent 32, 1, -43.93, 15.52, 3.88
door 92, smart agent 29, 1, -16.93, 15.52, 3.88
door 94, smart agent 31, 1, -34.93, 15.52, 3.88
door 104, smart agent 41, 1, -46.91, -32.60, 3.90
door 57, smart agent 35, 1, -63.35, -24.04, 3.96
door 52, smart agent 34, 1, -63.35, 10.96, 3.96
door 53, smart agent 39, 1, -63.35, 3.96, 3.98
door 54, smart agent 38, 1, -63.35, -3.04, 3.98
door 55, smart agent 37, 1, -63.35, -10.04, 3.98
door 56, smart agent 36, 1, -63.35, -17.04, 3.98
door 93, smart agent 30, 1, -25.93, 15.52, 4.00
door 95, smart agent 32, 1, -43.93, 15.52, 4.00
door 104, smart agent 41, 1, -46.91, -32.60, 4.00
door 92, smart agent 29, 1, -16.93, 15.52, 4.00
door 94, smart agent 31, 1, -34.93, 15.52, 4.00
door 52, smart agent 34, 1, -63.35, 10.96, 4.06
door 57, smart agent 35, 1, -63.35, -24.04, 4.06
door 102, smart agent 39, 1, -63.47, 3.96, 4.08
door 100, smart agent 37, 1, -63.47, -10.04, 4.08
door 99, smart agent 36, 1, -63.47, -17.04, 4.08
door 101, smart agent 38, 1, -63.47, -3.04, 4.08
door 97, smart agent 34, 1, -63.47, 10.96, 4.18
door 102, smart agent 39, 1, -63.47, 3.96, 4.20
door 100, smart agent 37, 1, -63.47, -10.04, 4.20
door 99, smart agent 36, 1, -63.47, -17.04, 4.20
door 101, smart agent 38, 1, -63.47, -3.04, 4.20
door 55, smart agent 37, 1, -63.35, -10.04, 4.30
door 53, smart agent 39, 1, -63.35, 3.96, 4.30
door 54, smart agent 38, 1, -63.35, -3.04, 4.30
door 79, smart agent 17, 1, 64.05, 12.40, 4.34
door 84, smart agent 22, 1, 64.05, 15.52, 4.34
door 89, smart agent 27, 1, 25.05, 15.52, 4.34
door 103, smart agent 40, 1, -58.91, -32.60, 4.36
door 105, smart agent 42, 1, -34.91, -32.60, 4.36
door 107, smart agent 43, 1, -25.91, -32.60, 4.36
door 109, smart agent 44, 1, -22.91, -32.60, 4.36
door 55, smart agent 37, 1, -63.35, -10.04, 4.42
door 53, smart agent 39, 1, -63.35, 3.96, 4.42
door 54, smart agent 38, 1, -63.35, -3.04, 4.42
door 36, smart agent 22, 1, 64.05, 15.40, 4.46
door 61, smart agent 42, 1, -34.91, -32.48, 4.48
door 63, smart agent 43, 1, -25.91, -32.48, 4.48
door 46, smart agent 27, 1, 25.05, 15.40, 4.50
door 37, smart agent 17, 1, 64.05, 12.52, 4.50
door 65, smart agent 40, 1, -58.91, -32.48, 4.50
door 64, smart agent 44, 1, -22.91, -32.48, 4.50
door 37, smart agent 17, 1, 64.05, 12.52, 4.56
door 46, smart agent 27, 1, 25.05, 15.40, 4.56
door 64, smart agent 44, 1, -22.91, -32.48, 4.58
door 63, smart agent 43, 1, -25.91, -32.48, 4.58
door 61, smart agent 42, 1, -34.91, -32.48, 4.58
door 105, smart agent 42, 1, -34.91, -32.60, 4.70
door 107, smart agent 43, 1, -25.91, -32.60, 4.70
door 109, smart agent 44, 1, -22.91, -32.60, 4.72
door 105, smart agent 42, 1, -34.91, -32.60, 4.80
door 109, smart agent 44, 1, -22.91, -32.60, 4.80
door 107, smart agent 43, 1, -25.91, -32.60, 4.80
door 56, smart agent 36, 1, -63.35, -17.04, 4.92
door 103, smart agent 40, 1, -58.91, -32.60, 4.92
door 65, smart agent 40, 1, -58.91, -32.48, 4.92
door 105, smart agent 42, 1, -34.91, -32.60, 4.92
door 61, smart agent 42, 1, -34.91, -32.48, 4.92
door 107, smart agent 43, 1, -25.91, -32.60, 4.92
door 63, smart agent 43, 1, -25.91, -32.48, 4.92
door 109, smart agent 44, 1, -22.91, -32.60, 4.92
door 64, smart agent 44, 1, -22.91, -32.48, 4.92
door 89, smart agent 27, 1, 25.05, 15.52, 4.92
door 46, smart agent 27, 1, 25.05, 15.40, 4.92
door 37, smart agent 17, 1, 64.05, 12.52, 4.92
door 36, smart agent 22, 1, 64.05, 15.40, 4.92
door 79, smart agent 17, 1, 64.05, 12.40, 4.92
door 1, smart agent 1, 1, -3.37, 19.96, 5.00
door 7, smart agent 4, 1, -69.47, 13.96, 5.04
door 20, smart agent 12, 1, -15.47, -19.04, 5.04
door 19, smart agent 11, 1, -33.35, -28.04, 5.04
door 4, smart agent 3, 1, 25.05, 12.40, 5.12
door 91, smart agent 1, 1, -3.49, 19.96, 5.16
door 26, smart agent 12, 1, -15.35, -19.04, 5.18
door 17, smart agent 11, 1, -33.47, -28.04, 5.18
door 91, smart agent 1, 1, -3.49, 19.96, 5.22
door 26, smart agent 12, 1, -15.35, -19.04, 5.26
door 17, smart agent 11, 1, -33.47, -28.04, 5.26
door 47, smart agent 3, 1, 25.05, 12.52, 5.32
door 47, smart agent 3, 1, 25.05, 12.52, 5.34
door 6, smart agent 5, 1, -61.91, -32.60, 5.62
door 58, smart agent 5, 1, -61.91, -32.48, 5.74
intersection node 4, smart agent 34, 1, -62.50, 14.50, 7.04
exit 1, smart agent 2, 1, 13.05, 42.40, 7.28
door 15, smart agent 8, 1, 14.61, -16.04, 7.54
door 77, smart agent 8, 1, 14.49, -16.04, 7.70
door 15, smart agent 8, 1, 14.61, -16.04, 7.76
door 15, smart agent 8, 1, 14.61, -16.04, 7.92
door 26, smart agent 14, 1, -15.35, -19.04, 8.06
door 23, smart agent 13, 1, -15.47, -7.04, 8.10
door 20, smart agent 14, 1, -15.47, -19.04, 8.22
door 30, smart agent 13, 1, -15.35, -7.04, 8.24
door 20, smart agent 14, 1, -15.47, -19.04, 8.28
door 30, smart agent 13, 1, -15.35, -7.04, 8.32
door 31, smart agent 16, 1, -1.93, 12.40, 8.60
door 49, smart agent 16, 1, -1.93, 12.52, 8.70
door 2, smart agent 1, 1, -1.93, 15.52, 8.98
door 28, smart agent 15, 1, 7.05, -8.60, 9.16
door 16, smart agent 9, 1, -52.93, 12.40, 9.18
door 48, smart agent 1, 1, -1.93, 15.40, 9.24
door 29, smart agent 15, 1, 7.05, -8.48, 9.28
door 51, smart agent 9, 1, -52.93, 12.52, 9.32
door 51, smart agent 9, 1, -52.93, 12.52, 9.80
door 48, smart agent 1, 1, -1.93, 15.40, 9.80
door 29, smart agent 15, 1, 7.05, -8.48, 9.80
door 90, smart agent 28, 1, -10.93, 15.52, 10.90
