Agent Name, Door Name, Position-X, Position-Z, Time (Seconds)
SmartAgent3D(Clone), door 14, 14.61-X, -10.04-Z, 1.12 seconds
SmartAgent3D(Clone), door 5, -70.91-X, 15.52-Z, 1.54 seconds
SmartAgent3D(Clone), door 97, -52.93-X, 15.52-Z, 1.64 seconds
SmartAgent3D(Clone), door 96, -43.93-X, 15.52-Z, 1.64 seconds
SmartAgent3D(Clone), door 95, -34.93-X, 15.52-Z, 1.64 seconds
SmartAgent3D(Clone), door 94, -25.93-X, 15.52-Z, 1.64 seconds
SmartAgent3D(Clone), door 93, -16.93-X, 15.52-Z, 1.64 seconds
SmartAgent3D(Clone), door 105, -46.91-X, -32.6-Z, 1.66 seconds
SmartAgent3D(Clone), door 81, 58.05-X, 12.4-Z, 1.66 seconds
SmartAgent3D(Clone), door 86, 58.05-X, 15.52-Z, 1.66 seconds
SmartAgent3D(Clone), door 82, 49.05-X, 12.4-Z, 1.66 seconds
SmartAgent3D(Clone), door 87, 49.05-X, 15.52-Z, 1.66 seconds
SmartAgent3D(Clone), door 83, 40.05-X, 12.4-Z, 1.66 seconds
SmartAgent3D(Clone), door 92, -3.49-X, 19.96-Z, 1.66 seconds
SmartAgent3D(Clone), door 84, 31.05-X, 12.4-Z, 1.66 seconds
SmartAgent3D(Clone), door 89, 31.05-X, 15.52-Z, 1.66 seconds
SmartAgent3D(Clone), door 88, 40.05-X, 15.52-Z, 1.66 seconds
SmartAgent3D(Clone), door 99, -63.47-X, -24.04-Z, 1.72 seconds
SmartAgent3D(Clone), door 98, -63.47-X, 10.96-Z, 1.72 seconds
SmartAgent3D(Clone), door 103, -63.47-X, 3.96-Z, 1.72 seconds
SmartAgent3D(Clone), door 102, -63.47-X, -3.04-Z, 1.72 seconds
SmartAgent3D(Clone), door 101, -63.47-X, -10.04-Z, 1.72 seconds
SmartAgent3D(Clone), door 100, -63.47-X, -17.04-Z, 1.72 seconds
SmartAgent3D(Clone), door 108, -25.91-X, -32.6-Z, 1.9 seconds
SmartAgent3D(Clone), door 104, -58.91-X, -32.6-Z, 1.9 seconds
SmartAgent3D(Clone), door 106, -34.91-X, -32.6-Z, 1.9 seconds
SmartAgent3D(Clone), door 85, 64.05-X, 15.52-Z, 1.9 seconds
SmartAgent3D(Clone), door 110, -22.91-X, -32.6-Z, 1.9 seconds
SmartAgent3D(Clone), door 90, 25.05-X, 15.52-Z, 1.9 seconds
SmartAgent3D(Clone), door 80, 64.05-X, 12.4-Z, 1.92 seconds
SmartAgent3D(Clone), door 77, 14.49-X, -10.04-Z, 1.96 seconds
SmartAgent3D(Clone), door 20, -15.47-X, -19.04-Z, 2.12 seconds
SmartAgent3D(Clone), door 19, -33.35-X, -28.04-Z, 2.12 seconds
SmartAgent3D(Clone), door 4, 25.05-X, 12.4-Z, 2.2 seconds
SmartAgent3D(Clone), door 6, -61.91-X, -32.6-Z, 2.32 seconds
SmartAgent3D(Clone), door 8, -70.91-X, 15.4-Z, 2.34 seconds
SmartAgent3D(Clone), door 1, -3.37-X, 19.96-Z, 2.34 seconds
SmartAgent3D(Clone), door 51, -52.93-X, 15.4-Z, 2.44 seconds
SmartAgent3D(Clone), door 67, -43.93-X, 15.4-Z, 2.44 seconds
SmartAgent3D(Clone), door 68, -34.93-X, 15.4-Z, 2.44 seconds
SmartAgent3D(Clone), door 69, -25.93-X, 15.4-Z, 2.44 seconds
SmartAgent3D(Clone), door 70, -16.93-X, 15.4-Z, 2.44 seconds
SmartAgent3D(Clone), door 44, 31.05-X, 15.4-Z, 2.44 seconds
SmartAgent3D(Clone), door 45, 31.05-X, 12.52-Z, 2.44 seconds
SmartAgent3D(Clone), door 43, 40.05-X, 12.52-Z, 2.44 seconds
SmartAgent3D(Clone), door 42, 40.05-X, 15.4-Z, 2.44 seconds
SmartAgent3D(Clone), door 41, 49.05-X, 12.52-Z, 2.44 seconds
SmartAgent3D(Clone), door 40, 49.05-X, 15.4-Z, 2.44 seconds
SmartAgent3D(Clone), door 39, 58.05-X, 12.52-Z, 2.44 seconds
SmartAgent3D(Clone), door 38, 58.05-X, 15.4-Z, 2.44 seconds
SmartAgent3D(Clone), door 1, -3.37-X, 19.96-Z, 2.48 seconds
SmartAgent3D(Clone), door 46, 25.05-X, 15.4-Z, 2.68 seconds
SmartAgent3D(Clone), door 37, 64.05-X, 12.52-Z, 2.68 seconds
SmartAgent3D(Clone), door 36, 64.05-X, 15.4-Z, 2.7 seconds
SmartAgent3D(Clone), door 70, -16.93-X, 15.4-Z, 2.84 seconds
SmartAgent3D(Clone), door 17, -33.47-X, -28.04-Z, 2.96 seconds
SmartAgent3D(Clone), door 26, -15.35-X, -19.04-Z, 2.98 seconds
SmartAgent3D(Clone), door 47, 25.05-X, 12.52-Z, 3 seconds
SmartAgent3D(Clone), door 15, 14.61-X, -16.04-Z, 3.12 seconds
SmartAgent3D(Clone), door 92, -3.49-X, 19.96-Z, 3.18 seconds
SmartAgent3D(Clone), door 26, -15.35-X, -19.04-Z, 3.2 seconds
SmartAgent3D(Clone), door 23, -15.47-X, -7.04-Z, 3.2 seconds
SmartAgent3D(Clone), door 7, -69.47-X, 13.96-Z, 3.28 seconds
SmartAgent3D(Clone), door 31, -1.93-X, 12.4-Z, 3.4 seconds
SmartAgent3D(Clone), door 28, 7.05-X, -8.6-Z, 3.58 seconds
SmartAgent3D(Clone), door 45, 31.05-X, 12.52-Z, 3.66 seconds
SmartAgent3D(Clone), door 42, 40.05-X, 15.4-Z, 3.66 seconds
SmartAgent3D(Clone), door 40, 49.05-X, 15.4-Z, 3.66 seconds
SmartAgent3D(Clone), door 38, 58.05-X, 15.4-Z, 3.66 seconds
SmartAgent3D(Clone), door 16, -52.93-X, 12.4-Z, 3.68 seconds
SmartAgent3D(Clone), door 15, 14.61-X, -16.04-Z, 3.68 seconds
SmartAgent3D(Clone), door 44, 31.05-X, 15.4-Z, 3.68 seconds
SmartAgent3D(Clone), door 43, 40.05-X, 12.52-Z, 3.7 seconds
SmartAgent3D(Clone), door 41, 49.05-X, 12.52-Z, 3.7 seconds
SmartAgent3D(Clone), door 39, 58.05-X, 12.52-Z, 3.7 seconds
SmartAgent3D(Clone), door 52, -52.93-X, 12.52-Z, 3.7 seconds
SmartAgent3D(Clone), door 16, -52.93-X, 12.4-Z, 3.7 seconds
SmartAgent3D(Clone), door 30, -15.35-X, -7.04-Z, 4 seconds
SmartAgent3D(Clone), door 20, -15.47-X, -19.04-Z, 4.04 seconds
SmartAgent3D(Clone), door 37, 64.05-X, 12.52-Z, 4.08 seconds
SmartAgent3D(Clone), door 2, -1.93-X, 15.52-Z, 4.14 seconds
SmartAgent3D(Clone), door 50, -1.93-X, 12.52-Z, 4.16 seconds
SmartAgent3D(Clone), door 47, 25.05-X, 12.52-Z, 4.2 seconds
SmartAgent3D(Clone), door 46, 25.05-X, 15.4-Z, 4.26 seconds
SmartAgent3D(Clone), door 78, 14.49-X, -16.04-Z, 4.28 seconds
SmartAgent3D(Clone), door 36, 64.05-X, 15.4-Z, 4.34 seconds
SmartAgent3D(Clone), door 52, -52.93-X, 12.52-Z, 4.38 seconds
SmartAgent3D(Clone), door 20, -15.47-X, -19.04-Z, 4.38 seconds
SmartAgent3D(Clone), door 29, 7.05-X, -8.48-Z, 4.4 seconds
SmartAgent3D(Clone), door 86, 58.05-X, 15.52-Z, 4.42 seconds
SmartAgent3D(Clone), door 88, 40.05-X, 15.52-Z, 4.42 seconds
SmartAgent3D(Clone), door 87, 49.05-X, 15.52-Z, 4.42 seconds
SmartAgent3D(Clone), door 84, 31.05-X, 12.4-Z, 4.46 seconds
SmartAgent3D(Clone), door 89, 31.05-X, 15.52-Z, 4.46 seconds
SmartAgent3D(Clone), door 83, 40.05-X, 12.4-Z, 4.48 seconds
SmartAgent3D(Clone), door 82, 49.05-X, 12.4-Z, 4.48 seconds
SmartAgent3D(Clone), door 81, 58.05-X, 12.4-Z, 4.48 seconds
SmartAgent3D(Clone), door 12, 16.09-X, -32.6-Z, 4.64 seconds
SmartAgent3D(Clone), door 17, -33.47-X, -28.04-Z, 4.76 seconds
SmartAgent3D(Clone), door 20, -15.47-X, -19.04-Z, 4.8 seconds
SmartAgent3D(Clone), door 37, 64.05-X, 12.52-Z, 4.8 seconds
SmartAgent3D(Clone), door 84, 31.05-X, 12.4-Z, 4.82 seconds
SmartAgent3D(Clone), door 81, 58.05-X, 12.4-Z, 4.84 seconds
SmartAgent3D(Clone), door 82, 49.05-X, 12.4-Z, 4.84 seconds
SmartAgent3D(Clone), door 83, 40.05-X, 12.4-Z, 4.84 seconds
SmartAgent3D(Clone), door 49, -1.93-X, 15.4-Z, 4.94 seconds
SmartAgent3D(Clone), door 88, 40.05-X, 15.52-Z, 4.94 seconds
SmartAgent3D(Clone), door 87, 49.05-X, 15.52-Z, 4.94 seconds
SmartAgent3D(Clone), door 86, 58.05-X, 15.52-Z, 4.94 seconds
SmartAgent3D(Clone), door 71, -10.93-X, 15.4-Z, 4.94 seconds
SmartAgent3D(Clone), door 89, 31.05-X, 15.52-Z, 4.96 seconds
SmartAgent3D(Clone), door 4, 25.05-X, 12.4-Z, 4.96 seconds
SmartAgent3D(Clone), door 67, -43.93-X, 15.4-Z, 5.02 seconds
SmartAgent3D(Clone), door 68, -34.93-X, 15.4-Z, 5.02 seconds
SmartAgent3D(Clone), door 90, 25.05-X, 15.52-Z, 5.08 seconds
SmartAgent3D(Clone), door 84, 31.05-X, 12.4-Z, 5.1 seconds
SmartAgent3D(Clone), door 82, 49.05-X, 12.4-Z, 5.12 seconds
SmartAgent3D(Clone), door 83, 40.05-X, 12.4-Z, 5.12 seconds
SmartAgent3D(Clone), door 81, 58.05-X, 12.4-Z, 5.14 seconds
SmartAgent3D(Clone), door 85, 64.05-X, 15.52-Z, 5.14 seconds
SmartAgent3D(Clone), door 20, -15.47-X, -19.04-Z, 5.18 seconds
SmartAgent3D(Clone), door 51, -52.93-X, 15.4-Z, 5.18 seconds
SmartAgent3D(Clone), door 4, 25.05-X, 12.4-Z, 5.3 seconds
SmartAgent3D(Clone), door 80, 64.05-X, 12.4-Z, 5.38 seconds
SmartAgent3D(Clone), door 88, 40.05-X, 15.52-Z, 5.4 seconds
SmartAgent3D(Clone), door 86, 58.05-X, 15.52-Z, 5.4 seconds
SmartAgent3D(Clone), door 87, 49.05-X, 15.52-Z, 5.4 seconds
SmartAgent3D(Clone), door 89, 31.05-X, 15.52-Z, 5.44 seconds
SmartAgent3D(Clone), door 49, -1.93-X, 15.4-Z, 5.48 seconds
SmartAgent3D(Clone), door 90, 25.05-X, 15.52-Z, 5.54 seconds
SmartAgent3D(Clone), door 51, -52.93-X, 15.4-Z, 5.54 seconds
SmartAgent3D(Clone), door 19, -33.35-X, -28.04-Z, 5.58 seconds
SmartAgent3D(Clone), door 85, 64.05-X, 15.52-Z, 5.6 seconds
SmartAgent3D(Clone), door 68, -34.93-X, 15.4-Z, 5.62 seconds
SmartAgent3D(Clone), door 71, -10.93-X, 15.4-Z, 5.62 seconds
SmartAgent3D(Clone), door 80, 64.05-X, 12.4-Z, 5.76 seconds
SmartAgent3D(Clone), door 67, -43.93-X, 15.4-Z, 5.82 seconds
SmartAgent3D(Clone), door 51, -52.93-X, 15.4-Z, 5.84 seconds
SmartAgent3D(Clone), door 95, -34.93-X, 15.52-Z, 5.96 seconds
SmartAgent3D(Clone), door 51, -52.93-X, 15.4-Z, 6.02 seconds
SmartAgent3D(Clone), door 80, 64.05-X, 12.4-Z, 6.02 seconds
SmartAgent3D(Clone), door 91, -10.93-X, 15.52-Z, 6.08 seconds
SmartAgent3D(Clone), door 91, -10.93-X, 15.52-Z, 6.16 seconds
SmartAgent3D(Clone), door 50, -1.93-X, 12.52-Z, 6.16 seconds
SmartAgent3D(Clone), door 80, 64.05-X, 12.4-Z, 6.28 seconds
SmartAgent3D(Clone), door 2, -1.93-X, 15.52-Z, 6.28 seconds
SmartAgent3D(Clone), door 51, -52.93-X, 15.4-Z, 6.4 seconds
