Agent Name, Exit Name, Position-X, Position-Z, Exit Time (Seconds)
SmartAgent3D(Clone), exit 1, 13.05-X, 42.4-Z, 2.92 seconds
SmartAgent3D(Clone), exit 2, -62.04-X, 24.4-Z, 5.7 seconds
SmartAgent3D(Clone), exit 4, 20.53-X, -31.04-Z, 5.92 seconds
SmartAgent3D(Clone), exit 3, -72.35-X, -31.04-Z, 6 seconds
SmartAgent3D(Clone), exit 3, -72.35-X, -31.04-Z, 6.18 seconds
SmartAgent3D(Clone), exit 2, -62.04-X, 24.4-Z, 7.58 seconds
SmartAgent3D(Clone), exit 2, -62.04-X, 24.4-Z, 7.74 seconds
SmartAgent3D(Clone), exit 3, -72.35-X, -31.04-Z, 9.28 seconds
SmartAgent3D(Clone), exit 2, -62.04-X, 24.4-Z, 9.76 seconds
SmartAgent3D(Clone), exit 2, -62.04-X, 24.4-Z, 11.72 seconds
SmartAgent3D(Clone), exit 3, -72.35-X, -31.04-Z, 13.22 seconds
SmartAgent3D(Clone), exit 2, -62.04-X, 24.4-Z, 13.76 seconds
SmartAgent3D(Clone), exit 4, 20.53-X, -31.04-Z, 13.94 seconds
SmartAgent3D(Clone), exit 4, 20.53-X, -31.04-Z, 14.94 seconds
SmartAgent3D(Clone), exit 4, 20.53-X, -31.04-Z, 15.32 seconds
SmartAgent3D(Clone), exit 2, -62.04-X, 24.4-Z, 15.7 seconds
SmartAgent3D(Clone), exit 1, 13.05-X, 42.4-Z, 17.36 seconds
SmartAgent3D(Clone), exit 2, -62.04-X, 24.4-Z, 20.38 seconds
SmartAgent3D(Clone), exit 1, 13.05-X, 42.4-Z, 20.52 seconds
SmartAgent3D(Clone), exit 1, 13.05-X, 42.4-Z, 20.84 seconds
SmartAgent3D(Clone), exit 1, 13.05-X, 42.4-Z, 22.36 seconds
SmartAgent3D(Clone), exit 2, -62.04-X, 24.4-Z, 24.4 seconds
SmartAgent3D(Clone), exit 1, 13.05-X, 42.4-Z, 26.24 seconds
SmartAgent3D(Clone), exit 1, 13.05-X, 42.4-Z, 28.36 seconds
SmartAgent3D(Clone), exit 1, 13.05-X, 42.4-Z, 29.94 seconds
SmartAgent3D(Clone), exit 1, 13.05-X, 42.4-Z, 33.46 seconds
SmartAgent3D(Clone), exit 1, 13.05-X, 42.4-Z, 34.84 seconds
SmartAgent3D(Clone), exit 1, 13.05-X, 42.4-Z, 34.9 seconds
SmartAgent3D(Clone), exit 1, 13.05-X, 42.4-Z, 41.3 seconds
SmartAgent3D(Clone), exit 2, -62.04-X, 24.4-Z, 42.58 seconds
SmartAgent3D(Clone), exit 1, 13.05-X, 42.4-Z, 47.24 seconds
SmartAgent3D(Clone), exit 2, -62.04-X, 24.4-Z, 47.4 seconds
SmartAgent3D(Clone), exit 2, -62.04-X, 24.4-Z, 48.86 seconds
SmartAgent3D(Clone), exit 1, 13.05-X, 42.4-Z, 56.38 seconds
SmartAgent3D(Clone), exit 1, 13.05-X, 42.4-Z, 57.58 seconds
SmartAgent3D(Clone), exit 1, 13.05-X, 42.4-Z, 58.22 seconds
SmartAgent3D(Clone), exit 1, 13.05-X, 42.4-Z, 59.12 seconds
SmartAgent3D(Clone), exit 1, 13.05-X, 42.4-Z, 65.64 seconds
SmartAgent3D(Clone), exit 1, 13.05-X, 42.4-Z, 69.76 seconds
SmartAgent3D(Clone), exit 1, 13.05-X, 42.4-Z, 72.18 seconds
SmartAgent3D(Clone), exit 1, 13.05-X, 42.4-Z, 74.88 seconds
SmartAgent3D(Clone), exit 1, 13.05-X, 42.4-Z, 79.72 seconds
SmartAgent3D(Clone), exit 1, 13.05-X, 42.4-Z, 98.86 seconds
SmartAgent3D(Clone), exit 1, 13.05-X, 42.4-Z, 121.04 seconds
