Agent Name, Node Name, Position-X, Position-Z, Time (Seconds)
SmartAgent3D(Clone), room node 4, -69.66-X, 19.5-Z, 0 seconds
SmartAgent3D(Clone), room node 39, -67.91-X, 2.46-Z, 0 seconds
SmartAgent3D(Clone), room node 38, -67.91-X, -4.54-Z, 0 seconds
SmartAgent3D(Clone), room node 37, -67.91-X, -11.54-Z, 0 seconds
SmartAgent3D(Clone), room node 36, -67.91-X, -18.54-Z, 0 seconds
SmartAgent3D(Clone), room node 35, -67.91-X, -25.54-Z, 0 seconds
SmartAgent3D(Clone), room node 34, -67.91-X, 9.46-Z, 0 seconds
SmartAgent3D(Clone), room node 5, -66.6-X, -37.78-Z, 0 seconds
SmartAgent3D(Clone), room node 40, -55.91-X, -37.04-Z, 0 seconds
SmartAgent3D(Clone), room node 33, -52.93-X, 19.96-Z, 0 seconds
SmartAgent3D(Clone), room node 10, -47.14-X, -20.74-Z, 0 seconds
SmartAgent3D(Clone), room node 41, -46.91-X, -37.04-Z, 0 seconds
SmartAgent3D(Clone), room node 9, -46.4-X, 3.1-Z, 0 seconds
SmartAgent3D(Clone), room node 32, -43.93-X, 19.96-Z, 0 seconds
SmartAgent3D(Clone), room node 42, -37.91-X, -37.04-Z, 0 seconds
SmartAgent3D(Clone), room node 31, -34.93-X, 19.96-Z, 0 seconds
SmartAgent3D(Clone), room node 43, -28.91-X, -37.04-Z, 0 seconds
SmartAgent3D(Clone), room node 11, -28.91-X, -23.54-Z, 0 seconds
SmartAgent3D(Clone), room node 30, -25.93-X, 19.96-Z, 0 seconds
SmartAgent3D(Clone), room node 13, -24.41-X, -2.54-Z, 0 seconds
SmartAgent3D(Clone), room node 44, -19.91-X, -37.04-Z, 0 seconds
SmartAgent3D(Clone), room node 12, -19.91-X, -23.54-Z, 0 seconds
SmartAgent3D(Clone), room node 29, -16.93-X, 19.96-Z, 0 seconds
SmartAgent3D(Clone), room node 14, -10.84-X, -27.76-Z, 0 seconds
SmartAgent3D(Clone), room node 28, -7.93-X, 19.96-Z, 0 seconds
SmartAgent3D(Clone), room node 16, -3.45-X, 1.96-Z, 0 seconds
SmartAgent3D(Clone), room node 15, 0.81-X, -18.04-Z, 0 seconds
SmartAgent3D(Clone), room node 6, 2.36-X, -37.1-Z, 0 seconds
SmartAgent3D(Clone), room node 1, 2.57-X, 19.96-Z, 0 seconds
SmartAgent3D(Clone), room node 2, 11.78-X, 33.55-Z, 0 seconds
SmartAgent3D(Clone), room node 7, 16.72-X, -8.19-Z, 0 seconds
SmartAgent3D(Clone), room node 8, 16.98-X, -24.86-Z, 0 seconds
SmartAgent3D(Clone), room node 3, 19.68-X, 9.14-Z, 0 seconds
SmartAgent3D(Clone), room node 27, 22.05-X, 19.96-Z, 0 seconds
SmartAgent3D(Clone), room node 21, 31.05-X, 7.96-Z, 0 seconds
SmartAgent3D(Clone), room node 26, 31.05-X, 19.96-Z, 0 seconds
SmartAgent3D(Clone), room node 20, 40.05-X, 7.96-Z, 0 seconds
SmartAgent3D(Clone), room node 25, 40.05-X, 19.96-Z, 0 seconds
SmartAgent3D(Clone), room node 24, 49.05-X, 19.96-Z, 0 seconds
SmartAgent3D(Clone), room node 19, 49.05-X, 7.96-Z, 0 seconds
SmartAgent3D(Clone), room node 18, 58.05-X, 7.96-Z, 0 seconds
SmartAgent3D(Clone), room node 23, 58.05-X, 19.96-Z, 0 seconds
SmartAgent3D(Clone), room node 17, 67.05-X, 7.96-Z, 0 seconds
SmartAgent3D(Clone), room node 22, 67.05-X, 19.96-Z, 0 seconds
SmartAgent3D(Clone), module node 34, -61.93-X, 16.96-Z, 3.52 seconds
SmartAgent3D(Clone), module node 33, -61.93-X, 19.96-Z, 4.38 seconds
SmartAgent3D(Clone), module node 32, -61.93-X, 22.96-Z, 5.22 seconds
SmartAgent3D(Clone), module node 99, 19.09-X, -31.04-Z, 5.44 seconds
SmartAgent3D(Clone), module node 34, -61.93-X, 16.96-Z, 5.54 seconds
