Object Name, First Visit, Last Visit, Total # of Visits
module node 1, 0.00, 0.00, 0
module node 2, 0.00, 0.00, 0
module node 3, 0.00, 0.00, 0
module node 4, 0.00, 0.00, 0
module node 5, 0.00, 0.00, 0
module node 6, 0.00, 0.00, 0
module node 7, 0.00, 0.00, 0
module node 8, 0.00, 0.00, 0
module node 9, 0.00, 0.00, 0
module node 10, 0.00, 0.00, 0
module node 11, 0.00, 0.00, 0
module node 12, 0.00, 0.00, 0
module node 13, 0.00, 0.00, 0
module node 14, 0.00, 0.00, 0
module node 15, 0.00, 0.00, 0
module node 16, 0.00, 0.00, 0
module node 17, 0.00, 0.00, 0
module node 18, 0.00, 0.00, 0
module node 19, 0.00, 0.00, 0
module node 20, 0.00, 0.00, 0
module node 21, 0.00, 0.00, 0
module node 22, 10.04, 95.06, 13
module node 23, 10.88, 95.96, 12
module node 24, 11.74, 96.88, 11
module node 25, 0.00, 0.00, 0
module node 26, 0.00, 0.00, 0
module node 27, 0.00, 0.00, 0
module node 28, 0.00, 0.00, 0
module node 29, 0.00, 0.00, 0
module node 30, 0.00, 0.00, 0
module node 31, 0.00, 0.00, 0
module node 32, 5.22, 41.96, 9
module node 33, 4.36, 14.36, 6
module node 34, 3.50, 13.50, 6
module node 35, 0.00, 0.00, 0
module node 36, 0.00, 0.00, 0
module node 37, 0.00, 0.00, 0
module node 38, 0.00, 0.00, 0
module node 39, 0.00, 0.00, 0
module node 40, 0.00, 0.00, 0
module node 41, 0.00, 0.00, 0
module node 42, 0.00, 0.00, 0
module node 43, 0.00, 0.00, 0
module node 44, 0.00, 0.00, 0
module node 45, 0.00, 0.00, 0
module node 46, 0.00, 0.00, 0
module node 47, 0.00, 0.00, 0
module node 48, 0.00, 0.00, 0
module node 49, 0.00, 0.00, 0
module node 50, 0.00, 0.00, 0
module node 51, 0.00, 0.00, 0
module node 52, 0.00, 0.00, 0
module node 53, 0.00, 0.00, 0
module node 54, 0.00, 0.00, 0
module node 55, 0.00, 0.00, 0
module node 56, 0.00, 0.00, 0
module node 57, 0.00, 0.00, 0
module node 58, 0.00, 0.00, 0
module node 59, 0.00, 0.00, 0
module node 60, 0.00, 0.00, 0
module node 61, 0.00, 0.00, 0
module node 62, 0.00, 0.00, 0
module node 63, 0.00, 0.00, 0
module node 64, 5.56, 12.74, 4
module node 65, 0.00, 0.00, 0
module node 66, 0.00, 0.00, 0
module node 67, 0.00, 0.00, 0
module node 68, 0.00, 0.00, 0
module node 69, 0.00, 0.00, 0
module node 70, 0.00, 0.00, 0
module node 71, 0.00, 0.00, 0
