Object Name, Agent Name, Position-X, Position-Z, Time (Seconds)
room node 4, smart agent 4, -69.66, 19.50, 0.00
room node 39, smart agent 39, -67.91, 2.46, 0.00
room node 38, smart agent 38, -67.91, -4.54, 0.00
room node 37, smart agent 37, -67.91, -11.54, 0.00
room node 36, smart agent 36, -67.91, -18.54, 0.00
room node 35, smart agent 35, -67.91, -25.54, 0.00
room node 34, smart agent 34, -67.91, 9.46, 0.00
room node 5, smart agent 5, -66.60, -37.78, 0.00
room node 40, smart agent 40, -55.91, -37.04, 0.00
room node 33, smart agent 33, -52.93, 19.96, 0.00
room node 10, smart agent 10, -47.14, -20.74, 0.00
room node 41, smart agent 41, -46.91, -37.04, 0.00
room node 9, smart agent 9, -46.40, 3.10, 0.00
room node 32, smart agent 32, -43.93, 19.96, 0.00
room node 42, smart agent 42, -37.91, -37.04, 0.00
room node 31, smart agent 31, -34.93, 19.96, 0.00
room node 43, smart agent 43, -28.91, -37.04, 0.00
room node 11, smart agent 11, -28.91, -23.54, 0.00
room node 30, smart agent 30, -25.93, 19.96, 0.00
room node 13, smart agent 13, -24.41, -2.54, 0.00
room node 44, smart agent 44, -19.91, -37.04, 0.00
room node 12, smart agent 12, -19.91, -23.54, 0.00
room node 29, smart agent 29, -16.93, 19.96, 0.00
room node 14, smart agent 14, -10.84, -27.76, 0.00
room node 28, smart agent 28, -7.93, 19.96, 0.00
room node 16, smart agent 16, -3.45, 1.96, 0.00
room node 15, smart agent 15, 0.81, -18.04, 0.00
room node 6, smart agent 6, 2.36, -37.10, 0.00
room node 1, smart agent 1, 2.57, 19.96, 0.00
room node 2, smart agent 2, 11.78, 33.55, 0.00
room node 7, smart agent 7, 16.72, -8.19, 0.00
room node 8, smart agent 8, 16.98, -24.86, 0.00
room node 3, smart agent 3, 19.68, 9.14, 0.00
room node 27, smart agent 27, 22.05, 19.96, 0.00
room node 21, smart agent 21, 31.05, 7.96, 0.00
room node 26, smart agent 26, 31.05, 19.96, 0.00
room node 20, smart agent 20, 40.05, 7.96, 0.00
room node 25, smart agent 25, 40.05, 19.96, 0.00
room node 24, smart agent 24, 49.05, 19.96, 0.00
room node 19, smart agent 19, 49.05, 7.96, 0.00
room node 18, smart agent 18, 58.05, 7.96, 0.00
room node 23, smart agent 23, 58.05, 19.96, 0.00
room node 17, smart agent 17, 67.05, 7.96, 0.00
room node 22, smart agent 22, 67.05, 19.96, 0.00
door 5, smart agent 4, -70.91, 15.52, 1.54
door 96, smart agent 33, -52.93, 15.52, 1.66
door 104, smart agent 41, -46.91, -32.60, 1.66
door 95, smart agent 32, -43.93, 15.52, 1.66
door 94, smart agent 31, -34.93, 15.52, 1.66
door 93, smart agent 30, -25.93, 15.52, 1.66
door 92, smart agent 29, -16.93, 15.52, 1.66
door 88, smart agent 26, 31.05, 15.52, 1.68
door 87, smart agent 25, 40.05, 15.52, 1.68
door 86, smart agent 24, 49.05, 15.52, 1.68
door 85, smart agent 23, 58.05, 15.52, 1.68
door 91, smart agent 28, -3.49, 19.96, 1.68
door 98, smart agent 35, -63.47, -24.04, 1.72
door 99, smart agent 36, -63.47, -17.04, 1.72
door 101, smart agent 38, -63.47, -3.04, 1.72
door 102, smart agent 39, -63.47, 3.96, 1.72
door 100, smart agent 37, -63.47, -10.04, 1.72
door 97, smart agent 34, -63.47, 10.96, 1.72
door 80, smart agent 18, 58.05, 12.40, 1.74
door 81, smart agent 19, 49.05, 12.40, 1.74
door 82, smart agent 20, 40.05, 12.40, 1.74
door 83, smart agent 21, 31.05, 12.40, 1.74
door 103, smart agent 40, -58.91, -32.60, 1.88
door 109, smart agent 44, -22.91, -32.60, 1.88
door 79, smart agent 17, 64.05, 12.40, 1.88
door 105, smart agent 42, -34.91, -32.60, 1.92
door 107, smart agent 43, -25.91, -32.60, 1.94
door 89, smart agent 27, 25.05, 15.52, 1.96
door 84, smart agent 22, 64.05, 15.52, 2.10
door 20, smart agent 12, -15.47, -19.04, 2.12
door 4, smart agent 3, 25.05, 12.40, 2.20
door 18, smart agent 11, -25.91, -17.60, 2.24
door 8, smart agent 4, -70.91, 15.40, 2.32
door 6, smart agent 5, -61.91, -32.60, 2.32
door 1, smart agent 28, -3.37, 19.96, 2.40
door 68, smart agent 30, -25.93, 15.40, 2.42
door 67, smart agent 31, -34.93, 15.40, 2.42
door 1, smart agent 1, -3.37, 19.96, 2.58
door 36, smart agent 22, 64.05, 15.40, 2.60
door 13, smart agent 7, 14.61, -1.04, 2.68
door 8, smart agent 4, -70.91, 15.40, 2.70
door 36, smart agent 17, 64.05, 15.40, 2.70
door 68, smart agent 30, -25.93, 15.40, 2.84
door 67, smart agent 31, -34.93, 15.40, 2.84
exit 1, smart agent 2, 13.05, 42.40, 2.90
door 1, smart agent 28, -3.37, 19.96, 2.94
door 36, smart agent 22, 64.05, 15.40, 2.96
door 8, smart agent 4, -70.91, 15.40, 3.02
door 91, smart agent 1, -3.49, 19.96, 3.10
door 15, smart agent 8, 14.61, -16.04, 3.12
door 23, smart agent 13, -15.47, -7.04, 3.18
door 67, smart agent 31, -34.93, 15.40, 3.22
door 68, smart agent 30, -25.93, 15.40, 3.22
door 8, smart agent 4, -70.91, 15.40, 3.26
door 36, smart agent 22, 64.05, 15.40, 3.34
door 91, smart agent 28, -3.49, 19.96, 3.36
door 84, smart agent 17, 64.05, 15.52, 3.48
door 94, smart agent 31, -34.93, 15.52, 3.48
door 93, smart agent 30, -25.93, 15.52, 3.48
door 5, smart agent 4, -70.91, 15.52, 3.50
door 91, smart agent 1, -3.49, 19.96, 3.58
door 28, smart agent 15, 7.05, -8.60, 3.58
door 15, smart agent 8, 14.61, -16.04, 3.66
door 36, smart agent 18, 64.05, 15.40, 3.78
door 94, smart agent 31, -34.93, 15.52, 3.80
door 93, smart agent 30, -25.93, 15.52, 3.80
door 60, smart agent 41, -40.91, -32.48, 3.80
door 91, smart agent 28, -3.49, 19.96, 3.80
door 5, smart agent 4, -70.91, 15.52, 3.82
door 33, smart agent 16, 8.49, 4.96, 3.90
door 36, smart agent 22, 64.05, 15.40, 4.06
door 36, smart agent 23, 64.05, 15.40, 4.08
door 84, smart agent 17, 64.05, 15.52, 4.20
door 94, smart agent 31, -34.93, 15.52, 4.20
door 93, smart agent 30, -25.93, 15.52, 4.20
door 5, smart agent 4, -70.91, 15.52, 4.22
door 91, smart agent 28, -3.49, 19.96, 4.24
door 1, smart agent 1, -3.37, 19.96, 4.30
door 34, smart agent 7, 14.49, 4.96, 4.40
door 60, smart agent 41, -40.91, -32.48, 4.54
door 36, smart agent 23, 64.05, 15.40, 4.58
door 91, smart agent 28, -3.49, 19.96, 4.58
door 5, smart agent 4, -70.91, 15.52, 4.60
door 84, smart agent 22, 64.05, 15.52, 4.60
door 38, smart agent 24, 58.05, 15.40, 4.60
door 93, smart agent 30, -25.93, 15.52, 4.60
door 1, smart agent 1, -3.37, 19.96, 4.64
door 94, smart agent 31, -34.93, 15.52, 4.66
door 29, smart agent 15, 7.05, -8.48, 4.68
door 17, smart agent 10, -33.47, -28.04, 4.76
door 36, smart agent 17, 64.05, 15.40, 4.80
door 66, smart agent 33, -43.93, 15.40, 4.84
door 38, smart agent 19, 58.05, 15.40, 4.88
door 67, smart agent 32, -34.93, 15.40, 4.94
door 36, smart agent 18, 64.05, 15.40, 5.12
module node 31, smart agent 16, 11.55, 7.96, 5.14
door 84, smart agent 18, 64.05, 15.52, 5.14
door 8, smart agent 4, -70.91, 15.40, 5.26
door 68, smart agent 30, -25.93, 15.40, 5.26
door 84, smart agent 23, 64.05, 15.52, 5.28
door 1, smart agent 28, -3.37, 19.96, 5.28
door 38, smart agent 19, 58.05, 15.40, 5.30
door 11, smart agent 6, 19.09, -32.60, 5.32
door 67, smart agent 31, -34.93, 15.40, 5.34
door 66, smart agent 33, -43.93, 15.40, 5.44
door 1, smart agent 1, -3.37, 19.96, 5.50
door 36, smart agent 17, 64.05, 15.40, 5.50
door 84, smart agent 22, 64.05, 15.52, 5.56
door 24, smart agent 12, -7.91, -8.60, 5.58
door 38, smart agent 24, 58.05, 15.40, 5.62
door 8, smart agent 4, -70.91, 15.40, 5.62
door 68, smart agent 30, -25.93, 15.40, 5.66
door 85, smart agent 19, 58.05, 15.52, 5.72
door 1, smart agent 28, -3.37, 19.96, 5.76
door 95, smart agent 33, -43.93, 15.52, 5.78
door 67, smart agent 32, -34.93, 15.40, 5.86
door 84, smart agent 23, 64.05, 15.52, 5.88
door 27, smart agent 14, 8.49, -28.04, 5.90
door 67, smart agent 31, -34.93, 15.40, 5.92
door 8, smart agent 4, -70.91, 15.40, 5.94
module node 30, smart agent 16, 11.55, 10.96, 5.96
room node 3, smart agent 7, 19.68, 9.14, 5.98
door 91, smart agent 1, -3.49, 19.96, 6.06
door 68, smart agent 30, -25.93, 15.40, 6.08
door 84, smart agent 17, 64.05, 15.52, 6.08
door 36, smart agent 22, 64.05, 15.40, 6.08
door 85, smart agent 19, 58.05, 15.52, 6.14
door 11, smart agent 6, 19.09, -32.60, 6.16
door 1, smart agent 28, -3.37, 19.96, 6.16
door 8, smart agent 4, -70.91, 15.40, 6.18
door 36, smart agent 23, 64.05, 15.40, 6.28
door 67, smart agent 31, -34.93, 15.40, 6.30
door 5, smart agent 4, -70.91, 15.52, 6.42
door 23, smart agent 11, -15.47, -7.04, 6.44
door 84, smart agent 18, 64.05, 15.52, 6.44
door 85, smart agent 24, 58.05, 15.52, 6.48
door 93, smart agent 30, -25.93, 15.52, 6.56
door 36, smart agent 22, 64.05, 15.40, 6.60
door 49, smart agent 29, -1.93, 12.52, 6.66
door 94, smart agent 32, -34.93, 15.52, 6.68
door 91, smart agent 28, -3.49, 19.96, 6.72
door 84, smart agent 17, 64.05, 15.52, 6.72
door 85, smart agent 19, 58.05, 15.52, 6.72
room node 11, smart agent 10, -28.91, -23.54, 6.74
door 5, smart agent 4, -70.91, 15.52, 6.74
door 95, smart agent 33, -43.93, 15.52, 6.76
door 94, smart agent 31, -34.93, 15.52, 6.78
door 36, smart agent 23, 64.05, 15.40, 6.84
door 105, smart agent 41, -34.91, -32.60, 6.88
door 91, smart agent 1, -3.49, 19.96, 6.96
door 93, smart agent 30, -25.93, 15.52, 6.96
door 36, smart agent 18, 64.05, 15.40, 7.00
door 94, smart agent 32, -34.93, 15.52, 7.02
door 5, smart agent 4, -70.91, 15.52, 7.04
door 38, smart agent 19, 58.05, 15.40, 7.10
door 36, smart agent 22, 64.05, 15.40, 7.22
door 66, smart agent 33, -43.93, 15.40, 7.24
door 84, smart agent 17, 64.05, 15.52, 7.28
door 85, smart agent 24, 58.05, 15.52, 7.30
door 94, smart agent 31, -34.93, 15.52, 7.30
door 91, smart agent 28, -3.49, 19.96, 7.38
door 93, smart agent 30, -25.93, 15.52, 7.38
door 36, smart agent 18, 64.05, 15.40, 7.42
exit 5, smart agent 6, 20.53, -31.04, 7.42
door 5, smart agent 4, -70.91, 15.52, 7.42
door 38, smart agent 25, 58.05, 15.40, 7.50
door 94, smart agent 32, -34.93, 15.52, 7.56
door 66, smart agent 33, -43.93, 15.40, 7.58
door 1, smart agent 1, -3.37, 19.96, 7.58
door 105, smart agent 41, -34.91, -32.60, 7.60
door 36, smart agent 17, 64.05, 15.40, 7.70
door 91, smart agent 28, -3.49, 19.96, 7.74
door 38, smart agent 20, 58.05, 15.40, 7.74
door 94, smart agent 31, -34.93, 15.52, 7.74
door 84, smart agent 22, 64.05, 15.52, 7.78
door 4, smart agent 7, 25.05, 12.40, 7.80
door 93, smart agent 30, -25.93, 15.52, 7.82
door 38, smart agent 24, 58.05, 15.40, 7.84
door 5, smart agent 4, -70.91, 15.52, 7.84
door 66, smart agent 33, -43.93, 15.40, 7.92
module node 104, smart agent 14, 11.55, -22.04, 7.94
door 36, smart agent 23, 64.05, 15.40, 7.98
door 94, smart agent 32, -34.93, 15.52, 8.04
door 1, smart agent 1, -3.37, 19.96, 8.12
