Agent Name, Door Name, Position-X, Position-Z, Time (Seconds)
smart agent 7, door 9, 0.87, 3.89, 1.12
smart agent 1, door 11, -0.38, 7.20, 1.16
smart agent 1, door 12, -0.38, 7.07, 1.18
smart agent 8, door 14, 0.19, 0.20, 1.24
smart agent 1, door 12, -0.38, 7.07, 1.24
smart agent 8, door 13, 0.06, 0.20, 1.26
smart agent 2, door 16, -0.50, -2.61, 1.48
smart agent 5, door 19, 13.00, 3.89, 1.66
smart agent 6, door 20, 10.00, 3.89, 1.68
smart agent 9, door 21, -4.00, 0.77, 1.74
smart agent 10, door 22, -13.00, 0.77, 1.76
smart agent 12, door 23, -4.00, 3.89, 1.94
smart agent 2, door 15, -0.50, -2.48, 2.26
smart agent 11, door 24, -13.00, 3.89, 2.46
smart agent 4, door 17, 13.00, 0.77, 2.60
smart agent 3, door 18, 10.00, 0.77, 2.64
smart agent 2, door 15, -0.50, -2.48, 2.74
smart agent 2, door 13, 0.06, 0.20, 3.78
