Agent Name, Node Name, Position-X, Position-Z, Time (Seconds)
SmartAgent3D(Clone), room node 12, -16.00, 8.33, 0.00
SmartAgent3D(Clone), room node 10, -16.00, -3.67, 0.00
SmartAgent3D(Clone), room node 11, -7.00, 8.33, 0.00
SmartAgent3D(Clone), room node 9, -7.00, -3.67, 0.00
SmartAgent3D(Clone), room node 4, -1.19, -6.09, 0.00
SmartAgent3D(Clone), room node 1, -1.14, 10.71, 0.00
SmartAgent3D(Clone), room node 3, 1.22, -1.66, 0.00
SmartAgent3D(Clone), room node 2, 1.43, 6.73, 0.00
SmartAgent3D(Clone), room node 6, 7.00, -3.67, 0.00
SmartAgent3D(Clone), room node 8, 7.00, 8.33, 0.00
SmartAgent3D(Clone), room node 5, 16.00, -3.67, 0.00
SmartAgent3D(Clone), room node 7, 16.00, 8.33, 0.00
SmartAgent3D(Clone), module node 7, -4.00, 2.33, 2.32
SmartAgent3D(Clone), module node 4, 13.00, 2.33, 2.34
SmartAgent3D(Clone), module node 10, -13.00, 2.33, 2.36
SmartAgent3D(Clone), module node 7, -4.00, 2.33, 2.38
SmartAgent3D(Clone), module node 10, -13.00, 2.33, 2.42
SmartAgent3D(Clone), module node 1, 4.00, 2.33, 2.42
SmartAgent3D(Clone), module node 4, 13.00, 2.33, 2.44
SmartAgent3D(Clone), module node 9, -7.00, 2.33, 3.24
SmartAgent3D(Clone), module node 9, -7.00, 2.33, 3.32
SmartAgent3D(Clone), module node 8, -10.00, 2.33, 4.12
SmartAgent3D(Clone), module node 10, -13.00, 2.33, 5.00
