Object Name, Agent Name, Position-X, Position-Z, Time (Seconds)
room node 12, smart agent 12, -16.00, 8.33, 0.00
room node 10, smart agent 10, -16.00, -3.67, 0.00
room node 11, smart agent 11, -7.00, 8.33, 0.00
room node 9, smart agent 9, -7.00, -3.67, 0.00
room node 4, smart agent 4, -1.19, -6.09, 0.00
room node 1, smart agent 1, -1.14, 10.71, 0.00
room node 3, smart agent 3, 1.22, -1.66, 0.00
room node 2, smart agent 2, 1.43, 6.73, 0.00
room node 6, smart agent 6, 7.00, -3.67, 0.00
room node 8, smart agent 8, 7.00, 8.33, 0.00
room node 5, smart agent 5, 16.00, -3.67, 0.00
room node 7, smart agent 7, 16.00, 8.33, 0.00
door 14, smart agent 3, 0.19, 0.20, 1.80
door 14, smart agent 3, 0.19, 0.20, 1.92
door 13, smart agent 3, 0.06, 0.20, 1.98
door 13, smart agent 3, 0.06, 0.20, 2.02
door 9, smart agent 2, 0.87, 3.89, 2.38
door 10, smart agent 2, 0.87, 3.77, 2.50
door 10, smart agent 2, 0.87, 3.77, 2.60
door 16, smart agent 4, -0.50, -2.61, 2.92
door 11, smart agent 1, -0.38, 7.20, 2.94
door 15, smart agent 4, -0.50, -2.48, 3.04
door 12, smart agent 1, -0.38, 7.07, 3.06
door 15, smart agent 4, -0.50, -2.48, 3.14
door 12, smart agent 1, -0.38, 7.07, 3.16
door 24, smart agent 12, -13.00, 3.89, 4.32
door 22, smart agent 10, -13.00, 0.77, 4.32
door 23, smart agent 11, -4.00, 3.89, 4.32
door 21, smart agent 9, -4.00, 0.77, 4.32
door 20, smart agent 8, 10.00, 3.89, 4.32
door 18, smart agent 6, 10.00, 0.77, 4.32
door 17, smart agent 5, 13.00, 0.77, 4.32
door 19, smart agent 7, 13.00, 3.89, 4.32
door 8, smart agent 10, -13.00, 0.89, 4.44
door 6, smart agent 9, -4.00, 0.89, 4.44
door 2, smart agent 6, 10.00, 0.89, 4.44
door 3, smart agent 7, 13.00, 3.77, 4.44
door 7, smart agent 12, -13.00, 3.77, 4.46
door 5, smart agent 11, -4.00, 3.77, 4.46
door 1, smart agent 8, 10.00, 3.77, 4.46
door 4, smart agent 5, 13.00, 0.89, 4.46
door 1, smart agent 8, 10.00, 3.77, 4.54
door 7, smart agent 12, -13.00, 3.77, 4.54
door 8, smart agent 10, -13.00, 0.89, 4.54
door 4, smart agent 5, 13.00, 0.89, 4.54
door 3, smart agent 7, 13.00, 3.77, 4.54
door 2, smart agent 6, 10.00, 0.89, 4.54
door 5, smart agent 11, -4.00, 3.77, 4.54
door 6, smart agent 9, -4.00, 0.89, 4.54
door 15, smart agent 3, -0.50, -2.48, 5.18
door 16, smart agent 3, -0.50, -2.61, 5.32
door 16, smart agent 3, -0.50, -2.61, 5.40
door 13, smart agent 4, 0.06, 0.20, 6.28
door 14, smart agent 4, 0.19, 0.20, 6.40
