Object Name, First Visit, Last Visit, Total # of Visits
module node 1, 0.00, 0.00, 0
module node 2, 0.00, 0.00, 0
module node 3, 0.00, 0.00, 0
module node 4, 0.00, 0.00, 0
module node 5, 0.00, 0.00, 0
module node 6, 0.00, 0.00, 0
module node 7, 0.00, 0.00, 0
module node 8, 0.00, 0.00, 0
module node 9, 0.00, 0.00, 0
module node 10, 0.00, 0.00, 0
module node 11, 0.00, 0.00, 0
module node 12, 0.00, 0.00, 0
module node 13, 0.00, 0.00, 0
room node 1, 0.00, 0.00, 1
room node 2, 0.00, 0.00, 1
room node 3, 0.00, 0.00, 1
room node 4, 0.00, 0.00, 1
room node 5, 0.00, 0.00, 5
room node 6, 0.00, 0.00, 5
room node 7, 0.00, 0.00, 5
room node 8, 0.00, 0.00, 5
room node 9, 0.00, 0.00, 5
room node 10, 0.00, 0.00, 5
room node 11, 0.00, 0.00, 5
room node 12, 0.00, 0.00, 5
door 1, 4.48, 4.54, 10
door 2, 4.44, 4.44, 5
door 3, 4.44, 4.44, 5
door 4, 4.46, 4.54, 10
door 5, 4.48, 4.54, 10
door 6, 4.44, 4.44, 5
door 7, 4.48, 4.54, 10
door 8, 4.44, 4.44, 5
door 9, 2.38, 2.38, 1
door 10, 2.50, 3.22, 3
door 11, 2.94, 3.22, 2
door 12, 3.06, 3.22, 2
door 13, 1.98, 6.42, 2
door 14, 1.80, 6.64, 3
door 15, 3.04, 5.30, 3
door 16, 2.92, 5.52, 4
door 17, 4.32, 4.32, 5
door 18, 4.32, 4.32, 5
door 19, 4.32, 4.32, 5
door 20, 4.32, 4.32, 5
door 21, 4.32, 4.32, 5
door 22, 4.32, 4.32, 5
door 23, 4.32, 4.32, 5
door 24, 4.32, 4.32, 5
exit 1, 11.04, 13.06, 10
exit 2, 10.54, 18.68, 11
exit 3, 10.56, 24.80, 12
exit 4, 10.90, 21.96, 11
