Agent Name, Door Name, Position-X, Position-Z, Time (Seconds)
SmartAgent3D(Clone), door 28, 0.19-X, 0.2-Z, 1.02 seconds
SmartAgent3D(Clone), door 27, 0.06-X, 0.2-Z, 1.04 seconds
SmartAgent3D(Clone), door 26, -0.38-X, 6.77-Z, 1.34 seconds
SmartAgent3D(Clone), door 30, -0.5-X, -2.61-Z, 1.36 seconds
SmartAgent3D(Clone), door 25, -0.38-X, 6.89-Z, 1.5 seconds
SmartAgent3D(Clone), door 14, -13-X, -26.23-Z, 1.88 seconds
SmartAgent3D(Clone), door 37, -4-X, 3.89-Z, 1.88 seconds
SmartAgent3D(Clone), door 11, 13-X, -23.11-Z, 1.88 seconds
SmartAgent3D(Clone), door 35, -4-X, 0.77-Z, 1.88 seconds
SmartAgent3D(Clone), door 10, 10-X, -26.23-Z, 1.88 seconds
SmartAgent3D(Clone), door 16, -13-X, -23.11-Z, 1.88 seconds
SmartAgent3D(Clone), door 36, -13-X, 0.77-Z, 1.88 seconds
SmartAgent3D(Clone), door 34, 10-X, 3.89-Z, 1.88 seconds
SmartAgent3D(Clone), door 31, 13-X, 0.77-Z, 1.88 seconds
SmartAgent3D(Clone), door 38, -13-X, 3.89-Z, 1.9 seconds
SmartAgent3D(Clone), door 33, 13-X, 3.89-Z, 1.9 seconds
SmartAgent3D(Clone), door 9, 13-X, -26.23-Z, 1.9 seconds
SmartAgent3D(Clone), door 12, 10-X, -23.11-Z, 1.9 seconds
SmartAgent3D(Clone), door 32, 10-X, 0.77-Z, 1.92 seconds
SmartAgent3D(Clone), door 13, -4-X, -26.23-Z, 1.92 seconds
SmartAgent3D(Clone), door 15, -4-X, -23.11-Z, 1.94 seconds
SmartAgent3D(Clone), door 25, -0.38-X, 6.89-Z, 2.02 seconds
SmartAgent3D(Clone), door 29, -0.5-X, -2.48-Z, 2.14 seconds
SmartAgent3D(Clone), door 26, -0.38-X, 6.77-Z, 2.26 seconds
SmartAgent3D(Clone), door 29, -0.5-X, -2.48-Z, 2.3 seconds
SmartAgent3D(Clone), door 29, -0.5-X, -2.48-Z, 2.34 seconds
SmartAgent3D(Clone), door 25, -0.38-X, 6.89-Z, 2.38 seconds
SmartAgent3D(Clone), door 30, -0.5-X, -2.61-Z, 2.42 seconds
SmartAgent3D(Clone), door 25, -0.38-X, 6.89-Z, 2.48 seconds
SmartAgent3D(Clone), door 25, -0.38-X, 6.89-Z, 2.52 seconds
SmartAgent3D(Clone), door 26, -0.38-X, 6.77-Z, 2.56 seconds
SmartAgent3D(Clone), door 27, 0.06-X, 0.2-Z, 3.7 seconds
