Agent Name, Node Name, Position-X, Position-Z, Time (Seconds)
SmartAgent3D(Clone), room node 22, -16-X, 8.33-Z, 0 seconds
SmartAgent3D(Clone), room node 20, -16-X, -3.67-Z, 0 seconds
SmartAgent3D(Clone), room node 10, -16-X, -18.67-Z, 0 seconds
SmartAgent3D(Clone), room node 8, -16-X, -30.67-Z, 0 seconds
SmartAgent3D(Clone), room node 21, -7-X, 8.33-Z, 0 seconds
SmartAgent3D(Clone), room node 19, -7-X, -3.67-Z, 0 seconds
SmartAgent3D(Clone), room node 9, -7-X, -18.67-Z, 0 seconds
SmartAgent3D(Clone), room node 7, -7-X, -30.67-Z, 0 seconds
SmartAgent3D(Clone), room node 14, -1.19-X, -6.09-Z, 0 seconds
SmartAgent3D(Clone), room node 11, -1.14-X, 10.71-Z, 0 seconds
SmartAgent3D(Clone), room node 1, -0.06-X, -18.74-Z, 0 seconds
SmartAgent3D(Clone), room node 2, 0.06-X, -31.68-Z, 0 seconds
SmartAgent3D(Clone), room node 13, 1.22-X, -1.66-Z, 0 seconds
SmartAgent3D(Clone), room node 12, 1.43-X, 6.73-Z, 0 seconds
SmartAgent3D(Clone), room node 4, 7-X, -30.67-Z, 0 seconds
SmartAgent3D(Clone), room node 6, 7-X, -18.67-Z, 0 seconds
SmartAgent3D(Clone), room node 16, 7-X, -3.67-Z, 0 seconds
SmartAgent3D(Clone), room node 18, 7-X, 8.33-Z, 0 seconds
SmartAgent3D(Clone), room node 3, 16-X, -30.67-Z, 0 seconds
SmartAgent3D(Clone), room node 5, 16-X, -18.67-Z, 0 seconds
SmartAgent3D(Clone), room node 15, 16-X, -3.67-Z, 0 seconds
SmartAgent3D(Clone), room node 17, 16-X, 8.33-Z, 0 seconds
SmartAgent3D(Clone), module node 17, 13-X, 2.33-Z, 2.34 seconds
SmartAgent3D(Clone), module node 23, -13-X, 2.33-Z, 2.34 seconds
SmartAgent3D(Clone), module node 20, -4-X, 2.33-Z, 2.38 seconds
SmartAgent3D(Clone), module node 17, 13-X, 2.33-Z, 2.4 seconds
SmartAgent3D(Clone), module node 23, -13-X, 2.33-Z, 2.44 seconds
SmartAgent3D(Clone), module node 3, 10-X, -24.67-Z, 2.68 seconds
SmartAgent3D(Clone), module node 10, -13-X, -24.67-Z, 2.68 seconds
SmartAgent3D(Clone), module node 4, 13-X, -24.67-Z, 2.7 seconds
SmartAgent3D(Clone), module node 7, -4-X, -24.67-Z, 2.7 seconds
SmartAgent3D(Clone), module node 7, -4-X, -24.67-Z, 2.72 seconds
SmartAgent3D(Clone), module node 22, -7-X, 2.33-Z, 3.3 seconds
SmartAgent3D(Clone), module node 7, -4-X, -24.67-Z, 3.34 seconds
SmartAgent3D(Clone), module node 10, -13-X, -24.67-Z, 3.42 seconds
SmartAgent3D(Clone), module node 4, 13-X, -24.67-Z, 3.56 seconds
SmartAgent3D(Clone), module node 3, 10-X, -24.67-Z, 3.58 seconds
SmartAgent3D(Clone), module node 7, -4-X, -24.67-Z, 3.62 seconds
SmartAgent3D(Clone), module node 10, -13-X, -24.67-Z, 3.66 seconds
SmartAgent3D(Clone), module node 3, 10-X, -24.67-Z, 3.68 seconds
SmartAgent3D(Clone), module node 4, 13-X, -24.67-Z, 3.72 seconds
SmartAgent3D(Clone), module node 26, -0.02-X, 2.43-Z, 4.14 seconds
SmartAgent3D(Clone), module node 20, -4-X, 2.33-Z, 5.24 seconds
SmartAgent3D(Clone), module node 7, -4-X, -24.67-Z, 5.6 seconds
SmartAgent3D(Clone), module node 22, -7-X, 2.33-Z, 6.12 seconds
SmartAgent3D(Clone), module node 7, -4-X, -24.67-Z, 6.22 seconds
SmartAgent3D(Clone), module node 9, -7-X, -24.67-Z, 6.42 seconds
SmartAgent3D(Clone), module node 10, -13-X, -24.67-Z, 6.44 seconds
SmartAgent3D(Clone), module node 10, -13-X, -24.67-Z, 6.76 seconds
SmartAgent3D(Clone), module node 21, -10-X, 2.33-Z, 6.98 seconds
SmartAgent3D(Clone), module node 7, -4-X, -24.67-Z, 7.02 seconds
SmartAgent3D(Clone), module node 8, -10-X, -24.67-Z, 7.24 seconds
SmartAgent3D(Clone), module node 8, -10-X, -24.67-Z, 7.46 seconds
SmartAgent3D(Clone), module node 9, -7-X, -24.67-Z, 7.74 seconds
SmartAgent3D(Clone), module node 23, -13-X, 2.33-Z, 7.88 seconds
