Object Name, First Visit, Last Visit, Total # of Visits
module node 1, 13.44, 17.58, 4
module node 2, 12.58, 16.72, 4
module node 3, 9.82, 15.88, 4
module node 4, 2.72, 6.24, 5
module node 5, 0.00, 0.00, 0
module node 6, 0.00, 0.00, 0
module node 7, 2.70, 16.58, 5
module node 8, 7.04, 14.80, 3
module node 9, 6.56, 6.56, 1
module node 10, 2.70, 12.96, 5
module node 11, 0.00, 0.00, 0
module node 12, 0.00, 0.00, 0
module node 13, 0.00, 0.00, 0
module node 14, 0.00, 0.00, 0
module node 15, 0.00, 0.00, 0
module node 16, 0.00, 0.00, 0
module node 17, 2.36, 2.48, 2
module node 18, 0.00, 0.00, 0
module node 19, 0.00, 0.00, 0
module node 20, 2.42, 25.62, 11
module node 21, 4.24, 27.36, 7
module node 22, 3.34, 26.48, 10
module node 23, 2.36, 24.52, 4
module node 24, 0.00, 0.00, 0
module node 25, 0.00, 0.00, 0
module node 26, 20.48, 23.50, 2
room node 1, 0.00, 18.94, 5
room node 2, 0.00, 0.00, 1
room node 3, 0.00, 0.00, 1
room node 4, 0.00, 0.00, 1
room node 5, 0.00, 0.00, 1
room node 6, 0.00, 0.00, 1
room node 7, 0.00, 0.00, 1
room node 8, 0.00, 0.00, 1
room node 9, 0.00, 0.00, 1
room node 10, 0.00, 0.00, 1
room node 11, 0.00, 0.00, 1
room node 12, 0.00, 0.00, 1
room node 13, 0.00, 0.00, 1
room node 14, 0.00, 0.00, 1
room node 15, 0.00, 0.00, 1
room node 16, 0.00, 0.00, 1
room node 17, 0.00, 0.00, 1
room node 18, 0.00, 0.00, 1
room node 19, 0.00, 0.00, 1
room node 20, 0.00, 0.00, 1
room node 21, 0.00, 0.00, 1
room node 22, 0.00, 0.00, 1
door 1, 2.64, 11.18, 6
door 2, 2.66, 14.10, 7
door 3, 2.70, 6.72, 6
door 4, 2.70, 6.48, 6
door 5, 2.68, 9.50, 3
door 6, 4.10, 11.44, 3
door 7, 2.70, 13.48, 4
door 8, 2.68, 9.04, 6
door 9, 1.92, 8.08, 9
door 10, 1.90, 15.36, 12
door 11, 1.92, 8.30, 7
door 12, 1.90, 13.16, 15
door 13, 1.88, 12.76, 6
door 14, 1.88, 10.42, 9
door 15, 1.88, 10.70, 3
door 16, 1.90, 12.64, 7
door 17, 0.00, 0.00, 0
door 18, 0.00, 0.00, 0
door 19, 0.00, 0.00, 0
door 20, 0.00, 0.00, 0
door 21, 0.00, 0.00, 0
door 22, 0.00, 0.00, 0
door 23, 0.00, 0.00, 0
door 24, 0.00, 0.00, 0
door 25, 1.54, 23.36, 36
door 26, 1.38, 23.40, 20
door 27, 1.04, 3.70, 2
door 28, 1.02, 1.02, 1
door 29, 2.16, 2.34, 3
door 30, 1.36, 2.42, 2
door 31, 1.90, 1.90, 1
door 32, 1.90, 1.90, 1
door 33, 1.90, 1.90, 1
door 34, 1.90, 1.90, 1
door 35, 1.90, 1.90, 1
door 36, 1.88, 1.88, 1
door 37, 1.90, 1.90, 1
door 38, 1.90, 1.90, 1
exit 1, 4.62, 4.92, 2
exit 2, 4.68, 4.98, 2
exit 3, 4.60, 26.82, 6
exit 4, 4.72, 30.36, 12
