Object Name, Agent Name, Position-X, Position-Z, Time (Seconds)
room node 22, smart agent 22, -16.00, 8.33, 0.00
room node 20, smart agent 20, -16.00, -3.67, 0.00
room node 10, smart agent 10, -15.89, -18.99, 0.00
room node 8, smart agent 8, -15.89, -30.99, 0.00
room node 21, smart agent 21, -7.00, 8.33, 0.00
room node 19, smart agent 19, -7.00, -3.67, 0.00
room node 9, smart agent 9, -6.89, -18.99, 0.00
room node 7, smart agent 7, -6.89, -30.99, 0.00
room node 14, smart agent 14, -1.19, -6.09, 0.00
room node 11, smart agent 11, -1.14, 10.71, 0.00
room node 1, smart agent 1, 0.05, -19.06, 0.00
room node 2, smart agent 2, 0.17, -32.00, 0.00
room node 13, smart agent 13, 1.22, -1.66, 0.00
room node 12, smart agent 12, 1.43, 6.73, 0.00
room node 16, smart agent 16, 7.00, -3.67, 0.00
room node 18, smart agent 18, 7.00, 8.33, 0.00
room node 4, smart agent 4, 7.11, -30.99, 0.00
room node 6, smart agent 6, 7.11, -18.99, 0.00
room node 15, smart agent 15, 16.00, -3.67, 0.00
room node 17, smart agent 17, 16.00, 8.33, 0.00
room node 3, smart agent 3, 16.11, -30.99, 0.00
room node 5, smart agent 5, 16.11, -18.99, 0.00
stair 1:F2, smart agent 1, 1.28, -17.07, 0.94
stair 1:F1, smart agent 1, 1.22, 4.24, 0.94
door 28, smart agent 13, 0.19, 0.20, 1.02
door 27, smart agent 13, 0.06, 0.20, 1.04
door 26, smart agent 12, -0.38, 6.77, 1.34
door 30, smart agent 14, -0.50, -2.61, 1.36
door 25, smart agent 11, -0.38, 6.89, 1.54
door 14, smart agent 8, -12.89, -26.55, 1.88
door 15, smart agent 9, -3.89, -23.43, 1.88
door 32, smart agent 16, 10.00, 0.77, 1.88
door 36, smart agent 20, -13.00, 0.77, 1.88
door 16, smart agent 10, -12.89, -23.43, 1.88
door 37, smart agent 21, -4.00, 3.89, 1.88
door 13, smart agent 7, -3.89, -26.55, 1.88
door 35, smart agent 19, -4.00, 0.77, 1.90
door 10, smart agent 4, 10.11, -26.55, 1.90
door 11, smart agent 5, 13.11, -23.43, 1.90
door 33, smart agent 17, 13.00, 3.89, 1.90
door 12, smart agent 6, 10.11, -23.43, 1.90
door 34, smart agent 18, 10.00, 3.89, 1.90
door 38, smart agent 22, -13.00, 3.89, 1.90
door 31, smart agent 15, 13.00, 0.77, 1.92
door 9, smart agent 3, 13.11, -26.55, 1.92
door 25, smart agent 12, -0.38, 6.89, 2.08
door 29, smart agent 14, -0.50, -2.48, 2.14
door 29, smart agent 14, -0.50, -2.48, 2.30
door 26, smart agent 11, -0.38, 6.77, 2.30
module node 23, smart agent 20, -13.00, 2.33, 2.34
door 29, smart agent 14, -0.50, -2.48, 2.34
module node 17, smart agent 15, 13.00, 2.33, 2.36
door 26, smart agent 1, -0.38, 6.77, 2.36
module node 20, smart agent 21, -4.00, 2.33, 2.38
module node 17, smart agent 17, 13.00, 2.33, 2.40
module node 20, smart agent 19, -4.00, 2.33, 2.42
module node 23, smart agent 22, -13.00, 2.33, 2.42
door 30, smart agent 14, -0.50, -2.61, 2.42
door 2, smart agent 4, 10.11, -26.43, 2.64
door 3, smart agent 5, 13.11, -23.55, 2.66
door 7, smart agent 10, -12.89, -23.55, 2.66
door 1, smart agent 6, 10.11, -23.55, 2.66
door 4, smart agent 3, 13.11, -26.43, 2.68
door 8, smart agent 8, -12.89, -26.43, 2.68
door 5, smart agent 9, -3.89, -23.55, 2.68
module node 3, smart agent 6, 10.11, -24.99, 2.68
module node 10, smart agent 10, -12.89, -24.99, 2.68
module node 4, smart agent 3, 13.11, -24.99, 2.70
door 25, smart agent 12, -0.38, 6.89, 2.74
door 26, smart agent 12, -0.38, 6.77, 2.76
door 25, smart agent 1, -0.38, 6.89, 2.80
door 25, smart agent 1, -0.38, 6.89, 3.20
module node 22, smart agent 21, -7.00, 2.33, 3.32
module node 22, smart agent 19, -7.00, 2.33, 3.32
module node 7, smart agent 9, -3.89, -24.99, 3.40
module node 10, smart agent 8, -12.89, -24.99, 3.40
module node 4, smart agent 5, 13.11, -24.99, 3.52
module node 3, smart agent 4, 10.11, -24.99, 3.54
module node 4, smart agent 3, 13.11, -24.99, 3.62
module node 3, smart agent 6, 10.11, -24.99, 3.64
door 27, smart agent 14, 0.06, 0.20, 3.76
module node 10, smart agent 10, -12.89, -24.99, 3.80
door 6, smart agent 9, -3.89, -26.43, 3.90
door 7, smart agent 8, -12.89, -23.55, 3.90
door 25, smart agent 1, -0.38, 6.89, 3.98
door 4, smart agent 5, 13.11, -26.43, 4.00
door 1, smart agent 4, 10.11, -23.55, 4.02
door 3, smart agent 3, 13.11, -23.55, 4.06
door 8, smart agent 10, -12.89, -26.43, 4.12
room node 1, smart agent 7, 0.05, -19.06, 4.12
door 2, smart agent 6, 10.11, -26.43, 4.12
module node 21, smart agent 19, -10.00, 2.33, 4.20
door 6, smart agent 9, -3.89, -26.43, 4.36
door 7, smart agent 8, -12.89, -23.55, 4.38
door 4, smart agent 5, 13.11, -26.43, 4.50
door 1, smart agent 4, 10.11, -23.55, 4.54
stair 1:F2, smart agent 2, 1.28, -17.07, 4.56
stair 1:F1, smart agent 2, 1.22, 4.24, 4.56
stair 1:F2, smart agent 2, 1.28, -17.07, 4.56
stair 1:F1, smart agent 2, 1.22, 4.24, 4.56
exit 3, smart agent 20, -20.44, 1.45, 4.60
exit 1, smart agent 15, 20.44, 1.45, 4.62
exit 2, smart agent 17, 20.44, 3.20, 4.62
exit 4, smart agent 22, -20.44, 3.20, 4.66
door 6, smart agent 9, -3.89, -26.43, 4.72
stair 1:F2, smart agent 7, 1.28, -17.07, 4.74
stair 1:F1, smart agent 7, 1.22, 4.24, 4.74
door 7, smart agent 8, -12.89, -23.55, 4.76
door 9, smart agent 5, 13.11, -26.55, 4.86
door 11, smart agent 3, 13.11, -23.43, 4.86
module node 20, smart agent 11, -4.00, 2.33, 4.86
door 12, smart agent 4, 10.11, -23.43, 4.88
exit 1, smart agent 16, 20.44, 1.45, 4.90
door 10, smart agent 6, 10.11, -26.55, 4.90
door 14, smart agent 10, -12.89, -26.55, 4.90
exit 2, smart agent 18, 20.44, 3.20, 4.94
module node 23, smart agent 19, -13.00, 2.33, 5.08
door 12, smart agent 4, 10.11, -23.43, 5.20
door 11, smart agent 3, 13.11, -23.43, 5.28
door 9, smart agent 5, 13.11, -26.55, 5.28
door 14, smart agent 10, -12.89, -26.55, 5.32
door 10, smart agent 6, 10.11, -26.55, 5.32
door 26, smart agent 2, -0.38, 6.77, 5.38
door 16, smart agent 8, -12.89, -23.43, 5.46
door 13, smart agent 9, -3.89, -26.55, 5.56
door 9, smart agent 5, 13.11, -26.55, 5.58
door 12, smart agent 4, 10.11, -23.43, 5.62
door 11, smart agent 3, 13.11, -23.43, 5.64
door 10, smart agent 6, 10.11, -26.55, 5.68
door 26, smart agent 7, -0.38, 6.77, 5.72
module node 22, smart agent 11, -7.00, 2.33, 5.74
module node 10, smart agent 10, -12.89, -24.99, 5.84
door 16, smart agent 8, -12.89, -23.43, 5.84
door 9, smart agent 5, 13.11, -26.55, 5.98
door 12, smart agent 4, 10.11, -23.43, 6.02
door 16, smart agent 8, -12.89, -23.43, 6.16
module node 20, smart agent 1, -4.00, 2.33, 6.18
door 13, smart agent 9, -3.89, -26.55, 6.22
door 25, smart agent 2, -0.38, 6.89, 6.46
module node 7, smart agent 9, -3.89, -24.99, 6.54
door 25, smart agent 7, -0.38, 6.89, 6.62
module node 8, smart agent 10, -9.89, -24.99, 6.64
door 16, smart agent 8, -12.89, -23.43, 6.66
door 25, smart agent 2, -0.38, 6.89, 6.78
door 26, smart agent 2, -0.38, 6.77, 6.86
door 16, smart agent 8, -12.89, -23.43, 7.02
door 25, smart agent 7, -0.38, 6.89, 7.02
module node 22, smart agent 1, -7.00, 2.33, 7.04
door 25, smart agent 7, -0.38, 6.89, 7.14
exit 4, smart agent 21, -20.44, 3.20, 7.18
door 26, smart agent 7, -0.38, 6.77, 7.20
module node 10, smart agent 8, -12.89, -24.99, 7.22
door 4, smart agent 6, 13.11, -26.43, 7.30
exit 3, smart agent 13, -20.44, 1.45, 7.32
door 3, smart agent 4, 13.11, -23.55, 7.34
door 1, smart agent 3, 10.11, -23.55, 7.42
exit 3, smart agent 19, -20.44, 1.45, 7.42
door 2, smart agent 5, 10.11, -26.43, 7.44
door 12, smart agent 3, 10.11, -23.43, 7.44
module node 9, smart agent 9, -6.89, -24.99, 7.58
module node 21, smart agent 1, -10.00, 2.33, 7.92
door 4, smart agent 6, 13.11, -26.43, 7.98
door 3, smart agent 4, 13.11, -23.55, 8.02
module node 8, smart agent 8, -9.89, -24.99, 8.14
door 2, smart agent 5, 10.11, -26.43, 8.16
door 9, smart agent 6, 13.11, -26.55, 8.44
door 6, smart agent 10, -3.89, -26.43, 8.52
door 12, smart agent 3, 10.11, -23.43, 8.60
door 11, smart agent 4, 13.11, -23.43, 8.68
door 10, smart agent 5, 10.11, -26.55, 8.94
module node 20, smart agent 2, -4.00, 2.33, 9.02
door 9, smart agent 6, 13.11, -26.55, 9.02
door 11, smart agent 4, 13.11, -23.43, 9.12
door 12, smart agent 3, 10.11, -23.43, 9.26
door 10, smart agent 5, 10.11, -26.55, 9.34
door 9, smart agent 6, 13.11, -26.55, 9.42
module node 4, smart agent 4, 13.11, -24.99, 9.42
module node 20, smart agent 7, -4.00, 2.33, 9.42
door 7, smart agent 9, -12.89, -23.55, 9.44
exit 4, smart agent 12, -20.44, 3.20, 9.44
module node 3, smart agent 3, 10.11, -24.99, 9.60
exit 4, smart agent 11, -20.44, 3.20, 9.62
door 10, smart agent 5, 10.11, -26.55, 9.68
module node 4, smart agent 6, 13.11, -24.99, 9.88
module node 22, smart agent 2, -7.00, 2.33, 9.90
module node 3, smart agent 5, 10.11, -24.99, 9.92
exit 3, smart agent 14, -20.44, 1.45, 10.02
door 7, smart agent 9, -12.89, -23.55, 10.10
door 5, smart agent 8, -3.89, -23.55, 10.10
door 4, smart agent 4, 13.11, -26.43, 10.12
door 2, smart agent 3, 10.11, -26.43, 10.14
module node 22, smart agent 7, -7.00, 2.33, 10.28
door 1, smart agent 5, 10.11, -23.55, 10.36
door 3, smart agent 6, 13.11, -23.55, 10.38
door 5, smart agent 8, -3.89, -23.55, 10.62
door 16, smart agent 9, -12.89, -23.43, 10.76
module node 21, smart agent 2, -10.00, 2.33, 10.78
door 10, smart agent 3, 10.11, -26.55, 10.88
door 9, smart agent 4, 13.11, -26.55, 10.88
exit 4, smart agent 1, -20.44, 3.20, 10.94
door 16, smart agent 9, -12.89, -23.43, 11.10
door 12, smart agent 5, 10.11, -23.43, 11.14
module node 21, smart agent 7, -10.00, 2.33, 11.16
door 11, smart agent 6, 13.11, -23.43, 11.16
room node 1, smart agent 10, 0.05, -19.06, 11.16
door 15, smart agent 8, -3.89, -23.43, 11.22
door 10, smart agent 3, 10.11, -26.55, 11.32
door 9, smart agent 4, 13.11, -26.55, 11.32
door 16, smart agent 9, -12.89, -23.43, 11.44
door 12, smart agent 5, 10.11, -23.43, 11.56
door 11, smart agent 6, 13.11, -23.43, 11.58
module node 10, smart agent 9, -12.89, -24.99, 11.64
door 9, smart agent 4, 13.11, -26.55, 11.68
door 15, smart agent 8, -3.89, -23.43, 11.78
stair 1:F2, smart agent 10, 1.28, -17.07, 11.80
stair 1:F1, smart agent 10, 1.22, 4.24, 11.80
door 12, smart agent 5, 10.11, -23.43, 11.94
door 11, smart agent 6, 13.11, -23.43, 11.96
module node 7, smart agent 8, -3.89, -24.99, 12.06
door 8, smart agent 9, -12.89, -26.43, 12.14
module node 2, smart agent 3, 7.11, -24.99, 12.46
door 6, smart agent 8, -3.89, -26.43, 12.52
module node 3, smart agent 4, 10.11, -24.99, 12.62
door 26, smart agent 10, -0.38, 6.77, 12.74
door 14, smart agent 9, -12.89, -26.55, 12.90
door 13, smart agent 8, -3.89, -26.55, 13.28
door 14, smart agent 9, -12.89, -26.55, 13.30
module node 1, smart agent 3, 4.11, -24.99, 13.32
module node 2, smart agent 4, 7.11, -24.99, 13.40
module node 3, smart agent 6, 10.11, -24.99, 13.50
door 25, smart agent 10, -0.38, 6.89, 13.54
module node 2, smart agent 5, 7.11, -24.99, 13.56
door 14, smart agent 9, -12.89, -26.55, 13.66
door 13, smart agent 8, -3.89, -26.55, 13.70
exit 4, smart agent 2, -20.44, 3.20, 13.78
door 25, smart agent 10, -0.38, 6.89, 13.90
door 8, smart agent 9, -12.89, -26.43, 13.90
module node 10, smart agent 9, -12.89, -24.99, 13.92
door 13, smart agent 8, -3.89, -26.55, 14.06
