Object Name, Agent Name, Agent Weight, Position-X, Position-Z, Time (Seconds)
room node 31, smart agent 31, 1, -41.10, 3.77, 0.00
room node 32, smart agent 32, 1, -41.03, -0.63, 0.00
room node 1, smart agent 1, 1, -36.00, 9.00, 0.00
room node 15, smart agent 15, 1, -35.98, -6.25, 0.00
room node 30, smart agent 30, 1, -33.03, 1.47, 0.00
room node 2, smart agent 2, 1, -31.00, 9.00, 0.00
room node 16, smart agent 16, 1, -30.98, -6.25, 0.00
room node 3, smart agent 3, 1, -25.00, 9.00, 0.00
room node 17, smart agent 17, 1, -24.98, -6.25, 0.00
room node 4, smart agent 4, 1, -20.00, 9.00, 0.00
room node 18, smart agent 18, 1, -19.98, -6.25, 0.00
room node 29, smart agent 29, 1, -19.86, 1.47, 0.00
room node 5, smart agent 5, 1, -14.00, 9.00, 0.00
room node 19, smart agent 19, 1, -13.98, -6.25, 0.00
room node 6, smart agent 6, 1, -9.00, 9.00, 0.00
room node 20, smart agent 20, 1, -8.98, -6.25, 0.00
room node 7, smart agent 7, 1, -3.00, 9.00, 0.00
room node 21, smart agent 21, 1, -2.98, -6.25, 0.00
room node 8, smart agent 8, 1, 2.00, 9.00, 0.00
room node 22, smart agent 22, 1, 2.02, -6.25, 0.00
room node 9, smart agent 9, 1, 8.00, 9.00, 0.00
room node 23, smart agent 23, 1, 8.02, -6.25, 0.00
room node 10, smart agent 10, 1, 13.00, 9.00, 0.00
room node 24, smart agent 24, 1, 13.02, -6.25, 0.00
room node 33, smart agent 33, 1, 18.80, 1.80, 0.00
room node 11, smart agent 11, 1, 19.00, 9.00, 0.00
room node 25, smart agent 25, 1, 19.02, -6.25, 0.00
room node 12, smart agent 12, 1, 25.00, 9.00, 0.00
room node 26, smart agent 26, 1, 25.02, -6.25, 0.00
room node 13, smart agent 13, 1, 30.00, 9.00, 0.00
room node 27, smart agent 27, 1, 30.02, -6.25, 0.00
room node 34, smart agent 34, 1, 32.10, 1.80, 0.00
room node 14, smart agent 14, 1, 36.00, 9.00, 0.00
room node 28, smart agent 28, 1, 36.02, -6.25, 0.00
room node 35, smart agent 35, 1, 40.00, 1.40, 0.00
