Object Name, First Visit, Last Visit, Total # of Visits
module node 1, 0.00, 0.00, 0
module node 2, 3.38, 3.38, 1
module node 3, 7.10, 31.74, 4
module node 4, 6.50, 26.88, 3
module node 5, 0.00, 0.00, 0
module node 6, 6.08, 6.08, 1
module node 7, 11.94, 11.94, 1
module node 8, 6.36, 6.36, 1
module node 9, 0.00, 0.00, 0
module node 10, 7.18, 27.78, 3
module node 11, 7.54, 32.66, 4
module node 12, 3.84, 3.84, 1
module node 13, 4.50, 4.50, 1
module node 14, 0.00, 0.00, 0
module node 15, 3.24, 3.24, 1
module node 16, 7.18, 11.26, 2
module node 17, 6.36, 26.88, 4
module node 18, 6.32, 22.10, 3
module node 19, 0.00, 0.00, 0
module node 20, 0.00, 0.00, 0
module node 21, 5.82, 5.82, 1
module node 22, 0.00, 0.00, 0
module node 23, 6.66, 16.08, 3
module node 24, 7.32, 15.82, 3
module node 25, 3.12, 3.12, 1
module node 26, 0.00, 0.00, 0
room node 1, 0.00, 0.00, 1
room node 2, 0.00, 0.00, 1
room node 3, 0.00, 0.00, 1
room node 4, 0.00, 0.00, 1
room node 5, 0.00, 0.00, 1
room node 6, 0.00, 0.00, 1
room node 7, 0.00, 0.00, 1
room node 8, 0.00, 0.00, 1
room node 9, 0.00, 0.00, 1
room node 10, 0.00, 0.00, 1
room node 11, 0.00, 0.00, 1
room node 12, 0.00, 0.00, 1
room node 13, 0.00, 0.00, 1
room node 14, 0.00, 0.00, 1
room node 15, 0.00, 0.00, 1
room node 16, 0.00, 0.00, 1
room node 17, 0.00, 0.00, 1
room node 18, 0.00, 0.00, 1
room node 19, 0.00, 0.00, 1
room node 20, 0.00, 0.00, 1
room node 21, 0.00, 0.00, 1
room node 22, 0.00, 0.00, 1
room node 23, 0.00, 0.00, 1
room node 24, 0.00, 0.00, 1
room node 25, 0.00, 0.00, 1
room node 26, 0.00, 0.00, 1
room node 27, 0.00, 0.00, 1
room node 28, 0.00, 0.00, 1
room node 29, 0.00, 0.00, 1
room node 30, 0.00, 0.00, 1
room node 31, 0.00, 0.00, 1
room node 32, 0.00, 0.00, 1
room node 33, 0.00, 0.00, 1
room node 34, 0.00, 0.00, 1
room node 35, 0.00, 0.00, 1
door 1, 2.50, 2.50, 1
door 2, 2.50, 2.50, 1
door 3, 2.50, 2.50, 1
door 4, 2.60, 2.60, 1
door 5, 2.52, 2.52, 1
door 6, 2.60, 18.78, 3
door 7, 2.52, 14.72, 3
door 8, 2.62, 8.46, 3
door 9, 2.50, 7.66, 3
door 10, 2.46, 2.46, 1
door 11, 2.50, 2.50, 1
door 12, 2.56, 2.56, 1
door 13, 2.44, 2.44, 1
door 14, 2.54, 2.54, 1
door 15, 2.72, 2.72, 1
door 16, 2.60, 2.60, 1
door 17, 2.74, 2.74, 1
door 18, 2.66, 2.66, 1
door 19, 2.62, 2.62, 1
door 20, 2.66, 19.40, 3
door 21, 2.78, 15.46, 3
door 22, 2.66, 15.18, 3
door 23, 2.74, 18.80, 4
door 24, 2.64, 2.64, 1
door 25, 2.72, 2.72, 1
door 26, 2.62, 2.62, 1
door 27, 2.62, 2.62, 1
door 28, 2.62, 2.62, 1
door 29, 2.90, 2.90, 1
door 30, 2.84, 2.84, 1
door 31, 2.94, 2.94, 1
door 32, 2.88, 2.88, 1
door 33, 2.68, 18.70, 4
door 34, 2.70, 8.24, 3
door 35, 2.60, 2.60, 1
door 36, 2.58, 2.58, 1
door 37, 2.58, 2.58, 1
door 38, 2.58, 2.58, 1
door 39, 2.68, 2.82, 2
door 40, 2.60, 2.60, 1
door 41, 2.56, 7.44, 2
door 42, 2.52, 6.94, 2
door 43, 2.56, 2.56, 1
door 44, 2.62, 2.62, 1
door 45, 2.50, 2.50, 1
door 46, 2.58, 14.50, 2
door 47, 3.10, 3.10, 1
door 48, 3.22, 3.22, 1
door 49, 0.00, 0.00, 0
door 50, 0.00, 0.00, 0
door 51, 2.68, 2.84, 2
door 52, 2.68, 2.68, 1
door 53, 2.68, 2.84, 2
door 54, 2.78, 2.78, 1
door 55, 2.70, 2.70, 1
door 56, 2.80, 18.70, 3
door 57, 2.76, 15.08, 3
door 58, 2.74, 19.30, 3
door 59, 2.70, 2.84, 2
door 60, 2.74, 2.74, 1
door 61, 2.82, 2.82, 1
door 62, 2.66, 2.66, 1
door 63, 2.80, 2.80, 1
door 64, 2.84, 15.38, 3
door 65, 5.06, 5.06, 1
door 66, 5.14, 5.14, 1
door 67, 0.00, 0.00, 0
door 68, 0.00, 0.00, 0
door 69, 0.00, 0.00, 0
door 70, 0.00, 0.00, 0
door 71, 0.00, 0.00, 0
door 72, 0.00, 0.00, 0
door 73, 0.00, 0.00, 0
door 74, 0.00, 0.00, 0
door 75, 0.00, 0.00, 0
door 76, 0.00, 0.00, 0
door 77, 0.00, 0.00, 0
door 78, 0.00, 0.00, 0
door 79, 4.94, 5.06, 2
door 80, 4.84, 4.84, 1
exit 1, 3.00, 36.62, 11
exit 2, 4.58, 36.60, 8
exit 3, 2.34, 25.56, 8
exit 4, 4.84, 37.24, 8
